,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2602,5.7366,4.3608,3.2833,4.4857,4.1142,3.6764
Type01,4.2602,0.0000,6.6768,2.8830,3.7331,5.4517,3.0411,7.4057
Type02,5.7366,6.6768,0.0000,4.5290,4.1345,4.7721,4.2129,7.8090
Type03,4.3608,2.8830,4.5290,0.0000,3.1571,3.6957,1.1647,7.3805
Type04,3.2833,3.7331,4.1345,3.1571,0.0000,3.9944,3.2249,6.0089
Type05,4.4857,5.4517,4.7721,3.6957,3.9944,0.0000,4.1724,5.6356
Type06,4.1142,3.0411,4.2129,1.1647,3.2249,4.1724,0.0000,7.2925
Type07,3.6764,7.4057,7.8090,7.3805,6.0089,5.6356,7.2925,0.0000
