,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.3458,6.4605,4.5498,3.4424,4.4819,4.1777,4.0369
Type01,4.3458,0.0000,6.8434,3.1318,3.9247,5.5352,3.2692,7.7549
Type02,6.4605,6.8434,0.0000,4.1908,4.5616,4.7444,4.4330,8.2220
Type03,4.5498,3.1318,4.1908,0.0000,3.3180,3.7744,1.4659,7.7617
Type04,3.4424,3.9247,4.5616,3.3180,0.0000,4.3411,3.1179,6.1641
Type05,4.4819,5.5352,4.7444,3.7744,4.3411,0.0000,4.2600,5.8135
Type06,4.1777,3.2692,4.4330,1.4659,3.1179,4.2600,0.0000,7.4715
Type07,4.0369,7.7549,8.2220,7.7617,6.1641,5.8135,7.4715,0.0000
