size,A_to_B_mean,A_to_B_median,A_to_B_p90,A_to_B_p95,A_to_B_max,B_to_A_mean,B_to_A_median,B_to_A_p90,B_to_A_p95,B_to_A_max,Chamfer_mean,Hausdorff_max
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,0.5933416870767655,0.5266062753525338,1.3092205359522173,1.6682672628000146,1.9354810944821068,0.595189951610989,0.5241158765252727,1.328032709304739,1.6848086213426832,1.9354810944821068,0.5942658193438772,1.9354810944821068
245,0.6203458350329987,0.4881049523256841,1.5487265430415955,1.7067697220733338,1.9732295953213528,0.6182527874791481,0.4840674748438291,1.5487265430415955,1.705979325838082,1.9732295953213528,0.6192993112560734,1.9732295953213528
250,1.5427287346300502,1.4756297185067089,2.9471285745701867,3.341555469811148,3.7165688618452104,1.5423344953289146,1.4742451807360153,2.9514767714807273,3.341555469811148,3.7165688618452104,1.5425316149794823,3.7165688618452104
255,1.7745182361894087,1.757640465391035,3.288562734711713,3.3822716852524284,3.487238212448843,1.7725789467464208,1.771966963139722,3.288460878885845,3.3821619363839273,3.487238212448843,1.7735485914679148,3.487238212448843
260,1.4964116140113977,1.1300678031182523,3.418761570400884,3.565165705644916,3.818204253721805,1.4917922277687194,1.1292976952143645,3.410106377050104,3.563943996039053,3.818204253721805,1.4941019208900586,3.818204253721805
265,2.472772740102718,2.1732684580411874,5.44956471245374,5.986203807336252,6.863349955395066,2.473407352951658,2.17604373442778,5.434170996456822,6.069266323017041,6.863923749094568,2.4730900465271883,6.863923749094568
270,1.5834459905952958,0.7180478837254444,4.157288974991157,4.808747646927659,5.45900838297351,1.589795585156559,0.7193132744654835,4.163270867154951,4.82218882808038,5.45900838297351,1.5866207878759275,5.45900838297351
275,2.3522282208720746,1.9452797048375183,5.365817362912456,6.857022278994438,7.539986966781172,2.377147616459069,1.9562229038210557,5.445673989012922,6.914348393396273,7.539986966781172,2.364687918665572,7.539986966781172
280,2.2522331552738986,1.5749867373851827,5.480673911200968,6.781163061766516,7.407489175282566,2.285746950495462,1.5990813564892004,5.565981153279165,6.81011053110918,7.407489175282566,2.2689900528846803,7.407489175282566
