Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
PCA_GPR,34.96580,32.27028,18.52670,6.05018,42.75044,4.39734,1639.60300,0.79918,0.88740,31.94342
PCA_KRR,33.60220,30.43505,14.78214,4.10056,18.29463,1.96546,898.10421,0.84751,0.91713,29.89630
PCA_LINEAR,33.44223,30.31777,14.68840,4.08879,19.55404,2.17084,948.95705,0.84528,0.91580,29.79940
PCA_SVR,33.70115,30.50126,15.36225,4.23859,25.57729,2.11087,903.77504,0.84374,0.91491,29.92592
PURE_GPR,34.07221,30.96230,14.98901,4.26805,17.93222,2.22599,967.55620,0.82903,0.90606,30.44338
PURE_KRR,33.61072,30.45524,14.97148,4.15310,18.52599,2.08501,986.67302,0.83847,0.91167,29.92760
PURE_SVR,33.94040,30.76578,15.11032,4.17281,18.32574,2.11135,1012.10101,0.83830,0.91153,30.22716
RATIO_CTRL,3.18724,2.95076,4.30984,2.13760,5.34640,3.22162,517.38574,0.91615,0.95525,2.73041
