Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,,,
Type04,250,PCA_LINEAR,26.09848,23.45382,15.00034,5.06069,45.43002,5.82536,0.79644,0.88669,,,,,,,,,,,
Type04,250,PCA_SVR,25.86948,23.35177,17.36791,6.01887,46.17119,7.46539,0.76463,0.86662,,,,,,,,,,,
Type04,250,PURE_GPR,25.72772,23.19364,17.53769,5.77055,43.48296,7.05244,0.75416,0.85985,,,,,,,,,,,
Type04,250,PURE_KRR,25.88069,23.32929,17.15678,5.74404,46.8312,6.9137,0.76234,0.86515,,,,,,,,,,,
Type04,250,PURE_SVR,26.48922,23.85301,17.49841,5.57484,45.81317,6.47051,0.76729,0.86833,,,,,,,,,,,
Type04,250,RATIO_CTRL,1.11121,0.98439,1.07522,0.49445,0.00633,0.43593,0.95519,0.97708,,,,,,,,,,,
Type04,270,PCA_GPR,24.22173,22.65802,21.74388,7.67417,84.11035,7.85867,0.7437,0.85301,,,,,,,,,,,
Type04,270,PCA_KRR,28.30728,25.15317,15.20235,3.56043,37.41847,1.47474,0.85495,0.9218,,,,,,,,,,,
Type04,270,PCA_LINEAR,28.06231,24.96431,14.62792,3.70073,39.08106,2.12124,0.85976,0.92459,,,,,,,,,,,
Type04,270,PCA_SVR,28.01401,24.8821,15.17186,3.75285,38.2757,0.84669,0.8478,0.91763,,,,,,,,,,,
Type04,270,PURE_GPR,28.24105,25.077,16.78681,3.77922,34.66588,1.23747,0.82099,0.9017,,,,,,,,,,,
Type04,270,PURE_KRR,28.27108,25.16372,16.92303,3.77189,35.70412,1.33972,0.82396,0.90348,,,,,,,,,,,
Type04,270,PURE_SVR,29.66581,26.31977,17.46177,3.48968,31.9029,1.19567,0.82707,0.90535,,,,,,,,,,,
Type04,270,RATIO_CTRL,2.7703,2.47288,4.42922,1.93653,5.19038,3.65897,0.91011,0.95294,,,,,,,,,,,
Type04,280,PCA_GPR,23.8094,22.52971,34.43933,10.56784,117.40913,9.98057,0.68633,0.81399,,,,,,,,,,,
Type04,280,PCA_KRR,28.33741,25.02418,14.0799,4.60268,48.93409,1.33094,0.83182,0.90819,,,,,,,,,,,
Type04,280,PCA_LINEAR,28.71862,25.35346,15.58053,3.68321,38.95728,0.08531,0.84852,0.91805,,,,,,,,,,,
Type04,280,PCA_SVR,26.4996,23.9759,18.58755,6.01106,66.76783,4.02824,0.80258,0.89048,,,,,,,,,,,
Type04,280,PURE_GPR,29.90977,26.20681,18.14688,4.07551,36.29904,1.09385,0.79624,0.88656,,,,,,,,,,,
Type04,280,PURE_KRR,28.62066,25.32263,17.08733,4.51942,45.19568,0.63629,0.79587,0.88634,,,,,,,,,,,
Type04,280,PURE_SVR,29.90398,26.22486,18.13494,4.09626,36.96987,1.0952,0.79746,0.88732,,,,,,,,,,,
Type04,280,RATIO_CTRL,3.73273,3.31357,5.54392,2.32421,4.64005,5.42362,0.90626,0.95083,,,,,,,,,,,
Type05,250,PCA_GPR,39.58956,37.38984,19.02775,7.02347,41.33667,4.35158,0.77244,0.87161,,,,,,,,,,,
Type05,250,PCA_KRR,35.5647,33.11566,13.19031,4.75659,18.24988,0.74071,0.83388,0.90942,,,,,,,,,,,
Type05,250,PCA_LINEAR,36.01148,33.53921,14.17404,5.04144,19.82936,1.62754,0.82116,0.9018,,,,,,,,,,,
Type05,250,PCA_SVR,35.5489,33.15145,13.71035,4.91204,19.41575,0.06933,0.82208,0.90235,,,,,,,,,,,
Type05,250,PURE_GPR,35.51994,33.13476,14.15299,4.88413,21.24188,0.39609,0.81268,0.89666,,,,,,,,,,,
Type05,250,PURE_KRR,35.59636,33.1603,13.75539,4.79185,17.9537,0.53377,0.82442,0.90376,,,,,,,,,,,
Type05,250,PURE_SVR,36.23238,33.74226,14.13205,4.98402,18.93784,0.91929,0.81659,0.89904,,,,,,,,,,,
Type05,250,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,,,
Type05,270,PCA_GPR,30.91743,27.49891,13.8623,3.15608,24.53062,2.74295,0.85743,0.92325,,,,,,,,,,,
Type05,270,PCA_KRR,37.74711,35.0166,16.75341,5.62602,21.85187,3.55364,0.80576,0.89244,,,,,,,,,,,
Type05,270,PCA_LINEAR,37.43943,34.6887,16.15432,5.36651,20.27362,2.93956,0.81067,0.89543,,,,,,,,,,,
Type05,270,PCA_SVR,37.25082,34.42313,16.77132,5.59965,20.6028,4.06849,0.80866,0.89421,,,,,,,,,,,
Type05,270,PURE_GPR,37.73559,34.91596,17.11047,5.72394,24.37526,3.60092,0.78384,0.87882,,,,,,,,,,,
Type05,270,PURE_KRR,37.51294,34.72289,16.99454,5.6229,23.38188,3.53326,0.79034,0.88289,,,,,,,,,,,
Type05,270,PURE_SVR,39.04697,36.31711,17.37502,6.07547,27.15234,3.65962,0.77914,0.87586,,,,,,,,,,,
Type05,270,RATIO_CTRL,1.09131,1.02676,1.02245,0.51959,0.34375,0.65087,0.96166,0.98046,,,,,,,,,,,
Type05,280,PCA_GPR,28.6283,25.9512,17.14328,6.73199,54.05349,7.35692,0.77367,0.8724,,,,,,,,,,,
Type05,280,PCA_KRR,37.52895,34.31458,14.38904,5.13422,13.39107,1.14247,0.83473,0.90992,,,,,,,,,,,
Type05,280,PCA_LINEAR,38.7772,35.92758,15.81582,5.79336,24.38864,2.51336,0.81012,0.8951,,,,,,,,,,,
Type05,280,PCA_SVR,35.08877,31.66246,14.09991,3.99714,3.93712,1.44682,0.85155,0.91982,,,,,,,,,,,
Type05,280,PURE_GPR,39.47598,36.41843,16.83175,6.12061,25.82416,3.39984,0.77959,0.87614,,,,,,,,,,,
Type05,280,PURE_KRR,37.92507,34.79421,15.7469,5.35445,17.2533,1.72064,0.79978,0.88875,,,,,,,,,,,
Type05,280,PURE_SVR,39.48249,36.42448,16.81259,6.10221,24.89786,3.40115,0.782,0.87767,,,,,,,,,,,
Type05,280,RATIO_CTRL,3.01442,2.64361,3.80997,1.32271,1.84073,0.09639,0.93416,0.96596,,,,,,,,,,,
