type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22
Type01, L, 290, 60.859684, 293.645914, 48.800025, 296.048667, 26.287071, 278.509150, 24.008438, 243.416713, 17.259714, 209.835052, 14.299143, 175.982069, 5.686673, 141.881717, 0.000000, 107.458954, 1.811159, 72.215631, 13.396381, 39.897382, 31.538688, 6.240620, 72.901418, 0.000000, 90.192094, 36.463889, 95.303056, 68.973342, 93.046704, 104.345944, 91.671928, 137.291636, 93.693894, 172.822686, 95.226067, 206.353809, 93.647410, 240.162639, 91.497012, 274.347794, 74.550812, 295.257975, 59.559737, 292.937598
Type02, L, 230, 63.971085, 233.757827, 54.292443, 234.953642, 35.959853, 222.359393, 30.914255, 193.611572, 24.737024, 167.102804, 18.028283, 139.197005, 7.206300, 113.576861, 0.000000, 85.281238, 1.953731, 58.254867, 9.974307, 30.426890, 28.703566, 6.571836, 60.382306, 0.000000, 80.583590, 25.477706, 84.632705, 52.667739, 89.885776, 80.491615, 76.366264, 107.323336, 70.439812, 135.711435, 79.327466, 163.811699, 86.483523, 189.244025, 90.026818, 217.876500, 73.856816, 235.336202, 63.262576, 233.336975
Type02, L, 250, 65.064370, 254.036923, 77.223509, 254.978617, 91.895903, 236.021399, 86.352719, 206.175646, 76.866699, 178.005463, 69.374439, 148.406485, 74.188392, 118.480024, 91.527505, 89.731718, 85.577440, 59.536783, 83.077684, 30.880971, 64.371684, 0.000000, 28.251007, 7.034433, 10.707074, 35.396459, 0.000000, 64.273077, 0.838832, 93.884770, 9.032033, 121.304102, 17.989577, 151.796116, 26.497344, 180.432533, 32.123063, 211.045768, 36.234970, 239.864035, 54.236776, 257.184682, 66.118005, 253.099125
Type02, L, 260, 67.208550, 263.449098, 56.872363, 264.291707, 37.383923, 248.274091, 32.173886, 216.073832, 27.337466, 186.331006, 18.795121, 155.946191, 7.528445, 125.145642, 0.000000, 94.449836, 1.921509, 63.575661, 11.106843, 33.855565, 31.486724, 5.377638, 67.645173, 0.000000, 86.635426, 31.033215, 90.343495, 60.753112, 96.203624, 92.357882, 78.663384, 120.814715, 75.760118, 152.550913, 81.196038, 183.131323, 90.744024, 213.145991, 96.967941, 245.330854, 78.077005, 264.139292, 66.656783, 262.874492
Type02, L, 270, 69.429979, 273.781771, 57.727768, 275.186127, 36.949705, 258.742999, 33.643943, 225.509901, 25.058773, 193.861392, 17.664064, 162.217144, 8.065132, 131.593005, 0.000000, 100.461263, 1.252714, 67.223065, 13.047503, 36.773617, 33.238686, 6.174430, 71.528548, 0.000000, 90.398667, 33.920443, 93.344891, 63.867824, 99.421060, 97.929240, 78.941167, 128.017755, 78.245762, 160.491068, 84.968175, 192.691983, 94.508286, 222.271161, 100.081003, 256.208999, 80.553216, 275.167939, 68.579839, 273.080304
Type03, L, 230, 51.021416, 232.820534, 41.607985, 234.211154, 24.041267, 220.359955, 19.220976, 192.618785, 15.531014, 164.892265, 9.724219, 137.246602, 3.754650, 110.972108, 0.000000, 84.327951, 0.926329, 57.216162, 8.989176, 30.898138, 26.096055, 4.594994, 56.978909, 0.000000, 75.630734, 26.363405, 78.363902, 54.562108, 79.719827, 81.914766, 74.259757, 109.087701, 70.781402, 136.904280, 76.330157, 163.703904, 78.599812, 191.394225, 80.198632, 220.714075, 59.207546, 233.614491, 51.369321, 232.661228
Type03, L, 235, 53.813635, 238.404521, 44.486358, 240.247565, 25.213956, 228.863143, 18.922751, 200.125145, 16.307717, 172.470517, 11.126675, 144.503439, 4.247359, 117.168479, 0.000000, 89.298318, 0.833028, 60.519363, 7.948922, 33.674809, 24.042340, 6.724703, 55.401642, 0.000000, 75.786255, 27.182790, 79.327949, 54.008291, 80.809359, 82.817005, 77.033634, 110.605768, 74.901932, 139.139183, 76.462266, 168.674097, 79.683628, 195.112952, 81.253940, 223.440955, 63.767922, 239.287763, 53.540018, 238.288618
Type03, L, 245, 54.445345, 245.988338, 43.821723, 246.935672, 25.391851, 234.116779, 19.842724, 202.970799, 16.381231, 174.074669, 10.124126, 145.139084, 3.937161, 114.817028, 0.000000, 86.301722, 1.662690, 55.806195, 10.704400, 29.040755, 27.633677, 0.380620, 62.322137, 0.000000, 79.425820, 29.662032, 81.824121, 57.984175, 85.067678, 87.437317, 78.143472, 115.489776, 76.277420, 145.051147, 80.522046, 173.600247, 83.831929, 201.996841, 83.830675, 232.222162, 64.712452, 247.707869, 54.077927, 245.179644
Type03, L, 250, 52.693612, 250.926465, 42.164926, 252.256867, 22.660660, 237.739277, 19.123420, 207.529941, 14.403219, 177.766931, 9.362124, 146.918228, 4.254733, 117.930128, 0.000000, 87.482353, 0.006775, 58.129068, 8.997001, 29.135229, 28.462054, 0.000000, 62.722070, 0.717929, 79.529988, 31.181475, 83.110035, 60.849104, 84.121818, 89.560130, 78.834933, 119.339290, 79.452567, 148.118508, 80.077417, 177.081824, 81.526839, 207.056267, 83.151901, 236.315399, 62.703718, 253.078555, 52.710818, 250.066375
Type03, L, 255, 56.346131, 259.106742, 46.682707, 260.648885, 24.034515, 249.738109, 19.206872, 216.913956, 14.606184, 187.784225, 10.434126, 157.352973, 5.499405, 127.781220, 0.486533, 97.513470, 0.000000, 66.646220, 8.686412, 37.855515, 23.567957, 7.484891, 59.061354, 0.000000, 79.816248, 28.385600, 83.738999, 59.557992, 84.688629, 90.156539, 80.719231, 121.335036, 79.207830, 151.447263, 80.945946, 182.881714, 84.087672, 211.916736, 85.115606, 243.152928, 67.182564, 260.372182, 55.477111, 258.514503
