Type,Cluster_ID,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,2,240,PCA_KRR,7.27804,6.75200,1.27474,0.42326,0.41891,0.33715,0.72567,6.04016,0.98241,0.99113,0.00000
Type00,2,240,PCA_LINEAR,6.09970,5.32374,10.17550,2.37858,34.67352,2.79590,10.14770,1156.33167,0.91194,0.95394,0.00000
Type00,2,240,PCA_SVR,7.33083,6.90591,1.37608,0.40925,1.90508,0.06459,1.37608,38.26149,0.97634,0.98803,0.00000
Type00,2,240,PURE_GPR,6.97612,6.46421,1.29863,0.42316,1.51996,0.52180,0.41156,56.06796,0.97762,0.98868,0.00000
Type00,2,240,PURE_KRR,7.21201,6.68969,1.21287,0.41056,0.65406,0.32537,0.65340,1.38541,0.98309,0.99147,0.00000
Type00,2,240,PURE_SVR,6.96763,6.46564,0.94096,0.24748,0.66229,0.29099,0.57220,95.44427,0.98683,0.99337,0.00000
Type00,2,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,2,245,PCA_KRR,6.53776,5.97533,1.49350,0.69572,4.21195,0.71031,0.47600,405.03025,0.97168,0.98564,0.00000
Type00,2,245,PCA_LINEAR,6.42999,5.58066,10.26577,2.58536,34.64701,2.59361,10.02564,1331.81862,0.90544,0.95038,0.00000
Type00,2,245,PCA_SVR,6.57440,6.03720,0.92624,0.36158,4.71933,0.67468,0.61624,275.42030,0.98247,0.99116,0.00000
Type00,2,245,PURE_GPR,6.58524,6.05596,1.60813,0.69048,3.11597,0.57273,0.34265,390.26248,0.97169,0.98564,0.00000
Type00,2,245,PURE_KRR,6.54733,5.99846,1.44297,0.66849,4.06761,0.71905,0.42771,394.90072,0.97151,0.98555,0.00000
Type00,2,245,PURE_SVR,6.67182,6.13576,2.53816,0.93146,3.36675,0.83020,0.11485,515.11290,0.96467,0.98202,0.00000
Type00,2,245,RATIO_CTRL,2.41072,2.25817,2.66961,1.12230,0.79423,0.79020,0.17260,25.12093,0.95555,0.97727,0.00000
Type00,2,255,PCA_KRR,7.38156,6.63274,1.48984,0.65518,3.71994,0.07105,0.37634,51.85572,0.96714,0.98330,0.00000
Type00,2,255,PCA_LINEAR,6.46710,5.73764,10.59496,2.82934,35.05524,1.74387,10.12262,723.57768,0.89924,0.94695,0.00000
Type00,2,255,PCA_SVR,7.45658,6.83147,0.79137,0.20309,1.53980,0.27684,0.28694,91.36640,0.98303,0.99144,0.00000
Type00,2,255,PURE_GPR,7.57658,6.90578,2.18722,0.78956,2.72259,0.15171,0.01975,128.18948,0.96128,0.98026,0.00000
Type00,2,255,PURE_KRR,7.37566,6.64967,1.44474,0.62700,3.46905,0.07674,0.31843,52.84176,0.96837,0.98393,0.00000
Type00,2,255,PURE_SVR,7.42084,6.78539,1.09232,0.29540,2.64766,0.37730,0.06223,44.24388,0.98289,0.99137,0.00000
Type00,2,255,RATIO_CTRL,3.44758,2.78987,7.14801,2.15664,1.77780,2.76802,0.18438,896.84057,0.92409,0.96055,0.00000
Type00,2,265,PCA_KRR,8.25202,7.52973,2.13811,1.05962,3.81221,1.64758,0.58532,625.15761,0.95153,0.97516,0.00000
Type00,2,265,PCA_LINEAR,7.75772,6.57303,10.41594,2.85714,37.69809,3.70180,10.35758,1575.17889,0.89997,0.94735,0.00000
Type00,2,265,PCA_SVR,7.50694,6.81825,1.26256,0.29421,3.81463,0.61815,0.23084,253.47143,0.98557,0.99273,0.00000
Type00,2,265,PURE_GPR,8.43975,7.80367,2.15040,1.02735,4.11778,1.63755,0.84727,582.88319,0.95362,0.97626,0.00000
Type00,2,265,PURE_KRR,8.14502,7.44926,2.16925,1.06519,4.01198,1.64286,0.49763,638.00528,0.95103,0.97490,0.00000
Type00,2,265,PURE_SVR,8.51695,7.62993,2.18309,1.12024,3.13899,1.65134,0.64472,564.06274,0.95448,0.97671,0.00000
Type00,2,265,RATIO_CTRL,3.57360,3.45805,4.71767,1.79604,0.35250,1.90066,0.05029,376.27811,0.93656,0.96724,0.00000
Type00,2,270,PCA_KRR,7.50751,6.85542,2.63524,0.98100,0.34701,0.52907,0.00705,325.08426,0.95768,0.97839,0.00000
Type00,2,270,PCA_LINEAR,6.08385,5.19810,10.83406,2.77503,32.57526,1.56308,10.83406,728.24369,0.90459,0.94990,0.00000
Type00,2,270,PCA_SVR,6.91547,6.21848,1.93811,0.53429,4.07099,0.06451,1.40691,214.57744,0.97552,0.98761,0.00000
Type00,2,270,PURE_GPR,7.36492,6.67489,2.60446,0.94620,0.82183,0.41745,0.18310,319.56044,0.95980,0.97949,0.00000
