Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,,
Type04,250,PCA_SVR,8.37393,7.81778,2.11253,0.99855,1.17471,1.00163,0.95836,0.97874,,,,,,,,,,
Type04,250,PURE_GPR,8.02031,7.17895,2.99423,1.11246,6.26439,0.83227,0.94438,0.97139,,,,,,,,,,
Type04,250,PURE_KRR,8.57183,7.71886,3.32897,1.16783,4.18509,1.23528,0.94073,0.96946,,,,,,,,,,
Type04,250,PURE_SVR,8.42353,7.6501,3.09875,1.1939,4.33734,1.37318,0.93933,0.96872,,,,,,,,,,
Type04,250,RATIO_CTRL,1.37056,1.29868,1.67776,0.77021,1.86143,1.54961,0.96822,0.98385,,,,,,,,,,
Type04,270,PCA_GPR,7.90964,7.07484,12.71043,3.64088,43.58963,4.49075,0.88217,0.9374,,,,,,,,,,
Type04,270,PCA_KRR,9.13743,8.37505,1.61944,0.50153,1.91148,0.24642,0.98011,0.98996,,,,,,,,,,
Type04,270,PCA_LINEAR,9.00512,8.21083,1.89958,0.79153,3.73124,1.28395,0.96926,0.98439,,,,,,,,,,
Type04,270,PCA_SVR,9.51331,8.37042,2.39917,0.68972,4.32583,0.54374,0.97264,0.98613,,,,,,,,,,
Type04,270,PURE_GPR,9.83609,8.92857,3.43182,0.98272,1.66835,1.15822,0.94545,0.97196,,,,,,,,,,
Type04,270,PURE_KRR,9.37034,8.45836,3.18162,0.81793,2.65647,0.37677,0.95226,0.97554,,,,,,,,,,
Type04,270,PURE_SVR,9.42299,8.52376,3.33094,0.87211,2.88697,0.52157,0.94626,0.97239,,,,,,,,,,
Type04,270,RATIO_CTRL,2.27152,1.99526,4.07003,1.56079,3.91143,2.75037,0.9474,0.97299,,,,,,,,,,
Type04,280,PCA_GPR,11.82224,10.52073,22.73708,6.40597,75.08684,6.72161,0.80384,0.89126,,,,,,,,,,
Type04,280,PCA_KRR,8.71364,7.91573,3.47095,1.4936,7.08471,2.40893,0.94608,0.97229,,,,,,,,,,
Type04,280,PCA_LINEAR,8.93411,8.16767,3.03957,1.12375,3.66838,0.98899,0.96123,0.98023,,,,,,,,,,
Type04,280,PCA_SVR,8.46231,7.63144,4.24035,1.95244,10.74579,3.37928,0.93384,0.96579,,,,,,,,,,
Type04,280,PURE_GPR,7.79679,6.94269,4.45173,2.1995,12.86654,2.35692,0.91177,0.95385,,,,,,,,,,
Type04,280,PURE_KRR,8.92603,8.04921,4.93187,2.08339,6.80419,2.95039,0.91143,0.95367,,,,,,,,,,
Type04,280,PURE_SVR,9.03333,8.18247,5.23701,2.1326,5.76765,3.24408,0.91152,0.95371,,,,,,,,,,
Type04,280,RATIO_CTRL,3.15236,2.81022,4.32329,1.94218,5.22213,4.06027,0.93616,0.96703,,,,,,,,,,
Type05,250,PCA_GPR,16.26517,15.99613,17.00162,4.55471,52.42262,5.70172,0.84846,0.91802,,,,,,,,,,
Type05,250,PCA_KRR,12.16585,12.08516,10.07398,2.4526,29.57137,3.33837,0.91147,0.95368,,,,,,,,,,
Type05,250,PCA_LINEAR,12.49439,12.38823,10.44307,2.6963,31.19131,3.41507,0.90129,0.94808,,,,,,,,,,
Type05,250,PCA_SVR,12.54479,12.46019,11.02759,2.70411,32.70161,3.8126,0.90734,0.95142,,,,,,,,,,
Type05,250,PURE_GPR,12.61218,12.51192,10.24759,2.65345,31.71087,3.39746,0.91028,0.95304,,,,,,,,,,
Type05,250,PURE_KRR,12.22135,12.13008,10.05732,2.52542,30.58057,3.42141,0.9146,0.9554,,,,,,,,,,
Type05,250,PURE_SVR,12.53055,12.42478,9.95909,2.31474,30.89359,3.64216,0.91876,0.95766,,,,,,,,,,
Type05,250,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,,
Type05,270,PCA_GPR,6.99964,6.31007,3.72857,1.41349,12.66331,0.8915,0.94255,0.97042,,,,,,,,,,
Type05,270,PCA_KRR,13.00025,12.85295,10.42293,2.76032,33.1359,3.98287,0.90378,0.94946,,,,,,,,,,
Type05,270,PCA_LINEAR,12.70623,12.57902,9.95182,2.56858,31.56206,3.87568,0.90978,0.95276,,,,,,,,,,
Type05,270,PCA_SVR,13.04977,12.85223,10.68123,2.99258,34.11508,4.02146,0.89929,0.94697,,,,,,,,,,
Type05,270,PURE_GPR,11.4737,11.32325,8.27203,2.39799,31.88106,3.2951,0.90751,0.95151,,,,,,,,,,
Type05,270,PURE_KRR,13.02776,12.85704,10.20296,2.92226,37.68217,3.84932,0.88994,0.94176,,,,,,,,,,
Type05,270,PURE_SVR,12.86993,12.67607,10.07951,2.93596,37.44024,3.76407,0.88906,0.94127,,,,,,,,,,
Type05,270,RATIO_CTRL,1.24179,1.15908,2.04159,0.618,0.86331,0.52197,0.96927,0.98439,,,,,,,,,,
Type05,280,PCA_GPR,7.64331,6.69992,13.66343,3.25824,44.5338,2.39536,0.89123,0.94249,,,,,,,,,,
Type05,280,PCA_KRR,11.98248,11.80665,7.99036,3.05583,22.33429,5.02698,0.90229,0.94863,,,,,,,,,,
Type05,280,PCA_LINEAR,13.65499,13.53525,10.79707,3.56352,32.5685,5.89055,0.88518,0.93909,,,,,,,,,,
Type05,280,PCA_SVR,9.60934,9.23604,4.10914,1.77963,5.35388,3.22033,0.93487,0.96634,,,,,,,,,,
Type05,280,PURE_GPR,13.90745,13.68506,10.36248,4.00337,39.23185,5.78794,0.85215,0.92017,,,,,,,,,,
Type05,280,PURE_KRR,12.40601,12.19354,7.96392,3.26351,29.92411,4.90301,0.87575,0.93376,,,,,,,,,,
Type05,280,PURE_SVR,14.08037,13.86127,10.36875,4.00966,38.91526,5.79057,0.85338,0.92089,,,,,,,,,,
Type05,280,RATIO_CTRL,2.67014,2.5627,2.61333,1.22052,1.94144,2.56864,0.95591,0.97746,,,,,,,,,,
