,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2437,5.8692,4.3839,3.3396,4.4232,4.0962,3.8276
Type01,4.2437,0.0000,6.8152,2.9149,3.8108,5.4707,3.0718,7.5163
Type02,5.8692,6.8152,0.0000,4.4112,4.1840,4.7589,4.3964,7.8728
Type03,4.3839,2.9149,4.4112,0.0000,3.0981,3.7258,1.2121,7.5349
Type04,3.3396,3.8108,4.1840,3.0981,0.0000,4.0827,3.2733,6.0367
Type05,4.4232,5.4707,4.7589,3.7258,4.0827,0.0000,4.1904,5.6327
Type06,4.0962,3.0718,4.3964,1.2121,3.2733,4.1904,0.0000,7.3906
Type07,3.8276,7.5163,7.8728,7.5349,6.0367,5.6327,7.3906,0.0000
