type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40
Type02, L,230,62.915815,231.265888,58.577545,230.924495,48.310233,229.307179,37.249225,217.673765,32.661529,203.851884,29.433301,189.846943,26.514624,175.671287,23.429089,161.93728,19.839465,147.770559,15.604715,133.841878,10.665746,120.462261,5.485581,106.60306,1.807425,92.838561,0,77.929319,0.537737,64.279695,2.835014,50.029734,7.0914,36.312245,13.375262,22.57475,23.199521,10.254701,36.364706,3.072458,50.624052,0,65.344375,4.489339,74.811361,17.472406,80.229896,30.882859,83.185842,44.473077,85.611655,59.297125,87.426344,72.848703,83.413194,87.250363,78.45455,101.07177,72.967726,115.139357,71.327552,129.971296,73.510685,144.389119,77.352795,158.222463,81.689609,172.345277,84.984049,185.343505,87.147633,199.429765,86.082315,214.201411,77.714694,228.044122,67.183517,231.159669,63.322707,231.210204
Type02, L,250,65.347417,251.521244,70.077126,251.43977,81.765791,247.569122,88.541949,232.276781,88.392435,217.234612,85.659112,201.942916,80.788595,187.89129,75.839397,172.353613,72.861112,158.02545,70.445258,142.377401,71.866248,127.046833,77.837169,112.071131,84.515491,97.190042,89.035339,81.804414,87.684198,67.02181,85.469184,51.296265,82.316715,36.691829,78.710264,21.26257,69.638026,6.964378,53.530331,0,38.111839,3.197332,23.986627,12.759068,14.173208,26.489814,7.583168,41.295843,2.637429,56.117115,0,71.270962,0.849375,86.306878,3.879705,100.651278,7.72268,115.281687,12.214927,130.131503,16.69432,145.53977,21.487238,160.934252,25.312101,175.456165,28.766841,190.924285,31.275523,206.786918,34.180027,221.345061,38.219149,236.08766,48.957189,250.372534,60.566809,251.631851,64.88704,251.604881
Type02, L,260,66.22379,261.320707,61.550931,261.529025,50.466769,258.137522,39.132271,244.100538,33.802623,228.779327,31.039239,212.779614,28.686533,196.582989,25.493002,181.803232,21.49453,166.305286,16.528375,150.124297,11.060637,134.773639,5.962595,118.671208,1.916055,103.295988,0,87.134311,0.702494,71.286419,3.082106,56.098729,7.878269,40.397197,14.944585,25.390446,25.709289,11.828713,40.519056,2.435088,56.317872,0,72.227284,7.632038,81.750004,21.777891,85.699302,37.654924,88.954936,53.138343,92.155162,68.81169,92.974129,84.890394,88.586435,100.066081,81.454255,115.189194,76.891381,130.502772,75.773099,146.845788,77.238267,162.940822,80.372459,178.2569,84.459378,193.991639,89.08822,209.583024,93.021973,225.733442,92.009239,241.77848,82.730725,257.223882,71.35712,260.940281,66.256271,261.234156
Type02, L,270,68.618488,271.495388,63.154319,271.441069,51.144976,268.760511,39.324425,254.254403,34.492951,238.218311,31.941291,221.566759,28.129554,204.916729,24.061731,188.905072,19.782285,172.384508,15.865147,156.624956,11.214572,140.571184,6.228608,124.791261,2.383361,109.058648,0,92.199121,0.362926,75.658417,3.452906,59.217633,8.788969,43.023368,17.073956,27.64702,27.768676,12.873804,42.921715,2.678662,59.647707,0,76.519834,8.100873,85.18508,23.827401,89.721889,39.956733,92.236275,56.089984,95.208138,72.377979,96.386544,89.803778,90.657872,105.803858,82.715394,121.593636,78.140125,137.899832,78.148131,154.417359,80.430802,170.979741,83.860976,187.439805,88.536215,202.819326,93.142399,218.772223,96.145815,235.180229,95.588143,252.218189,85.65244,267.829484,73.008833,271.206966,69.39132,271.180258
