type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42
Type01, L, 280, 58.801812, 281.342045, 53.262909, 281.255786, 42.293110, 279.715499, 28.810491, 266.791645, 24.498768, 250.456251, 21.523089, 234.699455, 19.298934, 217.870467, 16.877953, 202.191781, 14.264926, 186.260643, 11.259632, 169.548747, 8.102500, 154.127677, 5.024271, 137.973064, 1.930315, 122.202102, 0.308240, 105.968102, 0.000000, 89.471222, 1.739310, 74.050445, 5.139608, 58.330697, 10.030287, 43.565905, 16.884284, 27.985854, 26.264246, 13.488170, 40.662112, 2.454835, 57.485751, 0.000000, 73.254123, 7.464707, 82.943495, 22.797434, 86.479006, 37.930242, 89.223581, 54.397139, 90.689948, 69.744015, 90.023175, 86.114948, 88.140118, 102.261772, 87.109353, 117.894936, 86.480021, 134.596848, 87.120012, 150.753846, 88.598014, 166.671051, 90.764902, 182.836567, 90.052675, 197.939179, 89.113501, 214.887357, 89.281773, 231.382615, 88.756962, 247.362730, 86.060367, 262.325170, 75.673664, 278.015234, 64.044725, 280.574711, 59.261142, 281.137345
Type01, L, 290, 60.002004, 291.333109, 54.468784, 291.427871, 43.168334, 289.459049, 29.553926, 275.845382, 25.060642, 259.062288, 23.140164, 243.067959, 19.792777, 225.962062, 17.694867, 209.908778, 15.508528, 193.203835, 13.371780, 176.464216, 10.112461, 160.572268, 6.416465, 143.619193, 2.975239, 126.516282, 0.617366, 110.206222, 0.000000, 92.946509, 1.367899, 76.240538, 4.989712, 59.640046, 10.361002, 43.449631, 18.011820, 27.736494, 27.719479, 13.014704, 42.734716, 2.355740, 59.560789, 0.000000, 75.685484, 7.809619, 85.408727, 23.705203, 89.016205, 39.722295, 92.447983, 56.546215, 94.570112, 72.379534, 93.214866, 90.783690, 91.857848, 106.239059, 91.384663, 122.143293, 91.717494, 139.918498, 92.224733, 156.685889, 93.178800, 173.391580, 93.619047, 189.337238, 94.174562, 206.619953, 93.807353, 223.218061, 92.999484, 238.765833, 91.002827, 255.963253, 88.085990, 272.270877, 77.795065, 287.807131, 65.043248, 290.777505, 60.726037, 291.211248
Type02, L, 230, 62.873305, 231.120929, 58.707749, 230.762444, 49.144298, 229.387975, 38.044770, 218.875445, 33.206549, 205.843370, 29.974738, 192.578135, 27.251396, 179.164029, 24.314090, 165.952031, 21.192775, 152.840781, 17.291161, 139.202129, 13.057542, 126.638336, 7.926946, 113.442973, 3.727309, 100.636249, 0.754101, 86.891382, 0.000000, 73.192501, 0.931099, 60.134571, 3.661437, 46.692426, 8.011151, 33.678551, 14.419756, 20.739594, 24.135995, 9.431211, 36.666447, 2.861772, 50.238817, 0.000000, 64.131879, 3.762446, 73.886913, 15.529455, 79.199430, 28.392194, 82.789673, 41.033455, 84.563849, 55.081460, 87.398481, 68.104335, 85.168218, 81.658621, 80.639015, 94.775590, 75.495151, 108.293172, 71.528740, 121.484264, 72.006530, 136.194626, 74.634502, 148.835512, 78.739841, 162.768916, 82.521927, 175.337325, 85.511397, 188.141865, 87.145209, 201.441448, 85.466543, 215.634671, 76.822088, 228.249626, 66.934912, 230.985184, 63.261287, 231.087352
Type02, L, 250, 65.066132, 251.382314, 69.560820, 251.179826, 80.588678, 247.976590, 87.913539, 233.662820, 88.289191, 219.466915, 86.092055, 204.776234, 81.895139, 191.445361, 76.912346, 176.934621, 73.536698, 163.003830, 71.063415, 148.759339, 70.235781, 133.853522, 74.326975, 119.589022, 80.407994, 105.449354, 86.552065, 91.104002, 88.690866, 76.737299, 86.728981, 62.415003, 84.611296, 47.755896, 81.377898, 33.772074, 77.693398, 19.177440, 68.114940, 6.021469, 52.879601, 0.000000, 38.229275, 2.970651, 24.753419, 11.735120, 14.971805, 24.510758, 8.381394, 38.419655, 3.390490, 52.605908, 0.180552, 66.697636, 0.000000, 81.328701, 2.319384, 94.880579, 5.687160, 108.785773, 9.735998, 122.647699, 13.969207, 137.064081, 18.420330, 151.717888, 22.674921, 166.093364, 26.127310, 179.837675, 29.216793, 194.956595, 31.510462, 209.648885, 34.438374, 223.411879, 38.717427, 237.506529, 49.655808, 250.533985, 60.476807, 251.348184, 64.650916, 251.545353
Type02, L, 260, 66.170350, 261.185837, 61.718074, 261.326615, 51.309823, 258.431100, 39.987720, 245.475841, 34.408247, 231.040210, 31.426393, 215.924826, 29.320120, 200.590597, 26.456585, 186.020173, 22.988499, 172.020797, 18.584735, 156.450171, 13.543220, 141.728813, 8.423866, 126.904725, 4.011704, 111.591260, 0.814839, 97.275033, 0.000000, 81.360121, 1.149266, 67.058224, 3.955413, 52.223383, 8.944987, 37.567701, 16.088767, 23.379578, 26.741551, 10.869790, 40.874856, 2.225363, 55.865943, 0.000000, 70.951999, 6.664939, 80.835582, 19.751109, 85.021808, 34.565372, 88.145684, 49.564168, 91.262631, 64.045517, 93.046091, 79.582338, 90.762586, 94.000997, 84.444983, 108.581525, 78.645886, 122.685324, 75.996983, 137.966816, 76.089807, 153.238268, 78.181515, 168.506657, 81.509124, 182.714840, 85.551277, 198.042205, 89.992009, 212.559042, 93.131547, 228.180924, 91.288669, 243.209330, 81.787453, 257.649230, 71.048349, 260.652933, 66.180322, 261.231542
Type02, L, 270, 68.801759, 271.344456, 63.602423, 271.228635, 52.283362, 268.986144, 40.443934, 255.690920, 35.217890, 240.573892, 32.642420, 224.810922, 29.406474, 209.032664, 25.460217, 193.601596, 21.524924, 178.256320, 17.607434, 162.726257, 13.712406, 148.068316, 8.845369, 132.404193, 4.635876, 118.124484, 1.430101, 102.233842, 0.000000, 86.685719, 1.238777, 70.684853, 4.663114, 55.429159, 10.308400, 39.943848, 18.508591, 25.626373, 29.019162, 11.729362, 43.577921, 2.491012, 59.354095, 0.000000, 75.505211, 7.014994, 84.555876, 21.653000, 89.169518, 36.795213, 91.980478, 52.349210, 94.360046, 67.394725, 96.840495, 83.970558, 93.530934, 99.538150, 86.304246, 114.580919, 79.937075, 129.647403, 78.002482, 145.477245, 79.071326, 160.922119, 81.769903, 176.884905, 85.358842, 192.022560, 89.987151, 206.690044, 94.075931, 221.947818, 96.491533, 237.624875, 95.146160, 253.773561, 84.774797, 268.132680, 73.022485, 270.956197, 69.536450, 271.097701
Type03, L, 230, 50.463506, 230.705609, 46.499911, 230.258869, 37.138172, 228.654301, 26.572505, 217.948959, 21.990958, 204.649114, 18.914239, 191.438609, 17.395447, 178.440676, 15.239053, 164.497787, 12.845674, 150.770033, 9.897177, 137.757783, 7.130554, 124.926119, 4.324332, 111.563662, 2.060545, 99.031030, 0.573128, 85.857386, 0.000000, 72.695845, 0.813528, 59.893630, 3.211783, 46.462224, 7.407827, 33.745362, 13.708552, 20.894725, 22.193706, 9.495217, 34.635147, 1.023596, 47.602935, 0.000000, 60.775873, 4.637869, 69.995400, 16.741234, 74.516412, 29.409091, 77.410396, 43.429468, 78.289619, 57.208323, 78.704597, 69.920153, 78.097501, 83.720240, 75.957065, 96.996614, 73.659814, 110.181528, 71.766958, 123.451423, 71.725801, 137.236370, 73.845806, 150.357236, 75.728068, 163.246118, 77.263215, 176.853890, 78.297835, 190.615517, 79.047617, 204.702164, 75.265920, 217.400899, 63.452415, 228.426528, 55.418925, 230.117415, 50.239065, 230.790739
Type03, L, 235, 53.465094, 236.077834, 49.002451, 235.952748, 39.843201, 235.150703, 28.056788, 225.546221, 22.271229, 212.496862, 19.272853, 199.206038, 17.442458, 185.524272, 15.983922, 171.854493, 13.871382, 158.213433, 11.320907, 144.950328, 7.960958, 131.132771, 5.154106, 118.160665, 2.432413, 104.537944, 0.632448, 90.477236, 0.000000, 77.463076, 0.898919, 62.951934, 2.720170, 49.820134, 6.575914, 36.111461, 12.283532, 23.498413, 21.041078, 11.605129, 32.053226, 2.456262, 46.458422, 0.000000, 59.569674, 5.383948, 69.579452, 16.747279, 75.009013, 29.829709, 78.005075, 43.109557, 79.301951, 56.778291, 79.912216, 70.514640, 79.501557, 84.245413, 78.171187, 98.146839, 76.609265, 111.476708, 75.396855, 125.663579, 75.057727, 139.574500, 75.597121, 153.763896, 76.503087, 167.842764, 77.970665, 180.955457, 79.298773, 194.086142, 80.179176, 207.637609, 76.997999, 220.965217, 67.598561, 232.796094, 58.086625, 236.150643, 53.386016, 235.608774
Type03, L, 245, 53.773306, 245.578765, 48.683900, 245.060274, 39.272113, 243.889968, 27.553536, 232.230974, 22.871000, 219.145582, 19.334212, 204.196763, 17.888005, 189.549755, 15.831643, 175.819660, 13.087394, 161.357417, 10.255015, 147.468190, 7.133133, 132.694140, 4.243504, 118.174245, 1.954870, 104.061376, 0.433707, 89.687475, 0.000000, 75.528102, 1.063389, 60.872335, 4.068367, 47.064069, 8.726554, 33.385177, 14.953462, 20.481053, 23.622718, 7.527313, 37.060804, 0.479574, 51.757999, 0.000000, 64.973059, 7.781163, 74.126947, 20.647420, 78.127836, 34.191731, 80.650931, 49.106003, 81.964722, 62.606417, 83.221852, 76.654077, 82.564096, 91.133922, 80.319196, 104.924425, 77.633397, 118.653207, 76.313206, 132.794439, 76.775445, 147.370564, 78.082721, 161.311631, 80.123942, 175.051574, 81.681261, 188.735143, 83.128321, 203.458642, 82.822866, 217.244326, 79.450422, 231.458175, 68.410517, 243.623776, 58.516521, 245.055491, 53.789703, 245.483323
Type03, L, 250, 52.534824, 250.661738, 47.778555, 250.323907, 37.884524, 248.511162, 25.863723, 236.981600, 21.653174, 222.722798, 19.025664, 208.893614, 16.945858, 193.855705, 14.743742, 179.406430, 12.477178, 164.455247, 9.892292, 149.753725, 7.273244, 135.116562, 4.990035, 120.955091, 2.830332, 106.609833, 0.916213, 91.283836, 0.000000, 77.263398, 0.537296, 63.139756, 2.957012, 48.473544, 7.704346, 34.071338, 14.617368, 20.573751, 24.507770, 7.797255, 38.502688, 0.000000, 52.053483, 0.827641, 66.670530, 8.458497, 74.897736, 22.384748, 78.921729, 36.276432, 82.074592, 50.806225, 83.467878, 65.761323, 83.606960, 79.542924, 82.707617, 93.387465, 81.068787, 107.978828, 79.268652, 122.555622, 79.166336, 136.462382, 79.542572, 150.409987, 79.891317, 164.760200, 80.267826, 178.718480, 80.740544, 193.535930, 81.964908, 208.030049, 81.957579, 221.869155, 78.856215, 236.111111, 67.484310, 248.851105, 57.199829, 249.921573, 53.345936, 251.001574
