Type,Base_Size,Matched_Type,Time_sec,Points
Type00,240,Self (Ratio),0.000146,70
Type01,230,Self (Ratio),0.000129,70
Type02,230,Self (Ratio),0.000201,70
Type03,230,Self (Ratio),0.000136,70
Type04,230,Self (Ratio),0.000124,70
Type05,240,Self (Ratio),0.000129,70
Type06,230,Self (Ratio),0.000133,70
Type07,250,Self (Ratio),0.000125,70
Type00,240,Self (Ratio),0.000123,70
Type01,230,Self (Ratio),0.000184,70
Type02,230,Self (Ratio),0.000156,70
Type03,230,Self (Ratio),0.000133,70
Type04,230,Self (Ratio),0.000133,70
Type05,240,Self (Ratio),0.000149,70
Type06,230,Self (Ratio),0.00013,70
Type07,250,Self (Ratio),0.000128,70
