Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
PCA_GPR,7.96683,7.29508,11.00776,2.57693,27.34735,2.54931,1034.13064,0.90704,0.95046,7.03481
PCA_KRR,5.85322,5.27396,3.81422,1.25243,4.51211,0.88717,290.31536,0.94751,0.97287,4.97996
PCA_LINEAR,5.77272,5.20071,3.76161,1.20335,4.16634,0.92428,289.96432,0.94972,0.97408,4.97198
PCA_SVR,6.01589,5.47272,4.33592,1.48267,6.26606,1.17120,333.81343,0.93880,0.96807,5.14820
PURE_GPR,6.13183,5.53314,5.07116,1.55788,6.19689,1.12578,388.84813,0.93275,0.96500,5.11611
RATIO_CTRL,2.85928,2.55369,4.22524,1.54244,3.70554,2.80402,629.83151,0.94709,0.97256,2.09031
