,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2563,5.8814,4.4068,3.3356,4.4300,4.1001,3.8459
Type01,4.2563,0.0000,6.8055,2.9289,3.8213,5.4948,3.0789,7.5484
Type02,5.8814,6.8055,0.0000,4.3751,4.1947,4.7740,4.3975,7.8756
Type03,4.4068,2.9289,4.3751,0.0000,3.0829,3.7604,1.2263,7.5762
Type04,3.3356,3.8213,4.1947,3.0829,0.0000,4.1249,3.2696,6.0430
Type05,4.4300,5.4948,4.7740,3.7604,4.1249,0.0000,4.2232,5.6274
Type06,4.1001,3.0789,4.3975,1.2263,3.2696,4.2232,0.0000,7.4097
Type07,3.8459,7.5484,7.8756,7.5762,6.0430,5.6274,7.4097,0.0000
