type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43
Type01, L, 280, 58.921093, 281.038173, 53.471298, 280.942016, 42.890728, 279.515348, 29.414020, 267.257505, 24.829351, 251.357145, 21.925020, 235.996339, 19.655198, 219.677000, 17.401673, 204.151486, 14.803405, 188.870977, 12.068334, 172.504785, 8.818838, 157.245391, 6.035673, 141.832163, 2.702410, 126.066482, 0.847106, 110.780345, 0.000000, 94.290388, 1.019776, 79.240397, 3.875757, 63.765452, 7.908352, 49.272463, 13.953505, 34.207476, 21.614476, 19.646558, 33.429204, 6.478983, 49.126019, 0.000000, 65.418168, 1.781333, 78.728814, 13.922313, 84.846868, 28.772768, 87.755217, 44.257836, 90.053346, 59.888664, 90.852386, 75.006113, 89.459993, 91.250594, 87.928655, 106.489554, 86.922166, 122.236643, 86.709654, 138.313047, 87.428364, 154.069707, 89.222126, 169.596868, 90.943147, 185.205077, 89.936722, 200.065509, 89.233170, 216.696587, 89.382935, 232.708974, 88.761699, 248.174590, 85.824780, 262.829155, 75.314331, 277.938133, 64.058148, 280.210395, 59.347195, 280.893979
Type01, L, 290, 59.939296, 290.993452, 54.541584, 291.081906, 43.545076, 289.236444, 30.053899, 276.317064, 25.131205, 259.943727, 23.364151, 244.364589, 20.098930, 227.760403, 17.924699, 211.914171, 15.833628, 195.917758, 13.762550, 179.307300, 10.899366, 163.916874, 7.229003, 147.545074, 3.846621, 130.840108, 1.061294, 114.747566, 0.000000, 98.299335, 0.537076, 81.654039, 3.412781, 65.500409, 7.865339, 49.603884, 14.538293, 33.875320, 22.828668, 19.281750, 34.958084, 6.064970, 51.168690, 0.000000, 67.334766, 1.843424, 81.172563, 14.440257, 87.026847, 30.055806, 90.369245, 46.191924, 93.451341, 62.097754, 94.356436, 78.248893, 92.528033, 96.005554, 91.632207, 110.218470, 91.317689, 126.799795, 91.797131, 143.766149, 92.336176, 160.167953, 93.262226, 176.236502, 93.632290, 191.928604, 94.137702, 208.886858, 93.643844, 224.795244, 92.801015, 240.103162, 90.751932, 256.885351, 87.717806, 272.736667, 77.205853, 287.707729, 64.895211, 290.377919, 60.634889, 290.933174
Type02, L, 230, 62.874558, 230.498918, 58.790729, 230.138711, 49.546458, 228.857216, 38.463468, 218.866658, 33.498451, 206.206230, 30.251308, 193.288751, 27.609713, 180.221982, 24.743749, 167.277491, 21.787503, 154.569707, 18.098140, 141.250704, 14.066689, 128.822758, 9.224956, 116.167029, 4.735552, 103.489058, 1.502265, 90.571824, 0.000000, 76.810523, 0.454322, 64.226540, 2.433859, 50.982148, 6.081579, 38.331786, 11.403234, 25.512889, 19.318294, 13.529793, 30.526767, 4.767580, 43.368928, 0.424522, 56.909559, 0.000000, 69.339839, 7.956884, 76.254775, 20.406167, 81.045965, 32.814989, 83.291312, 45.487206, 85.752311, 59.283139, 87.225858, 71.645234, 83.845570, 85.174183, 79.292135, 97.712380, 74.226545, 111.053372, 71.296167, 124.012909, 72.451088, 138.348125, 75.259436, 150.435759, 79.379333, 164.243981, 82.909882, 176.187402, 85.756678, 188.883257, 87.131549, 201.832976, 85.173814, 215.728092, 76.428174, 227.783590, 66.844993, 230.348790, 63.250838, 230.479602
Type02, L, 250, 65.296162, 250.627842, 69.691843, 250.377440, 80.392454, 247.452709, 87.959251, 233.624137, 88.572845, 219.789983, 86.629398, 205.447036, 82.734654, 192.335182, 77.835874, 178.423138, 74.262105, 164.571787, 71.766407, 150.996659, 70.326038, 136.354218, 73.185199, 122.413775, 78.945661, 108.506077, 85.072197, 94.789584, 88.842544, 80.439484, 87.787445, 66.947230, 85.637580, 52.179805, 83.058374, 38.851457, 79.639778, 24.451741, 73.739217, 10.897499, 60.463174, 0.804326, 45.678640, 0.000000, 31.818902, 5.696240, 20.052895, 16.494360, 12.203954, 29.566102, 6.434089, 43.374836, 2.181543, 57.048404, 0.000000, 71.118597, 0.805579, 85.002764, 3.513346, 98.283247, 6.955632, 111.804491, 11.060474, 125.443569, 15.144792, 139.602387, 19.584697, 153.863073, 23.531053, 167.750246, 26.863346, 181.245725, 29.759347, 196.105734, 31.997394, 210.273471, 34.928342, 223.683200, 39.345876, 237.469111, 50.335349, 249.896815, 60.798151, 250.537899, 64.903160, 250.824450
Type02, L, 260, 66.182375, 261.004188, 61.831416, 261.115925, 51.736153, 258.435466, 40.444587, 245.984736, 34.751843, 231.963259, 31.658007, 217.252611, 29.630577, 202.345929, 26.916093, 187.878514, 23.673234, 174.464138, 19.528682, 159.292747, 14.716600, 144.875969, 9.686157, 130.443985, 5.139181, 115.575522, 1.615743, 101.429520, 0.000000, 86.371473, 0.632120, 71.750559, 2.647537, 57.687752, 6.787118, 43.189249, 12.675478, 29.129364, 21.594967, 16.000455, 33.763371, 5.558803, 48.527574, 0.000000, 63.005731, 1.909511, 76.514194, 12.014092, 82.779783, 25.690893, 86.427049, 40.539912, 89.249003, 54.684001, 92.225109, 69.317459, 92.796597, 84.160713, 89.125109, 98.181153, 82.625237, 112.295172, 77.722447, 126.171277, 75.833203, 141.309023, 76.402869, 156.061640, 78.709299, 170.910417, 82.098029, 184.708201, 86.099509, 199.762503, 90.430990, 213.849668, 93.160502, 229.175501, 90.968918, 243.758910, 81.378627, 257.701212, 70.950047, 260.411383, 66.174521, 261.107728
Type02, L, 270, 68.557140, 270.786948, 63.478747, 270.649683, 52.483202, 268.585244, 40.656016, 255.862899, 35.262635, 241.168815, 32.613523, 225.824144, 29.660455, 210.460258, 25.766663, 195.292861, 22.010794, 180.457071, 18.092823, 165.168391, 14.431353, 150.875114, 9.818519, 135.709993, 5.463505, 121.479790, 2.005562, 106.587733, 0.000000, 91.085390, 0.248158, 75.798870, 2.969768, 60.465099, 7.452841, 45.637779, 14.609559, 30.939021, 23.560836, 17.371216, 36.145126, 5.377624, 51.041887, 0.000000, 67.132217, 1.304338, 80.308117, 12.874185, 86.420764, 27.358259, 90.314131, 42.619591, 92.448741, 57.279037, 95.282299, 72.586497, 96.187891, 88.619009, 91.285148, 103.484139, 84.024744, 118.146182, 78.819933, 132.984029, 77.834175, 148.437797, 79.277383, 163.506373, 82.086196, 179.065386, 85.778461, 193.647431, 90.296116, 208.011819, 94.164248, 222.930095, 96.275246, 238.281873, 94.580293, 253.988537, 84.030756, 267.777931, 72.711213, 270.351862, 69.262556, 270.577407
Type03, L, 230, 50.395965, 230.863073, 46.493222, 230.417607, 37.480957, 228.907963, 26.871359, 218.733805, 22.228114, 205.803222, 19.050184, 192.909369, 17.533749, 180.236579, 15.498242, 166.795819, 13.237276, 153.252995, 10.401138, 140.506338, 7.696752, 127.968066, 4.909184, 115.107972, 2.557967, 102.496289, 0.856659, 90.180088, 0.000000, 76.924563, 0.288029, 64.693304, 2.056828, 51.553110, 5.438534, 39.033379, 10.711940, 26.369875, 17.973282, 14.696760, 28.209595, 4.408219, 41.239539, 0.000000, 53.678720, 1.449222, 65.760710, 9.767390, 71.967627, 22.282202, 75.923668, 35.052427, 77.746345, 48.837093, 78.419528, 61.915607, 78.585797, 74.347808, 77.499199, 88.074279, 75.195269, 100.648665, 73.096855, 113.717099, 71.423110, 126.633714, 72.030800, 140.117769, 74.122083, 152.734480, 75.912402, 165.408237, 77.332709, 178.725697, 78.326843, 192.185741, 78.900251, 205.852303, 74.687143, 218.161978, 63.045611, 228.712992, 55.245582, 230.258155, 50.142578, 230.970850
Type03, L, 235, 53.419078, 235.795046, 49.048470, 235.692538, 40.175283, 234.896000, 28.491497, 225.895714, 22.556051, 213.155356, 19.449831, 200.341470, 17.609536, 186.876790, 16.150544, 173.718529, 14.252631, 160.208238, 11.812915, 147.423639, 8.698475, 133.888385, 5.741660, 121.116011, 3.121900, 108.138631, 1.001031, 94.247102, 0.000000, 81.592474, 0.439662, 67.626388, 1.804387, 54.517756, 4.796900, 41.225514, 9.479569, 28.520353, 16.805691, 16.509946, 26.342848, 5.993275, 39.073531, 0.000000, 52.911642, 1.399272, 64.545064, 9.797631, 72.243190, 21.934869, 76.398497, 34.922591, 78.536564, 47.807546, 79.572215, 61.420810, 79.813291, 74.616921, 79.150632, 88.165357, 77.654914, 101.591814, 76.237345, 114.594277, 75.162816, 128.642983, 75.093097, 142.020756, 75.669517, 156.043705, 76.655245, 169.536728, 78.100929, 182.335802, 79.379736, 195.111082, 80.055438, 208.412217, 76.566286, 221.291030, 67.205976, 232.738340, 57.911897, 235.823207, 53.344045, 235.362145
Type03, L, 245, 53.722157, 246.052622, 48.706041, 245.537586, 39.642237, 244.449244, 27.912824, 233.384111, 23.124090, 220.585247, 19.535645, 206.273472, 17.999186, 191.704914, 16.129607, 178.456647, 13.535906, 164.292074, 10.752705, 150.772979, 7.819622, 136.518949, 4.815307, 122.223927, 2.512428, 108.411878, 0.691287, 94.507050, 0.000000, 80.561720, 0.395795, 66.550200, 2.713679, 52.546871, 6.604555, 39.368472, 12.087850, 26.365976, 19.189120, 13.649877, 30.132540, 3.333880, 44.493615, 0.000000, 58.183590, 3.119290, 69.762349, 13.906927, 76.088396, 26.715840, 79.245414, 40.617313, 81.095336, 54.812487, 82.449865, 67.801014, 83.157802, 81.937552, 81.951687, 95.735558, 79.489147, 109.214435, 77.074362, 122.561994, 76.247627, 136.575064, 76.929429, 150.676756, 78.351443, 164.191480, 80.336243, 177.563108, 81.814049, 191.006097, 83.126935, 205.374183, 82.630864, 218.734381, 78.979504, 232.652825, 67.941134, 244.193587, 58.363073, 245.525747, 53.709399, 245.966172
Type03, L, 250, 52.428688, 251.163337, 47.741564, 250.816327, 38.220275, 249.128571, 26.175111, 238.145972, 21.789221, 224.295429, 19.112051, 210.773179, 17.141077, 196.302227, 14.899183, 181.971523, 12.849956, 167.716506, 10.230824, 153.014691, 7.814101, 139.074495, 5.336689, 124.758914, 3.388269, 111.349629, 1.241674, 96.194595, 0.114347, 82.309310, 0.000000, 68.609239, 1.760189, 54.538309, 5.361661, 40.193850, 11.403831, 26.783894, 19.347855, 13.802502, 31.603325, 3.265817, 45.132273, 0.000000, 59.003943, 4.143922, 71.292142, 14.770031, 76.513217, 29.037409, 80.294213, 42.238280, 82.626514, 57.205351, 83.533972, 70.962520, 83.281018, 84.694852, 82.183190, 97.979451, 80.381983, 112.750569, 78.986314, 126.384963, 79.148281, 140.227042, 79.494522, 153.646021, 79.841449, 167.803592, 80.208856, 181.330110, 80.746087, 195.922182, 81.944221, 209.909133, 81.717876, 223.419678, 78.349946, 237.330490, 66.909238, 249.464023, 57.032276, 250.404282, 53.189526, 251.531263
