type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40
Type01, L, 280, 58.934556, 281.554144, 53.219480, 281.488948, 41.362088, 279.688115, 28.007857, 265.280241, 24.195566, 248.106175, 21.085669, 231.374507, 18.895519, 213.616071, 16.148112, 197.485597, 13.417965, 180.038095, 9.930952, 162.999026, 6.899843, 146.658273, 3.288350, 129.464581, 0.986149, 113.052171, 0.000000, 95.227417, 1.130937, 78.920793, 4.336320, 62.258861, 9.051913, 46.611726, 15.990108, 30.310901, 25.368841, 14.712120, 40.334356, 2.770580, 58.098723, 0.000000, 74.644046, 8.702473, 83.884574, 25.041109, 87.170704, 41.211248, 89.913529, 58.454343, 90.967866, 74.605055, 89.452879, 92.249038, 87.838885, 108.626497, 86.790007, 125.799720, 86.882479, 143.186005, 87.864936, 159.938177, 90.343006, 177.088689, 90.744563, 193.134321, 89.301634, 210.428520, 89.431487, 228.099534, 89.091203, 245.107847, 86.887734, 260.830473, 76.838675, 277.655306, 64.419092, 280.955990, 59.457115, 281.196945
Type01, L, 290, 59.987181, 291.523079, 54.176853, 291.631014, 42.178444, 289.378857, 28.420191, 274.224302, 24.833521, 256.660361, 22.423360, 239.637556, 19.083516, 221.639711, 17.014103, 204.923741, 14.707954, 186.825298, 12.160958, 169.871918, 8.245914, 152.637546, 4.507630, 134.463843, 1.297165, 117.012040, 0.000000, 99.301792, 0.631357, 81.267635, 3.923490, 63.896059, 9.099193, 46.631536, 16.856074, 30.017889, 26.642137, 14.234101, 42.221952, 2.612930, 60.016632, 0.000000, 76.935227, 9.034129, 86.177999, 26.040926, 89.577827, 43.123025, 93.276692, 60.554527, 94.493053, 77.798999, 92.543886, 97.030827, 91.566239, 112.300050, 91.436504, 130.632885, 91.930735, 148.731367, 92.753961, 166.478802, 93.479240, 183.431017, 94.018490, 201.063743, 93.995914, 219.209653, 93.239687, 235.413462, 91.381170, 253.381513, 88.655913, 270.728036, 78.907681, 287.421256, 65.233088, 291.116873, 60.757531, 291.261453
Type02, L, 230, 62.915815, 231.265888, 58.577545, 230.924495, 48.310233, 229.307179, 37.249225, 217.673765, 32.661529, 203.851884, 29.433301, 189.846943, 26.514624, 175.671287, 23.429089, 161.937280, 19.839465, 147.770559, 15.604715, 133.841878, 10.665746, 120.462261, 5.485581, 106.603060, 1.807425, 92.838561, 0.000000, 77.929319, 0.537737, 64.279695, 2.835014, 50.029734, 7.091400, 36.312245, 13.375262, 22.574750, 23.199521, 10.254701, 36.364706, 3.072458, 50.624052, 0.000000, 65.344375, 4.489339, 74.811361, 17.472406, 80.229896, 30.882859, 83.185842, 44.473077, 85.611655, 59.297125, 87.426344, 72.848703, 83.413194, 87.250363, 78.454550, 101.071770, 72.967726, 115.139357, 71.327552, 129.971296, 73.510685, 144.389119, 77.352795, 158.222463, 81.689609, 172.345277, 84.984049, 185.343505, 87.147633, 199.429765, 86.082315, 214.201411, 77.714694, 228.044122, 67.183517, 231.159669, 63.322707, 231.210204
Type02, L, 250, 65.347417, 251.521244, 70.077126, 251.439770, 81.765791, 247.569122, 88.541949, 232.276781, 88.392435, 217.234612, 85.659112, 201.942916, 80.788595, 187.891290, 75.839397, 172.353613, 72.861112, 158.025450, 70.445258, 142.377401, 71.866248, 127.046833, 77.837169, 112.071131, 84.515491, 97.190042, 89.035339, 81.804414, 87.684198, 67.021810, 85.469184, 51.296265, 82.316715, 36.691829, 78.710264, 21.262570, 69.638026, 6.964378, 53.530331, 0.000000, 38.111839, 3.197332, 23.986627, 12.759068, 14.173208, 26.489814, 7.583168, 41.295843, 2.637429, 56.117115, 0.000000, 71.270962, 0.849375, 86.306878, 3.879705, 100.651278, 7.722680, 115.281687, 12.214927, 130.131503, 16.694320, 145.539770, 21.487238, 160.934252, 25.312101, 175.456165, 28.766841, 190.924285, 31.275523, 206.786918, 34.180027, 221.345061, 38.219149, 236.087660, 48.957189, 250.372534, 60.566809, 251.631851, 64.887040, 251.604881
Type02, L, 260, 66.223790, 261.320707, 61.550931, 261.529025, 50.466769, 258.137522, 39.132271, 244.100538, 33.802623, 228.779327, 31.039239, 212.779614, 28.686533, 196.582989, 25.493002, 181.803232, 21.494530, 166.305286, 16.528375, 150.124297, 11.060637, 134.773639, 5.962595, 118.671208, 1.916055, 103.295988, 0.000000, 87.134311, 0.702494, 71.286419, 3.082106, 56.098729, 7.878269, 40.397197, 14.944585, 25.390446, 25.709289, 11.828713, 40.519056, 2.435088, 56.317872, 0.000000, 72.227284, 7.632038, 81.750004, 21.777891, 85.699302, 37.654924, 88.954936, 53.138343, 92.155162, 68.811690, 92.974129, 84.890394, 88.586435, 100.066081, 81.454255, 115.189194, 76.891381, 130.502772, 75.773099, 146.845788, 77.238267, 162.940822, 80.372459, 178.256900, 84.459378, 193.991639, 89.088220, 209.583024, 93.021973, 225.733442, 92.009239, 241.778480, 82.730725, 257.223882, 71.357120, 260.940281, 66.256271, 261.234156
Type02, L, 270, 68.618488, 271.495388, 63.154319, 271.441069, 51.144976, 268.760511, 39.324425, 254.254403, 34.492951, 238.218311, 31.941291, 221.566759, 28.129554, 204.916729, 24.061731, 188.905072, 19.782285, 172.384508, 15.865147, 156.624956, 11.214572, 140.571184, 6.228608, 124.791261, 2.383361, 109.058648, 0.000000, 92.199121, 0.362926, 75.658417, 3.452906, 59.217633, 8.788969, 43.023368, 17.073956, 27.647020, 27.768676, 12.873804, 42.921715, 2.678662, 59.647707, 0.000000, 76.519834, 8.100873, 85.185080, 23.827401, 89.721889, 39.956733, 92.236275, 56.089984, 95.208138, 72.377979, 96.386544, 89.803778, 90.657872, 105.803858, 82.715394, 121.593636, 78.140125, 137.899832, 78.148131, 154.417359, 80.430802, 170.979741, 83.860976, 187.439805, 88.536215, 202.819326, 93.142399, 218.772223, 96.145815, 235.180229, 95.588143, 252.218189, 85.652440, 267.829484, 73.008833, 271.206966, 69.391320, 271.180258
Type03, L, 230, 50.396017, 230.837836, 46.299125, 230.403598, 36.180035, 228.546960, 25.771449, 216.709767, 21.296528, 202.611189, 18.466230, 188.778338, 16.843988, 174.934204, 14.454445, 160.060154, 11.710209, 145.916046, 8.636031, 132.383215, 5.681174, 118.593402, 2.948455, 104.770612, 1.005493, 91.578642, 0.000000, 77.240322, 0.319341, 63.991574, 2.400343, 49.787286, 6.353962, 36.288663, 12.667506, 22.718718, 21.231694, 10.410967, 34.204396, 1.215188, 47.895544, 0.000000, 61.800002, 5.457123, 70.786577, 18.592433, 75.186975, 32.067344, 77.738817, 47.032425, 78.378509, 61.190841, 78.662998, 74.708440, 77.327235, 89.450991, 74.777408, 103.083182, 72.568087, 117.141555, 71.237204, 131.363040, 72.939524, 145.679784, 75.115975, 159.106901, 76.859205, 173.280622, 78.027509, 187.720717, 79.044567, 202.642330, 76.229397, 216.234068, 64.152228, 228.232360, 55.557543, 230.316221, 50.249536, 230.856360
Type03, L, 235, 53.423381, 236.209349, 48.765629, 236.055363, 38.977152, 235.183932, 27.024726, 224.297063, 21.592888, 210.562410, 18.758887, 196.302048, 17.012218, 182.069757, 15.368878, 167.400483, 12.938031, 153.434987, 9.901288, 139.041960, 6.444337, 124.874314, 3.644799, 111.145340, 1.138413, 96.091331, 0.000000, 82.332469, 0.467402, 67.313894, 2.069746, 53.129198, 5.623870, 38.798549, 11.278079, 25.251774, 20.140047, 12.609427, 31.644013, 2.634731, 46.792511, 0.000000, 60.594946, 6.176637, 70.575408, 18.563740, 75.749346, 32.496502, 78.403464, 46.453887, 79.548510, 61.065327, 79.865639, 75.393201, 79.041539, 90.053039, 77.378374, 104.433469, 75.891703, 118.721394, 74.988245, 133.823733, 75.317424, 148.375111, 76.088978, 163.581391, 77.531918, 177.544034, 78.978424, 191.371088, 80.206932, 205.508069, 77.743200, 219.746482, 68.302330, 232.440724, 58.326530, 236.367039, 53.335631, 235.680855
Type03, L, 245, 53.729667, 245.614195, 48.494376, 245.123699, 38.298516, 243.679259, 26.705719, 230.825469, 22.185531, 217.021876, 18.829453, 200.811509, 17.472307, 185.992857, 14.951601, 171.122740, 11.997778, 156.161090, 8.940505, 141.233651, 5.585934, 125.543843, 2.935566, 110.613325, 0.854834, 95.559000, 0.000000, 80.547979, 0.463472, 65.291350, 3.135854, 50.348831, 7.660411, 36.002654, 13.971776, 22.259088, 22.620389, 8.429378, 36.612299, 0.448980, 52.135597, 0.000000, 66.004106, 8.681964, 74.934243, 22.463013, 78.706912, 36.986202, 80.992991, 52.628152, 82.399952, 66.605488, 83.265513, 81.893856, 81.786477, 96.783167, 79.012448, 111.298881, 76.625486, 125.813207, 76.395406, 141.166500, 77.439479, 156.141669, 79.452449, 170.669928, 81.258808, 184.970539, 82.899175, 200.325218, 83.038498, 215.113419, 80.227676, 229.910173, 69.300711, 243.426788, 58.680047, 245.115359, 53.823312, 245.498568
Type03, L, 250, 52.379324, 250.713223, 47.477823, 250.388982, 36.762088, 248.307627, 24.881163, 235.538304, 21.025115, 220.516222, 18.446925, 205.850380, 16.172218, 189.829589, 13.967492, 174.833705, 11.319894, 158.713048, 8.681068, 143.667613, 5.893319, 127.988516, 3.763394, 113.621810, 1.403198, 97.359579, 0.057951, 82.189091, 0.000000, 67.458104, 2.012114, 52.137002, 6.432138, 36.736215, 13.384390, 22.448860, 23.305201, 8.691571, 37.968627, 0.000000, 52.311484, 0.855675, 67.644473, 9.353669, 75.457848, 24.460051, 79.485306, 38.853499, 82.472704, 54.680230, 83.506733, 69.899687, 83.264147, 84.531672, 82.028883, 99.095790, 79.958697, 114.996578, 78.860697, 129.656840, 79.274007, 144.493289, 79.602792, 159.313786, 80.029030, 174.277511, 80.385635, 189.481142, 81.582960, 205.080424, 82.020914, 219.664695, 79.489825, 234.593795, 68.352051, 248.613098, 57.182888, 250.038749, 53.290685, 250.974405
