Type,Cluster_ID,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,2,240,PCA_KRR,7.94515,7.37166,1.50539,0.43856,0.85548,0.49450,0.72060,8.90456,0.98045,0.99013,0.00000
Type00,2,240,PCA_LINEAR,6.50435,5.71597,10.17242,2.41954,35.15915,2.95577,10.17242,1170.21778,0.90892,0.95229,0.00000
Type00,2,240,PCA_SVR,8.03370,7.55241,1.39537,0.42177,1.47588,0.24803,1.39537,19.41734,0.97681,0.98827,0.00000
Type00,2,240,PURE_GPR,7.59134,7.01786,1.59138,0.37895,2.01499,0.69184,0.35223,73.91800,0.97959,0.98969,0.00000
Type00,2,240,PURE_KRR,7.88171,7.30888,1.43907,0.42346,1.08606,0.48240,0.65056,13.57863,0.98097,0.99039,0.00000
Type00,2,240,PURE_SVR,7.57008,7.01296,0.89726,0.24720,0.93302,0.56559,0.51684,112.63562,0.98558,0.99274,0.00000
Type00,2,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,2,245,PCA_KRR,7.21524,6.59474,1.45750,0.72102,4.69067,0.80540,0.48039,426.34768,0.97009,0.98482,0.00000
Type00,2,245,PCA_LINEAR,6.84664,5.96644,10.27164,2.66845,35.19200,2.69093,10.05365,1360.17625,0.89983,0.94727,0.00000
Type00,2,245,PCA_SVR,7.17908,6.57906,1.13253,0.41752,5.80053,0.78694,0.81660,310.12601,0.98003,0.98991,0.00000
Type00,2,245,PURE_GPR,7.31750,6.72464,1.59270,0.71034,3.44823,0.65659,0.29368,412.34749,0.96942,0.98447,0.00000
Type00,2,245,PURE_KRR,7.22712,6.61950,1.39691,0.69212,4.55721,0.81425,0.43598,416.51129,0.97112,0.98535,0.00000
Type00,2,245,PURE_SVR,7.34750,6.75614,2.40165,0.95909,3.46649,0.75259,0.11615,528.29041,0.96238,0.98083,0.00000
Type00,2,245,RATIO_CTRL,2.30674,2.15994,3.03381,0.88086,0.68539,0.86675,0.16717,39.04172,0.96826,0.98388,0.00000
Type00,2,255,PCA_KRR,8.03977,7.25133,1.63151,0.65684,4.16434,0.19381,0.33570,38.76524,0.96678,0.98311,0.00000
Type00,2,255,PCA_LINEAR,6.91602,6.17349,10.47474,2.90314,35.63649,1.86333,10.12315,759.10750,0.89419,0.94414,0.00000
Type00,2,255,PCA_SVR,8.08148,7.39093,0.96155,0.23705,2.61535,0.46580,0.11478,132.97657,0.98229,0.99107,0.00000
Type00,2,255,PURE_GPR,8.31806,7.59371,2.00477,0.74713,3.12909,0.04347,0.12811,119.76484,0.96183,0.98054,0.00000
Type00,2,255,PURE_KRR,8.03839,7.27038,1.56241,0.63048,3.91736,0.20094,0.27842,39.90030,0.96697,0.98321,0.00000
Type00,2,255,PURE_SVR,8.10829,7.41807,1.03263,0.30274,2.73114,0.15611,0.04862,52.11249,0.98215,0.99099,0.00000
Type00,2,255,RATIO_CTRL,3.10743,2.51395,6.49298,1.96496,1.54007,2.82621,0.20137,876.98028,0.93234,0.96498,0.00000
Type00,2,265,PCA_KRR,8.94378,8.17155,2.05367,1.05104,4.31936,1.69830,0.53802,652.73322,0.95079,0.97477,0.00000
Type00,2,265,PCA_LINEAR,8.15083,6.94651,10.41701,2.86138,38.27808,3.75465,10.41701,1631.05027,0.89896,0.94679,0.00000
Type00,2,265,PCA_SVR,8.18766,7.44483,1.64428,0.33033,4.55894,0.67249,0.28355,275.59202,0.98539,0.99264,0.00000
Type00,2,265,PURE_GPR,9.05710,8.35864,2.38610,1.00139,4.85497,1.69416,0.73848,606.96101,0.95425,0.97659,0.00000
Type00,2,265,PURE_KRR,8.83789,8.08921,2.05498,1.06187,4.50650,1.69262,0.45494,665.25896,0.95063,0.97469,0.00000
