,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2355,5.8212,4.3574,3.3177,4.4346,4.0955,3.7781
Type01,4.2355,0.0000,6.7906,2.9065,3.7786,5.4637,3.0642,7.4687
Type02,5.8212,6.7906,0.0000,4.4773,4.1634,4.7427,4.3416,7.8498
Type03,4.3574,2.9065,4.4773,0.0000,3.1365,3.7098,1.1989,7.4689
Type04,3.3177,3.7786,4.1634,3.1365,0.0000,4.0442,3.2565,6.0271
Type05,4.4346,5.4637,4.7427,3.7098,4.0442,0.0000,4.1834,5.6323
Type06,4.0955,3.0642,4.3416,1.1989,3.2565,4.1834,0.0000,7.3582
Type07,3.7781,7.4687,7.8498,7.4689,6.0271,5.6323,7.3582,0.0000
