Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
PCA_GPR,9.40095,8.71938,12.59347,3.18521,37.43441,3.42718,1411.67603,0.88544,0.93839,8.56971
PCA_KRR,6.83991,6.25631,4.73062,1.43812,9.84843,1.49650,648.73446,0.93327,0.96513,5.92468
PCA_LINEAR,6.41438,5.99073,4.38632,1.34860,9.61421,1.43031,498.78022,0.94279,0.97034,5.79304
PCA_SVR,6.95370,6.39708,4.98701,1.50031,10.13823,1.67656,651.56547,0.92983,0.96328,5.96661
PURE_GPR,7.08080,6.62017,5.90588,1.81527,14.93137,1.47491,701.90248,0.92227,0.95935,6.16719
PURE_KRR,6.99225,6.40277,5.35505,1.69076,10.89891,1.45592,676.82982,0.92488,0.96060,6.03185
PURE_SVR,7.09725,6.48281,5.49304,1.71806,11.29820,1.53717,690.97166,0.92505,0.96067,6.11655
RATIO_CTRL,2.30562,2.11950,3.08201,1.19386,2.87266,2.03489,427.45994,0.95639,0.97748,1.69593
