type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33
Type01, L, 280, 58.868328, 282.563166, 52.389583, 282.800024, 36.294812, 279.018664, 25.200320, 258.118224, 22.257583, 237.638653, 18.857549, 215.781692, 15.955373, 195.800112, 12.016557, 174.025249, 8.085940, 153.771236, 3.783199, 132.907192, 0.652685, 112.241700, 0.000000, 90.718083, 2.595974, 70.513024, 7.919989, 50.686008, 15.922814, 30.943702, 28.451312, 11.513310, 48.951608, 0.000000, 71.358689, 5.580178, 84.362609, 25.391625, 87.654505, 45.830123, 91.062927, 66.409345, 90.254143, 87.374424, 87.849570, 108.148444, 86.815170, 129.113298, 86.883003, 150.455779, 89.465612, 171.301046, 91.186558, 191.625647, 89.172358, 212.366995, 89.496175, 234.775100, 88.825075, 254.243515, 81.279704, 275.424131, 65.649996, 282.846258, 59.528753, 281.648944
Type01, L, 290, 60.186239, 292.596045, 53.477171, 293.027992, 37.397127, 288.530340, 25.596809, 266.898479, 23.943692, 246.021556, 19.376855, 223.948140, 16.944058, 203.109946, 14.146079, 180.868466, 10.145502, 160.418909, 5.120135, 137.875383, 1.267625, 116.463019, 0.000000, 94.327435, 2.263805, 72.473138, 8.079486, 51.132632, 17.013585, 30.527196, 30.173439, 11.194072, 51.139798, 0.000000, 73.743429, 5.809282, 86.949960, 26.410464, 90.318031, 47.981226, 95.110459, 68.597923, 93.512328, 92.171693, 91.723267, 112.000412, 91.753031, 133.926684, 92.439263, 156.666926, 93.548575, 177.682910, 94.213686, 199.179968, 94.399765, 221.437174, 93.039413, 241.713590, 90.732321, 263.853322, 83.719793, 285.364581, 66.892356, 292.935239, 60.883889, 291.867194
Type02, L, 230, 63.080827, 230.606588, 57.886271, 230.509403, 44.518430, 227.187444, 34.482741, 210.593933, 30.639992, 193.528552, 26.854349, 175.940235, 23.158572, 159.059029, 18.459266, 141.421362, 12.830995, 124.760252, 6.234497, 107.959363, 1.495556, 90.670569, 0.000000, 72.690654, 1.618183, 55.631617, 6.185841, 38.410237, 13.426854, 21.350895, 26.554698, 6.755327, 43.345109, 0.000000, 62.238570, 0.661811, 75.263857, 16.420578, 81.371930, 32.775506, 84.188579, 50.324450, 87.943875, 67.822739, 84.512892, 85.076752, 77.715794, 102.382507, 71.600841, 119.762302, 72.312914, 138.292512, 76.811275, 155.235594, 82.222827, 172.667263, 86.080735, 188.730102, 87.890096, 206.560421, 81.523988, 225.065397, 68.462474, 230.943858, 63.436871, 230.319794
Type02, L, 250, 65.324245, 251.620992, 71.382263, 252.053604, 85.450824, 244.805666, 89.173913, 225.315637, 86.976530, 206.675832, 81.097811, 188.926546, 75.139272, 170.195724, 71.622418, 152.182455, 70.228594, 132.630867, 76.662117, 114.371720, 85.636204, 95.722740, 89.378009, 77.197077, 86.465488, 58.253937, 82.953652, 39.734909, 79.132851, 21.031036, 66.177011, 3.351862, 45.355841, 0.000000, 27.305818, 9.546722, 13.949512, 26.051402, 6.495535, 44.510521, 0.741605, 62.740080, 0.000000, 81.686652, 3.427116, 99.378316, 8.299668, 117.427626, 13.788579, 135.822839, 19.631180, 155.178040, 24.857602, 173.178786, 28.906213, 192.095039, 32.164827, 211.711097, 35.611555, 228.966013, 44.718326, 248.437194, 59.520984, 252.549541, 64.865243, 251.337028
Type02, L, 260, 66.379869, 262.060175, 60.582527, 262.593691, 46.677367, 256.549833, 35.877545, 237.712150, 31.861627, 218.599936, 29.082548, 198.199794, 25.120379, 180.297253, 19.870786, 160.465884, 13.195425, 141.237479, 6.709302, 121.599797, 1.508388, 102.549163, 0.000000, 82.434301, 1.768675, 63.511645, 6.727584, 44.350904, 14.992695, 25.473616, 29.311299, 9.283336, 48.357966, 0.000000, 68.827055, 4.718956, 82.418552, 21.967728, 86.337664, 41.643463, 90.664898, 60.538919, 93.784005, 80.428030, 89.751491, 99.436884, 80.445336, 117.884809, 76.021291, 137.148670, 76.363412, 157.476434, 79.871269, 176.518593, 84.811173, 195.731228, 90.796167, 215.214770, 94.163947, 234.980695, 86.682507, 255.193259, 72.827212, 262.201729, 66.360809, 261.646558
Type02, L, 270, 69.094306, 272.126565, 62.345761, 272.491471, 47.394434, 267.166200, 36.453993, 247.462688, 33.350633, 227.382645, 28.991496, 206.659957, 23.761444, 186.863280, 18.706834, 166.668127, 13.608341, 147.232774, 7.239151, 127.527288, 2.392762, 108.191698, 0.000000, 87.299542, 2.081107, 67.027770, 7.850433, 46.876466, 17.427409, 27.721672, 31.766458, 9.844207, 51.301969, 0.000000, 73.551297, 4.700825, 86.152283, 23.931954, 90.765043, 43.987912, 93.807561, 63.564164, 97.679401, 84.777074, 92.353655, 105.091688, 81.802960, 124.292808, 77.880115, 144.722077, 79.755444, 164.967871, 83.547522, 185.578414, 89.372675, 204.520260, 94.866029, 224.309657, 97.594727, 244.811150, 90.708998, 265.968109, 74.534189, 272.334597, 69.805700, 271.595281
Type03, L, 230, 50.547666, 231.760389, 45.609545, 231.526925, 32.509927, 227.969515, 23.173330, 211.062312, 19.301473, 193.850298, 17.115530, 176.933196, 14.304900, 158.506216, 10.649057, 141.453694, 6.935084, 124.658376, 3.398824, 107.575294, 0.951328, 91.072945, 0.000000, 73.744110, 1.257899, 57.056369, 5.472025, 39.718683, 12.703209, 23.432335, 24.322541, 7.778247, 41.113200, 0.000000, 58.773206, 3.566881, 71.292195, 18.792682, 76.129977, 35.966605, 78.453256, 54.434418, 78.894899, 70.996296, 77.870359, 88.923118, 74.653792, 105.979052, 71.807917, 123.184684, 71.972341, 141.095228, 75.095603, 157.854840, 77.162010, 175.037092, 78.501415, 193.290517, 79.471011, 211.059873, 68.367609, 227.228188, 56.256124, 231.703024, 50.908620, 231.469068
Type03, L, 235, 53.513645, 236.828054, 48.022951, 236.925535, 35.197536, 234.665205, 23.569274, 218.620370, 19.564378, 201.335957, 17.211144, 183.620822, 15.227178, 165.704587, 12.011423, 148.426389, 7.777957, 130.565720, 4.083104, 113.715587, 0.974938, 95.384035, 0.000000, 78.103073, 1.259853, 59.757723, 4.597536, 42.339749, 11.549454, 25.363039, 22.604521, 9.885942, 38.971412, 0.000000, 57.809482, 3.749495, 70.789579, 18.660216, 76.823539, 35.897908, 79.208213, 53.392634, 80.114201, 71.269857, 79.377105, 89.279846, 77.301767, 106.890362, 75.473647, 124.933312, 75.138175, 143.172091, 76.049496, 161.738908, 77.707207, 179.232414, 79.645645, 196.114238, 80.327794, 213.873748, 71.903078, 230.784006, 59.609244, 237.259853, 53.491195, 236.265186
Type03, L, 245, 53.838189, 247.184143, 47.858162, 247.314797, 34.238697, 243.221059, 24.054835, 226.322523, 19.824217, 207.528765, 17.699473, 188.431241, 14.780195, 170.389573, 10.988339, 151.955059, 7.005048, 132.996512, 3.325958, 114.183301, 0.867341, 95.796891, 0.000000, 77.185566, 1.683233, 58.336594, 6.756901, 40.531608, 14.071158, 23.339988, 25.663654, 6.767486, 44.648962, 0.000000, 63.243237, 6.705097, 75.395078, 23.539805, 79.540335, 41.873916, 81.870042, 60.504668, 83.491854, 78.192463, 82.460024, 97.242268, 78.669739, 114.744714, 76.333584, 133.079093, 77.032155, 151.970048, 79.221720, 169.976899, 81.717431, 187.570009, 83.341223, 206.662785, 82.954458, 224.454681, 73.659506, 243.164536, 59.773817, 247.275435, 54.201961, 246.830135
Type03, L, 250, 52.558951, 252.172780, 46.896294, 252.048245, 32.575767, 248.153540, 22.343817, 229.877977, 19.587726, 211.904026, 16.496515, 192.516541, 13.855161, 173.552024, 10.535828, 154.202971, 7.100211, 135.130176, 4.265028, 117.068882, 1.417943, 97.322286, 0.000000, 78.705776, 0.820815, 60.504463, 5.553849, 41.068964, 13.339335, 23.530907, 27.154042, 6.405163, 45.141881, 0.000000, 64.555273, 7.269687, 76.231941, 25.290183, 80.296486, 43.407982, 83.723956, 63.007169, 83.673092, 81.174984, 82.628561, 99.066775, 79.786662, 118.531551, 79.112917, 136.565172, 79.793241, 154.873786, 80.155775, 173.252969, 80.711856, 191.986006, 82.112073, 211.213080, 82.168269, 228.746922, 73.022890, 248.120802, 58.232118, 252.057517, 53.668658, 252.013548
Type03, L, 255, 56.245502, 256.776970, 50.360557, 256.698650, 36.231613, 254.584387, 22.790240, 237.532240, 19.871926, 218.125024, 16.371685, 198.563386, 14.163818, 180.202429, 10.971641, 160.654074, 8.401697, 142.202233, 4.977182, 122.664964, 2.081272, 104.599927, 0.000000, 83.857735, 0.944341, 65.994633, 4.761464, 46.072573, 12.198319, 28.375152, 22.488804, 10.055036, 40.935880, 0.000000, 61.086556, 2.986600, 75.533742, 18.911832, 80.508109, 38.259569, 84.062993, 57.773105, 84.229827, 77.629408, 83.318643, 96.733676, 81.133773, 116.379321, 79.805171, 136.217774, 79.462912, 154.891701, 80.725594, 174.768855, 82.240999, 194.245050, 84.252748, 212.315932, 84.194560, 231.855812, 76.188287, 251.209948, 62.108107, 256.469854, 56.090629, 256.620812
