Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,9.93491,9.10111,2.76919,0.91527,3.68345,0.68092,0.43694,279.29430,0.95519,0.97704,0.00000
PCA_KRR,2,9.71312,8.94504,1.70575,0.60926,4.10866,0.88718,0.46044,269.12227,0.96847,0.98395,0.00000
PCA_KRR,3,9.58927,8.81333,1.41729,0.44735,4.75633,0.82433,0.69977,242.52949,0.97860,0.98918,0.00000
PCA_KRR,4,9.98137,9.20446,1.73100,0.35272,4.32986,0.76587,0.20259,257.22367,0.98513,0.99251,0.00000
PCA_LINEAR,1,10.34149,9.47773,5.49817,1.92482,2.33870,0.73374,0.26460,486.62938,0.92002,0.95819,0.00000
PCA_LINEAR,2,10.32528,9.47929,7.52379,2.25908,18.74071,1.81699,5.35532,743.87271,0.90811,0.95169,0.00000
PCA_LINEAR,3,7.97502,7.08321,10.98188,2.60640,35.86301,2.06906,10.98112,955.51359,0.89835,0.94643,0.00000
PCA_LINEAR,4,20.26592,20.05038,20.44739,5.03784,54.93200,4.28730,20.33789,1891.89985,0.83578,0.91050,0.00000
PCA_SVR,1,9.97808,9.16094,3.00474,0.91528,4.73665,0.67426,1.13823,263.74398,0.95632,0.97761,0.00000
PCA_SVR,2,9.66273,8.91960,1.81102,0.54387,4.75404,0.75355,1.00816,252.30660,0.97361,0.98661,0.00000
PCA_SVR,3,9.31964,8.55814,3.38969,0.80386,7.71106,0.79251,1.39336,354.20958,0.96410,0.98160,0.00000
PCA_SVR,4,10.20926,9.50925,1.71584,0.50094,3.44186,0.63819,1.52130,200.60369,0.97637,0.98804,0.00000
PURE_GPR,1,9.85332,9.01333,2.76347,0.94913,3.84923,0.66033,0.40088,268.51591,0.95386,0.97634,0.00000
PURE_GPR,2,9.71865,8.95434,1.83296,0.66611,4.18706,0.91847,0.41040,280.77890,0.96716,0.98327,0.00000
PURE_GPR,3,9.56891,8.78180,1.50345,0.48118,4.81689,0.83853,0.38227,244.53759,0.97670,0.98820,0.00000
PURE_GPR,4,9.97642,9.19554,1.73228,0.32158,4.32115,0.76705,0.01311,257.57719,0.98657,0.99324,0.00000
PURE_KRR,1,9.82602,8.98672,2.69909,0.90917,3.77834,0.64255,0.44901,268.74378,0.95536,0.97712,0.00000
PURE_KRR,2,9.70254,8.93469,1.67496,0.58479,4.10379,0.86972,0.34874,268.18307,0.96955,0.98451,0.00000
PURE_KRR,3,9.58947,8.80965,1.39507,0.42442,4.74466,0.81457,0.60287,240.77721,0.97964,0.98971,0.00000
PURE_KRR,4,9.97922,9.20133,1.73304,0.33778,4.30595,0.76645,0.16231,257.42006,0.98530,0.99260,0.00000
PURE_SVR,1,10.05446,9.18000,2.74468,0.89864,4.03813,0.66831,0.48295,278.60236,0.95802,0.97847,0.00000
PURE_SVR,2,9.65852,8.88244,1.85798,0.57441,4.24047,0.89966,0.27748,316.70994,0.97224,0.98588,0.00000
PURE_SVR,3,9.62429,8.86414,1.27235,0.38433,3.97478,0.86207,0.36002,230.04082,0.98072,0.99027,0.00000
PURE_SVR,4,9.97762,9.19948,1.73018,0.33316,4.13651,0.78011,0.09889,247.40923,0.98645,0.99318,0.00000
RATIO_CTRL,1,3.62970,3.32633,4.65952,1.72548,3.64297,3.09239,0.29844,604.56683,0.93782,0.96781,0.00000
RATIO_CTRL,2,2.90059,2.57088,4.85954,1.74983,4.57360,2.96375,0.23026,671.81648,0.93541,0.96638,0.00000
RATIO_CTRL,3,4.63672,3.84461,7.54743,3.13487,6.98556,5.95003,0.95926,1335.83504,0.88622,0.93967,0.00000
RATIO_CTRL,4,1.57444,1.44179,2.50231,0.86890,1.87710,1.32205,0.13417,421.28336,0.96361,0.98126,0.00000
