CTRL_Count,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD,,
50,PCA_SVR,7.67064,6.99763,4.38127,1.47903,6.85328,1.11219,371.38732,0.93712,0.96717,6.60974,,
60,PCA_SVR,6.74748,6.13909,4.33109,1.46612,6.47937,1.14104,346.39412,0.93856,0.96794,5.78177,,
70,PCA_SVR,6.01589,5.47272,4.33592,1.48267,6.26606,1.1712,333.81343,0.9388,0.96807,5.1482,,
10,PURE_GPR,32.03639,28.99078,15.40525,4.45695,29.01624,3.2889,1353.23904,0.82426,0.90331,28.43683,,
20,PURE_GPR,16.47295,15.39497,6.2436,1.88606,10.66077,1.54788,527.07379,0.9217,0.95908,14.9895,,
30,PURE_GPR,11.30353,10.36707,4.898,1.5776,6.84998,0.97731,446.62655,0.92993,0.96349,10.00992,,
40,PURE_GPR,9.00479,8.20095,4.89659,1.5206,6.34871,1.00289,379.49322,0.93715,0.96736,7.86494,,
50,PURE_GPR,7.80009,7.06999,5.00014,1.53729,6.45753,1.01356,344.71052,0.9375,0.96753,6.71929,,
60,PURE_GPR,6.81631,6.14798,5.01068,1.54881,6.06914,1.07351,354.80129,0.93438,0.96587,5.7654,,
70,PURE_GPR,6.13183,5.53314,5.07116,1.55788,6.19689,1.12578,388.84813,0.93275,0.965,5.11611,,
10,PURE_KRR,31.98626,28.89566,15.1911,4.30907,25.1006,3.10026,1345.19737,0.83161,0.90771,28.3328,,
20,PURE_KRR,16.24753,15.14577,6.08565,1.81537,10.56366,1.59657,526.86518,0.92551,0.96115,14.73744,,
30,PURE_KRR,11.05486,10.12748,4.54422,1.5442,5.99979,1.04216,435.71837,0.93206,0.96459,9.78343,,
40,PURE_KRR,8.77527,7.97834,4.49986,1.47191,4.73957,0.97942,358.25891,0.93966,0.96865,7.65616,,
50,PURE_KRR,7.53897,6.81015,4.62066,1.46311,4.77015,1.00448,349.29799,0.93963,0.96858,6.47462,,
60,PURE_KRR,6.55057,5.88734,4.63388,1.48,4.36339,1.04585,348.85636,0.93619,0.96676,5.53979,,
10,PURE_SVR,31.67379,28.61028,15.17398,4.34158,29.96501,3.17272,1367.95788,0.83206,0.90804,28.05812,,
20,PURE_SVR,16.48978,15.39737,6.31574,1.85991,11.851,1.69395,556.65366,0.92321,0.95987,14.98836,,
30,PURE_SVR,11.18503,10.24136,4.60893,1.53181,6.53171,1.05272,455.88995,0.9328,0.96499,9.88295,,
40,PURE_SVR,8.95393,8.14911,4.58204,1.46368,4.95847,1.01178,379.02024,0.93999,0.96883,7.81223,,
50,PURE_SVR,7.69939,6.97928,4.71146,1.45608,5.08509,1.02959,371.04371,0.93964,0.96857,6.65969,,
60,PURE_SVR,6.64783,5.98289,4.64727,1.46383,4.55371,1.06091,372.03504,0.93703,0.96719,5.63971,,
10,RATIO_CTRL,27.94721067,25.26724529,14.63719392,4.227365625,26.27870713,3.449096542,1469.366542,0.84131625,0.913220375,24.74063083,,
20,RATIO_CTRL,14.32790058,13.28850063,6.832656042,2.110748625,12.91329567,2.239883833,680.4447267,0.92071875,0.958470792,12.88231804,,
30,RATIO_CTRL,10.20031058,9.282870083,5.670545708,1.892644917,9.166060667,1.643446208,579.569539,0.923265083,0.959838,8.907037,,
40,RATIO_CTRL,8.270254708,7.454888875,5.617955583,1.816481792,8.212970833,1.593460333,529.4404961,0.929226667,0.96304375,7.085663,,
50,RATIO_CTRL,7.328512333,6.560002917,5.718546292,1.800160583,8.490140333,1.610566833,552.4976985,0.929543292,0.9631795,6.164937833,,
60,RATIO_CTRL,6.497130917,5.780437833,5.527488375,1.763278125,7.530721875,1.592975,532.1122035,0.929501875,0.96320975,5.365616458,,
70,RATIO_CTRL,5.76249967,5.124009176,5.563148297,1.750404396,7.85188511,1.727820055,541.4617791,0.931890275,0.964488516,4.722241923,,
