CTRL_Count,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
70,PCA_LINEAR,5.77272,5.20071,3.76161,1.20335,4.16634,0.92428,1.10122,289.96432,0.94972,0.97408,4.97198
10,PCA_SVR,32.73918,29.60938,15.45035,4.30097,27.41558,3.03554,5.7805,1199.53595,0.83753,0.91118,28.99426
20,PCA_SVR,16.41746,15.34134,6.39769,1.83094,10.20751,1.66084,3.45334,422.67768,0.93183,0.96453,14.92816
30,PCA_SVR,11.33709,10.44775,4.43055,1.56662,6.24567,1.06848,2.38254,329.73025,0.9345,0.9659,10.09117
40,PCA_SVR,8.85461,8.0886,4.31348,1.49699,6.0849,1.0576,2.08382,302.66079,0.93803,0.96774,7.76338
50,PCA_SVR,7.67064,6.99763,4.38127,1.47903,6.85328,1.11219,2.08102,371.38732,0.93712,0.96717,6.60974
60,PCA_SVR,6.74748,6.13909,4.33109,1.46612,6.47937,1.14104,1.97139,346.39412,0.93856,0.96794,5.78177
70,PCA_SVR,6.01589,5.47272,4.33592,1.48267,6.26606,1.1712,1.9281,333.81343,0.9388,0.96807,5.1482
10,PURE_GPR,32.03639,28.99078,15.40525,4.45695,29.01624,3.2889,6.68142,1353.23904,0.82426,0.90331,28.43683
20,PURE_GPR,16.47295,15.39497,6.2436,1.88606,10.66077,1.54788,3.294,527.07379,0.9217,0.95908,14.9895
30,PURE_GPR,11.30353,10.36707,4.898,1.5776,6.84998,0.97731,2.35599,446.62655,0.92993,0.96349,10.00992
40,PURE_GPR,9.00479,8.20095,4.89659,1.5206,6.34871,1.00289,1.88635,379.49322,0.93715,0.96736,7.86494
50,PURE_GPR,7.80009,7.06999,5.00014,1.53729,6.45753,1.01356,1.89845,344.71052,0.9375,0.96753,6.71929
60,PURE_GPR,6.81631,6.14798,5.01068,1.54881,6.06914,1.07351,1.75655,354.80129,0.93438,0.96587,5.7654
70,PURE_GPR,6.13183,5.53314,5.07116,1.55788,6.19689,1.12578,1.73839,388.84813,0.93275,0.965,5.11611
10,PURE_KRR,31.98626,28.89566,15.1911,4.30907,25.1006,3.10026,6.1752,1345.19737,0.83161,0.90771,28.3328
20,PURE_KRR,16.24753,15.14577,6.08565,1.81537,10.56366,1.59657,2.57655,526.86518,0.92551,0.96115,14.73744
30,PURE_KRR,11.05486,10.12748,4.54422,1.5442,5.99979,1.04216,1.71895,435.71837,0.93206,0.96459,9.78343
40,PURE_KRR,8.77527,7.97834,4.49986,1.47191,4.73957,0.97942,1.27159,358.25891,0.93966,0.96865,7.65616
50,PURE_KRR,7.53897,6.81015,4.62066,1.46311,4.77015,1.00448,1.18256,349.29799,0.93963,0.96858,6.47462
60,PURE_KRR,6.55057,5.88734,4.63388,1.48,4.36339,1.04585,1.12144,348.85636,0.93619,0.96676,5.53979
70,PURE_KRR,5.79935,5.2114,4.68951,1.48213,4.05972,1.07788,1.14736,377.73396,0.93526,0.96626,4.84965
10,PURE_SVR,31.67379,28.61028,15.17398,4.34158,29.96501,3.17272,6.48393,1367.95788,0.83206,0.90804,28.05812
20,PURE_SVR,16.48978,15.39737,6.31574,1.85991,11.851,1.69395,2.74676,556.65366,0.92321,0.95987,14.98836
30,PURE_SVR,11.18503,10.24136,4.60893,1.53181,6.53171,1.05272,1.69756,455.88995,0.9328,0.96499,9.88295
40,PURE_SVR,8.95393,8.14911,4.58204,1.46368,4.95847,1.01178,1.23214,379.02024,0.93999,0.96883,7.81223
50,PURE_SVR,7.69939,6.97928,4.71146,1.45608,5.08509,1.02959,1.15656,371.04371,0.93964,0.96857,6.65969
60,PURE_SVR,6.64783,5.98289,4.64727,1.46383,4.55371,1.06091,1.10262,372.03504,0.93703,0.96719,5.63971
70,PURE_SVR,5.88194,5.28653,4.70894,1.46735,4.44541,1.09125,1.1309,403.96694,0.93564,0.96645,4.9174
10,RATIO_CTRL,3.34506,3.03624,4.75874,2.03375,6.76251,2.55439,2.92322,792.60765,0.9124,0.95365,2.62164
20,RATIO_CTRL,3.19344,2.87147,4.65403,1.73595,4.55995,3.16973,1.51685,671.17869,0.93862,0.9681,2.35612
30,RATIO_CTRL,3.2339,2.89563,4.74808,1.77459,4.11073,3.12914,0.76843,661.85275,0.93386,0.96558,2.38638
40,RATIO_CTRL,3.20908,2.87382,4.75043,1.74076,4.1255,3.13641,0.43373,698.61229,0.93788,0.96772,2.34896
50,RATIO_CTRL,3.19863,2.86091,4.73297,1.72966,4.1336,3.14318,0.26138,703.89097,0.94069,0.96924,2.33558
60,RATIO_CTRL,3.21802,2.88032,4.74739,1.74352,4.09116,3.1498,0.22227,702.56915,0.9405,0.96914,2.36054
70,RATIO_CTRL,3.21668,2.8729,4.7534,1.73525,4.16873,3.15452,0.19298,708.56045,0.94048,0.96913,2.3516
