size,A_to_B_mean,A_to_B_median,A_to_B_p90,A_to_B_p95,A_to_B_max,B_to_A_mean,B_to_A_median,B_to_A_p90,B_to_A_p95,B_to_A_max,Chamfer_mean,Hausdorff_max
230,0.34812424051417923,0.28197140779125973,0.7218302203707672,0.8635594634551614,1.1924637739213608,0.3459701904904255,0.272344622905509,0.7460694835001253,0.8681095564582156,1.1924637739213608,0.34704721550230233,1.1924637739213608
235,0.7630995956993979,0.6378743685678248,1.3988887301207034,2.047551539005819,2.474586268694573,0.7724526740352162,0.6549690364984592,1.4029219303951177,2.104545440418835,2.474586268694573,0.7677761348673071,2.474586268694573
245,1.026997193138819,0.8459089256546726,2.030659141144364,2.181287745442733,2.449533617175387,1.0306838564689373,0.8511254022721559,2.0350253059971353,2.1819742817372694,2.449533617175387,1.0288405248038783,2.449533617175387
250,1.1033109548201039,0.8679654599044699,2.4501091654495766,2.7184914880910127,2.979499065740254,1.120420788491472,0.8712797922536699,2.477966484943364,2.732453860504654,2.979499065740254,1.1118658716557879,2.979499065740254
255,0.974545584204403,0.7291781721858862,2.2738480348719796,2.538357717985699,3.0629434967580726,0.9846100514029382,0.7401702095502865,2.288747157793071,2.542643273840892,3.0629434967580726,0.9795778178036706,3.0629434967580726
260,1.1611726800303308,0.9469767456225637,2.20923184978764,2.5051748544131347,3.0246360893807047,1.1899408673020795,0.9769502546988982,2.2682652891540416,2.5136840479774043,3.02511275649954,1.1755567736662051,3.02511275649954
265,1.6203275246081648,1.1752924201744692,3.5086183114377136,4.20292858296541,5.1133433154775085,1.5975082652258419,1.1126200613586699,3.489110885509579,4.109200024663552,5.1133433154775085,1.6089178949170033,5.1133433154775085
270,1.427081740514445,1.478377784466131,2.867536335990451,3.374516561010198,4.048971718256824,1.4659307806394293,1.5548719185821276,2.9344577076073683,3.388625800427429,4.04920053184313,1.4465062605769372,4.04920053184313
275,1.2350605224277535,0.8470939923289895,2.784470064616615,3.6059305447836203,4.801014300080321,1.2592930851821253,0.8591696692107271,2.8146721218193984,3.6016075615387875,4.801014300080321,1.2471768038049396,4.801014300080321
280,1.284319500343028,0.9915689232912892,2.5081116494909876,3.585994345155942,4.516800795720691,1.314538129777229,1.017594375804999,2.517821805951345,3.610364906533934,4.516800795720691,1.2994288150601285,4.516800795720691
