Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,11.39331,10.50638,2.68810,0.81781,5.38506,0.97875,0.99657,327.04854,0.96090,0.98001,0.00000
PCA_LINEAR,12.20550,11.33589,7.57660,2.22088,15.85187,1.56922,5.08615,772.70852,0.91209,0.95380,0.00000
PCA_SVR,11.47427,10.61995,2.98550,0.86061,5.77645,0.94065,1.83262,302.18657,0.96039,0.97973,0.00000
PURE_GPR,11.35012,10.45829,2.68215,0.85318,5.39390,0.96805,0.91647,322.41195,0.95961,0.97934,0.00000
PURE_KRR,11.33916,10.44933,2.63677,0.80730,5.40785,0.96047,0.85985,319.13863,0.96115,0.98014,0.00000
PURE_SVR,11.39927,10.50099,2.67887,0.80016,5.62032,0.95903,0.77360,345.73786,0.96336,0.98128,0.00000
RATIO_CTRL,3.21965,2.88484,4.69501,1.75173,4.07165,3.09324,0.87324,655.54355,0.93589,0.96666,0.00000
