Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,11.53873,10.62138,3.13371,0.98685,4.72032,0.79208,1.71971,336.78185,0.95274,0.97575,0.00000
PCA_KRR,2,11.26242,10.40496,2.34211,0.73949,5.75090,1.16323,0.37628,322.13750,0.96433,0.98182,0.00000
PCA_KRR,3,11.08434,10.20455,2.13439,0.58341,6.56383,1.02061,0.77587,301.08527,0.97222,0.98591,0.00000
PCA_KRR,4,11.62111,10.75071,2.53156,0.47331,6.04989,1.06040,0.19155,326.24372,0.97965,0.98972,0.00000
PCA_LINEAR,1,11.86414,10.92544,5.23511,1.76069,3.68070,0.75939,1.25742,550.35504,0.92555,0.96122,0.00000
PCA_LINEAR,2,11.67480,10.79278,7.31958,2.19775,18.26505,1.91778,5.52707,784.61335,0.91164,0.95364,0.00000
PCA_LINEAR,3,9.07453,8.11653,10.29396,2.68881,36.76363,2.23560,10.23114,1021.82650,0.89708,0.94572,0.00000
PCA_LINEAR,4,21.84010,21.62338,21.10549,4.80369,54.63163,3.98813,21.10549,1851.47885,0.84513,0.91601,0.00000
PCA_SVR,1,11.71391,10.82573,3.42655,1.04358,5.45997,0.79171,2.51572,287.20554,0.95150,0.97509,0.00000
PCA_SVR,2,11.29820,10.47292,2.42528,0.68540,5.63334,1.10549,1.20444,303.84588,0.96816,0.98380,0.00000
PCA_SVR,3,10.79056,9.93676,3.67601,0.93722,8.99504,0.94442,1.49113,392.72346,0.95954,0.97926,0.00000
PCA_SVR,4,11.84465,11.04107,2.48582,0.58998,4.45349,0.93956,1.50298,271.38841,0.97421,0.98694,0.00000
PURE_GPR,1,11.45181,10.52447,3.04925,1.01731,4.66972,0.76636,1.53526,320.17789,0.95127,0.97499,0.00000
PURE_GPR,2,11.27020,10.41379,2.41868,0.78672,5.81767,1.16020,0.45504,328.15292,0.96299,0.98112,0.00000
PURE_GPR,3,11.00201,10.11418,2.15102,0.63734,6.61790,1.04169,0.55806,304.57107,0.96982,0.98467,0.00000
PURE_GPR,4,11.61592,10.74287,2.52383,0.44553,6.04710,1.06155,0.03771,326.64774,0.98121,0.99052,0.00000
PURE_KRR,1,11.42238,10.49892,3.04377,0.98730,4.78036,0.75664,1.46101,320.11354,0.95249,0.97562,0.00000
PURE_KRR,2,11.25365,10.39658,2.31302,0.71952,5.74594,1.15896,0.35335,321.24316,0.96487,0.98210,0.00000
PURE_KRR,3,11.09825,10.21503,2.14016,0.56364,6.55604,1.01125,0.65476,299.27187,0.97303,0.98633,0.00000
PURE_KRR,4,11.61866,10.74760,2.52812,0.45880,6.03164,1.06080,0.16452,326.50105,0.98069,0.99025,0.00000
PURE_SVR,1,11.50574,10.55937,3.06132,0.97920,5.29929,0.78358,1.31448,332.02167,0.95509,0.97696,0.00000
PURE_SVR,2,11.30674,10.44580,2.42840,0.71941,5.92475,1.11544,0.36184,375.10253,0.96737,0.98338,0.00000
PURE_SVR,3,11.12205,10.27515,2.01021,0.52523,5.64321,1.02974,0.43615,298.88044,0.97377,0.98671,0.00000
PURE_SVR,4,11.61426,10.74407,2.52360,0.45772,5.90347,1.09599,0.08828,323.46766,0.98058,0.99019,0.00000
RATIO_CTRL,1,3.62012,3.31058,4.56456,1.69681,3.19420,3.06744,1.32617,571.01798,0.93667,0.96720,0.00000
RATIO_CTRL,2,2.88520,2.56770,4.74657,1.73836,4.49665,2.95151,0.55260,663.44918,0.93767,0.96758,0.00000
RATIO_CTRL,3,4.54341,3.74493,7.46397,3.05535,8.77982,5.84528,0.85703,1325.65881,0.89312,0.94352,0.00000
RATIO_CTRL,4,1.52171,1.40933,2.37305,0.83511,1.92730,1.29052,0.13976,419.60799,0.96416,0.98157,0.00000
