Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,8.40770,7.70320,1.90505,0.65189,2.86655,0.64942,0.44185,234.04168,0.96813,0.98375,0.00000
PCA_LINEAR,9.64177,8.89021,6.96900,2.13350,12.05888,1.45393,3.58951,635.02528,0.91572,0.95576,0.00000
PCA_SVR,8.39767,7.71463,2.39305,0.68650,4.72900,0.58390,1.18560,236.07739,0.96791,0.98363,0.00000
PURE_GPR,8.37292,7.66767,1.99738,0.69885,2.95163,0.67306,0.38913,227.25850,0.96717,0.98326,0.00000
PURE_KRR,8.35428,7.64768,1.83912,0.63636,2.86967,0.61562,0.40509,222.70792,0.96926,0.98434,0.00000
PURE_SVR,8.43594,7.71316,1.88871,0.61666,2.93592,0.65502,0.35540,240.96497,0.97151,0.98548,0.00000
RATIO_CTRL,3.22820,2.88887,4.78260,1.76160,4.35510,3.13677,0.25472,696.06554,0.93704,0.96728,0.00000
