,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2590,5.7204,4.3541,3.2886,4.4882,4.1125,3.6621
Type01,4.2590,0.0000,6.6492,2.8757,3.7525,5.4439,3.0371,7.3915
Type02,5.7204,6.6492,0.0000,4.4946,4.1264,4.7837,4.1796,7.8014
Type03,4.3541,2.8757,4.4946,0.0000,3.1247,3.6843,1.1538,7.3613
Type04,3.2886,3.7525,4.1264,3.1247,0.0000,3.9549,3.2491,6.0008
Type05,4.4882,5.4439,4.7837,3.6843,3.9549,0.0000,4.1586,5.6312
Type06,4.1125,3.0371,4.1796,1.1538,3.2491,4.1586,0.0000,7.2782
Type07,3.6621,7.3915,7.8014,7.3613,6.0008,5.6312,7.2782,0.0000
