Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Length_Error,GPR_Chamfer_mean,GPR_A_to_B_mean,GPR_A_to_B_median,GPR_A_to_B_p90,GPR_A_to_B_p95,GPR_A_to_B_max,GPR_B_to_A_mean,GPR_B_to_A_median,GPR_B_to_A_p90,GPR_B_to_A_p95,GPR_B_to_A_max,PCA_RMSE,PCA_Hausdorff_max,PCA_Length_Error,PCA_Chamfer_mean,PCA_A_to_B_mean,PCA_A_to_B_median,PCA_A_to_B_p90,PCA_A_to_B_p95,PCA_A_to_B_max,PCA_B_to_A_mean,PCA_B_to_A_median,PCA_B_to_A_p90,PCA_B_to_A_p95,PCA_B_to_A_max,RATIO_RMSE,RATIO_Hausdorff_max,RATIO_Length_Error,RATIO_Chamfer_mean,RATIO_A_to_B_mean,RATIO_A_to_B_median,RATIO_A_to_B_p90,RATIO_A_to_B_p95,RATIO_A_to_B_max,RATIO_B_to_A_mean,RATIO_B_to_A_median,RATIO_B_to_A_p90,RATIO_B_to_A_p95,RATIO_B_to_A_max
Type02,260,15.978231,5.919923,13.413908,1.914776,1.936786,1.609073,3.729632,5.008445,5.919516,1.892765,1.586972,3.705104,5.092803,5.919923,15.323806,5.374347,12.045077,1.700817,1.760113,1.515826,3.597247,4.233219,5.374347,1.641520,1.492123,3.304223,4.010185,5.372653,15.323806,5.374347,12.045077,1.700817,1.760113,1.515826,3.597247,4.233219,5.374347,1.641520,1.492123,3.304223,4.010185,5.372653
Type02,270,16.512749,5.220731,18.432426,1.891228,1.924658,1.709386,4.198252,4.647073,5.220731,1.857798,1.574033,4.141175,4.630297,5.220731,16.813649,5.694252,15.379497,1.551792,1.656022,0.917378,4.020018,4.869979,5.694252,1.447562,0.744388,3.603107,4.068317,5.689671,16.813649,5.694252,15.379497,1.551792,1.656022,0.917378,4.020018,4.869979,5.694252,1.447562,0.744388,3.603107,4.068317,5.689671
Type03,230,12.760134,4.438623,12.512686,1.309674,1.347262,0.939607,3.191901,3.773196,4.438623,1.272086,0.916010,3.103876,3.859379,4.438623,13.127923,3.667017,12.280245,1.239880,1.284661,0.915992,3.074117,3.380720,3.667017,1.195098,0.863952,2.875830,3.310469,3.656180,13.127923,3.667017,12.280245,1.239880,1.284661,0.915992,3.074117,3.380720,3.667017,1.195098,0.863952,2.875830,3.310469,3.656180
Type03,235,13.775207,5.267144,14.484058,1.493160,1.540493,1.078690,3.720540,4.555966,5.267144,1.445828,1.040698,3.650744,4.623389,5.267144,14.141693,4.489976,13.342538,1.404113,1.456199,1.040049,3.567952,3.845169,4.489976,1.352026,0.975354,3.418863,3.945154,4.489976,14.141693,4.489976,13.342538,1.404113,1.456199,1.040049,3.567952,3.845169,4.489976,1.352026,0.975354,3.418863,3.945154,4.489976
Type03,245,13.580509,6.355208,14.225007,1.804819,1.854234,1.322068,3.942699,5.079764,6.355208,1.755405,1.306198,3.839037,5.120788,6.355208,13.936049,5.472692,11.931768,1.607436,1.667580,1.277594,3.794083,4.420799,5.472692,1.547292,1.120044,3.604296,4.420799,5.472692,13.936049,5.472692,11.931768,1.607436,1.667580,1.277594,3.794083,4.420799,5.472692,1.547292,1.120044,3.604296,4.420799,5.472692
Type03,250,14.112739,6.296588,12.784372,1.995591,2.028643,1.661832,4.407777,5.123029,6.296588,1.962540,1.631287,4.171832,5.201372,6.296588,14.472347,5.387460,10.189609,1.760205,1.805166,1.405937,3.874380,4.652475,5.387460,1.715244,1.344999,3.697470,4.617589,5.387460,14.472347,5.387460,10.189609,1.760205,1.805166,1.405937,3.874380,4.652475,5.387460,1.715244,1.344999,3.697470,4.617589,5.387460
Type03,255,14.472751,6.469615,19.607026,2.026206,2.065420,1.793320,4.594700,5.444620,6.469615,1.986992,1.755971,4.415813,5.523989,6.469615,14.801198,5.566017,16.849808,1.832548,1.882735,1.526317,4.181776,4.650657,5.566017,1.782360,1.484264,4.001027,4.742298,5.566017,14.801198,5.566017,16.849808,1.832548,1.882735,1.526317,4.181776,4.650657,5.566017,1.782360,1.484264,4.001027,4.742298,5.566017
Type03,260,14.275639,6.246889,14.296839,2.116699,2.138271,2.017161,4.504185,5.312089,6.246889,2.095126,2.015572,4.110711,5.252432,6.246889,14.643181,5.287960,11.480557,1.875880,1.912725,1.754414,3.842091,4.679444,5.287960,1.839035,1.706394,3.489855,4.569480,5.287960,14.643181,5.287960,11.480557,1.875880,1.912725,1.754414,3.842091,4.679444,5.287960,1.839035,1.706394,3.489855,4.569480,5.287960
Type03,265,14.883135,7.177451,16.331968,2.386618,2.436300,1.802818,5.758509,6.656470,7.177451,2.336935,1.806306,5.127556,6.361546,7.173473,15.268466,6.616323,13.522709,2.061630,2.115513,1.494684,5.027650,5.841234,6.616323,2.007747,1.469282,4.438654,5.565286,6.607405,15.268466,6.616323,13.522709,2.061630,2.115513,1.494684,5.027650,5.841234,6.616323,2.007747,1.469282,4.438654,5.565286,6.607405
Type03,270,14.565674,6.829195,16.090771,2.708176,2.706842,2.607575,4.199134,5.486446,6.829195,2.709511,2.607575,4.196437,5.547345,6.829195,15.045395,6.189383,13.316238,2.551268,2.581244,2.248318,4.447117,5.479214,6.189383,2.521292,2.202560,4.397548,5.208238,6.174688,15.045395,6.189383,13.316238,2.551268,2.581244,2.248318,4.447117,5.479214,6.189383,2.521292,2.202560,4.397548,5.208238,6.174688
