Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
PCA_GPR,10.9111,10.15674,13.68217,3.38865,39.48343,3.2296,1425.39281,0.88033,0.93557,9.92324
PCA_KRR,7.55248,6.83974,3.82948,1.2547,4.81517,0.86172,304.09504,0.94578,0.97194,6.52318
PCA_LINEAR,7.4247,6.735,3.72838,1.20082,4.40793,0.88556,306.3113,0.94808,0.97321,6.46745
PCA_SVR,7.67064,6.99763,4.38127,1.47903,6.85328,1.11219,371.38732,0.93712,0.96717,6.60974
PURE_GPR,7.80009,7.06999,5.00014,1.53729,6.45753,1.01356,344.71052,0.9375,0.96753,6.71929
PURE_KRR,7.53897,6.81015,4.62066,1.46311,4.77015,1.00448,349.29799,0.93963,0.96858,6.47462
PURE_SVR,7.69939,6.97928,4.71146,1.45608,5.08509,1.02959,371.04371,0.93964,0.96857,6.65969
RATIO_CTRL,7.328512333,6.560002917,5.718546292,1.800160583,8.490140333,1.610566833,552.4976985,0.929543292,0.9631795,6.164937833
