Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Length_Error,GPR_Chamfer_mean,GPR_A_to_B_mean,GPR_A_to_B_median,GPR_A_to_B_p90,GPR_A_to_B_p95,GPR_A_to_B_max,GPR_B_to_A_mean,GPR_B_to_A_median,GPR_B_to_A_p90,GPR_B_to_A_p95,GPR_B_to_A_max,PCA_RMSE,PCA_Hausdorff_max,PCA_Length_Error,PCA_Chamfer_mean,PCA_A_to_B_mean,PCA_A_to_B_median,PCA_A_to_B_p90,PCA_A_to_B_p95,PCA_A_to_B_max,PCA_B_to_A_mean,PCA_B_to_A_median,PCA_B_to_A_p90,PCA_B_to_A_p95,PCA_B_to_A_max,RATIO_RMSE,RATIO_Hausdorff_max,RATIO_Length_Error,RATIO_Chamfer_mean,RATIO_A_to_B_mean,RATIO_A_to_B_median,RATIO_A_to_B_p90,RATIO_A_to_B_p95,RATIO_A_to_B_max,RATIO_B_to_A_mean,RATIO_B_to_A_median,RATIO_B_to_A_p90,RATIO_B_to_A_p95,RATIO_B_to_A_max
Type00,240,6.022495,1.267844,1.741966,0.318304,0.320258,0.236760,0.669789,0.744786,1.267844,0.316350,0.232588,0.669867,0.744786,1.267844,6.038834,0.986929,3.024072,0.408401,0.409031,0.401707,0.685101,0.823703,0.984429,0.407771,0.398945,0.686156,0.826796,0.986929,6.038834,0.986929,3.024072,0.408401,0.409031,0.401707,0.685101,0.823703,0.984429,0.407771,0.398945,0.686156,0.826796,0.986929
Type00,245,5.310864,3.216633,5.185376,1.106071,1.099928,0.966998,2.388634,2.946704,3.216442,1.112214,0.979203,2.411655,2.959893,3.216633,5.960877,3.109378,3.179299,0.957364,0.954452,0.654860,2.499455,2.915441,3.109378,0.960275,0.663413,2.507786,2.915988,3.109378,5.960877,3.109378,3.179299,0.957364,0.954452,0.654860,2.499455,2.915441,3.109378,0.960275,0.663413,2.507786,2.915988,3.109378
Type00,255,5.983653,5.936041,8.808631,1.568649,1.565401,1.116258,3.690194,5.260925,5.936041,1.571897,1.134753,3.636686,5.217918,5.936041,6.926861,5.259747,3.611845,1.262851,1.263552,0.625813,3.909708,4.759924,5.259747,1.262150,0.623620,3.896883,4.761208,5.259747,6.926861,5.259747,3.611845,1.262851,1.263552,0.625813,3.909708,4.759924,5.259747,1.262150,0.623620,3.896883,4.761208,5.259747
Type00,265,8.185986,8.034892,7.842532,2.390564,2.369241,1.973806,4.696763,5.847996,8.034892,2.411886,2.016380,4.729150,6.074476,8.034892,8.011388,4.077573,6.345487,1.522676,1.517594,1.341037,3.070491,3.357674,4.077573,1.527757,1.369855,3.083727,3.358658,4.077573,8.011388,4.077573,6.345487,1.522676,1.517594,1.341037,3.070491,3.357674,4.077573,1.527757,1.369855,3.083727,3.358658,4.077573
Type00,270,68.729197,8.021643,1.166487,1.824406,1.817466,1.123829,5.374724,6.753704,8.021643,1.831347,1.132688,5.448299,6.723358,8.021643,68.928168,5.087741,1.977721,1.181235,1.177245,0.788141,2.754440,4.403236,5.087741,1.185225,0.822364,2.744149,4.387743,5.087741,68.928168,5.087741,1.977721,1.181235,1.177245,0.788141,2.754440,4.403236,5.087741,1.185225,0.822364,2.744149,4.387743,5.087741
Type00,275,9.019291,9.422409,0.134350,2.503738,2.487170,1.673162,5.323039,7.559357,9.422409,2.520305,1.677613,5.494506,7.793778,9.422409,8.116358,3.791702,2.977242,1.636292,1.623363,1.647375,2.765710,3.010454,3.791702,1.649220,1.674399,2.780796,3.010809,3.791702,8.116358,3.791702,2.977242,1.636292,1.623363,1.647375,2.765710,3.010454,3.791702,1.649220,1.674399,2.780796,3.010809,3.791702
Type01,230,5.612873,0.883833,1.256433,0.305581,0.306052,0.261344,0.593148,0.712314,0.883136,0.305109,0.254969,0.595941,0.720396,0.883833,6.094458,1.083755,0.856325,0.413540,0.414185,0.331301,0.893168,0.936953,1.083755,0.412895,0.305511,0.895606,0.936953,1.083755,6.094458,1.083755,0.856325,0.413540,0.414185,0.331301,0.893168,0.936953,1.083755,0.412895,0.305511,0.895606,0.936953,1.083755
Type01,240,6.210303,4.095171,3.722198,1.891263,1.876257,1.750897,3.488951,3.777191,4.095171,1.906268,1.781541,3.553340,3.789543,4.095171,6.362370,3.813434,3.807643,1.586067,1.579779,1.404447,3.252426,3.503112,3.813434,1.592355,1.409724,3.284745,3.511042,3.813434,6.362370,3.813434,3.807643,1.586067,1.579779,1.404447,3.252426,3.503112,3.813434,1.592355,1.409724,3.284745,3.511042,3.813434
Type01,250,6.080313,5.354523,5.168913,1.968335,1.951820,1.682159,3.983472,5.039424,5.354523,1.984850,1.757775,4.127368,5.059448,5.354523,5.945576,3.587235,5.287956,1.376012,1.368129,1.161210,2.808814,3.196507,3.587235,1.383895,1.168077,2.815160,3.196507,3.587235,5.945576,3.587235,5.287956,1.376012,1.368129,1.161210,2.808814,3.196507,3.587235,1.383895,1.168077,2.815160,3.196507,3.587235
Type01,260,7.794201,8.564202,5.444117,3.455078,3.420946,2.929481,8.047524,8.405482,8.564202,3.489210,2.956597,8.166795,8.419195,8.564202,7.486654,7.131163,6.445921,2.889238,2.865458,2.650592,5.859219,6.347853,7.130829,2.913018,2.671133,5.951564,6.373223,7.131163,7.486654,7.131163,6.445921,2.889238,2.865458,2.650592,5.859219,6.347853,7.130829,2.913018,2.671133,5.951564,6.373223,7.131163
