size,A_to_B_mean,A_to_B_median,A_to_B_p90,A_to_B_p95,A_to_B_max,B_to_A_mean,B_to_A_median,B_to_A_p90,B_to_A_p95,B_to_A_max,Chamfer_mean,Hausdorff_max
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,0.8956344696728706,0.767950534182047,1.978087068042339,2.1912769496409368,3.0988977465607714,0.8977215852885441,0.7662822250036692,1.9894993777103083,2.193625259825127,3.0988977465607714,0.8966780274807074,3.0988977465607714
255,1.998437477141674,1.4784693847756833,5.382630588130206,6.165927758836727,6.496172051021564,1.9835387271502922,1.4668092724836606,5.304998955189923,6.134030222483692,6.496172051021564,1.990988102145983,6.496172051021564
265,1.7888035880141187,1.4498003751419353,4.057476240952289,4.3682036608134105,4.682453971264544,1.791226662506501,1.4601048093127376,4.044950184057087,4.34656465145704,4.682233172069282,1.7900151252603098,4.682453971264544
270,2.827107856740928,1.692107756878031,6.791140418332676,7.011677717422132,7.312989764522421,2.8356839687462525,1.7019913106509705,6.765208070140498,7.007073669617656,7.312989764522421,2.83139591274359,7.312989764522421
275,1.8998019598475955,1.5288637484228746,3.9254590251724957,4.139504773146805,4.535808590479664,1.9060844321097388,1.5376054145774198,3.9226383010948616,4.129715140512752,4.535690694848344,1.9029431959786671,4.535808590479664
