Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,8.02497,7.34649,1.85293,0.63664,2.62232,0.62888,0.43725,225.51331,0.96928,0.98435,0.00000
PCA_LINEAR,9.25844,8.53352,6.83039,2.07960,12.06621,1.45657,3.57045,655.12538,0.91760,0.95678,0.00000
PCA_SVR,8.02086,7.36224,2.37044,0.68157,4.68457,0.54998,1.19233,229.90911,0.96846,0.98392,0.00000
PURE_GPR,7.98989,7.31053,1.95611,0.68936,2.69737,0.65777,0.39330,220.00750,0.96800,0.98369,0.00000
PURE_KRR,7.97811,7.29773,1.78778,0.62574,2.61056,0.58861,0.41128,213.98675,0.97021,0.98483,0.00000
PURE_SVR,8.06242,7.36669,1.83320,0.60535,2.68586,0.61190,0.36330,234.65029,0.97222,0.98585,0.00000
RATIO_CTRL,3.21204,2.87168,4.75174,1.73705,4.38430,3.13473,0.24292,700.87740,0.93883,0.96824,0.00000
