Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,8.13500,7.40777,2.63090,0.84208,2.41068,0.61234,0.43518,239.57027,0.96126,0.98021,0.00000
PCA_KRR,2,7.90880,7.27156,1.35674,0.54043,2.76398,0.68421,0.44610,224.05127,0.97223,0.98589,0.00000
PCA_KRR,3,7.94436,7.29850,0.95172,0.33311,3.01203,0.58510,0.58578,186.35467,0.98188,0.99085,0.00000
PCA_KRR,4,8.09595,7.45149,0.84521,0.24903,2.66366,0.46551,0.19995,192.78394,0.98819,0.99406,0.00000
PCA_LINEAR,1,8.57453,7.76344,5.00919,1.75813,2.14102,0.77167,0.18815,465.35787,0.92935,0.96327,0.00000
PCA_LINEAR,2,8.59317,7.88171,7.19933,2.03891,17.36078,1.67731,5.29294,737.84079,0.91595,0.95606,0.00000
PCA_LINEAR,3,8.68913,7.99143,4.20628,1.57761,4.54599,1.46488,0.35881,289.33865,0.92980,0.96354,0.00000
PCA_LINEAR,4,18.56857,18.30106,20.25685,5.13619,56.49367,4.68698,20.06639,1911.66524,0.83291,0.90882,0.00000
PCA_SVR,1,8.23408,7.52377,2.86798,0.85291,4.25971,0.61040,1.21034,222.33904,0.96152,0.98032,0.00000
PCA_SVR,2,7.78619,7.16340,1.76494,0.53109,4.79264,0.50933,1.08388,240.48278,0.97447,0.98704,0.00000
PCA_SVR,3,7.78677,7.15483,3.24058,0.69355,6.82671,0.54485,1.33979,290.12632,0.96775,0.98351,0.00000
PCA_SVR,4,8.31962,7.75496,1.52636,0.42624,4.01240,0.39801,1.52636,136.64466,0.97969,0.98974,0.00000
PURE_GPR,1,8.06814,7.33983,2.62737,0.88889,2.46720,0.59626,0.48758,217.15164,0.96111,0.98013,0.00000
PURE_GPR,2,7.89991,7.26474,1.60021,0.61822,2.87185,0.74976,0.37762,233.68634,0.96938,0.98442,0.00000
PURE_GPR,3,7.92732,7.27103,1.04152,0.36673,3.09499,0.69492,0.28745,192.73371,0.98028,0.99003,0.00000
PURE_GPR,4,8.09153,7.44266,0.83593,0.21623,2.65481,0.46635,0.00001,193.33864,0.98933,0.99464,0.00000
PURE_KRR,1,8.04006,7.30879,2.54584,0.84814,2.39803,0.55968,0.50002,214.77889,0.96193,0.98055,0.00000
PURE_KRR,2,7.89748,7.26146,1.30955,0.51533,2.75692,0.64415,0.33792,223.10346,0.97345,0.98652,0.00000
PURE_KRR,3,7.94417,7.29270,0.86513,0.30477,2.99065,0.57508,0.48227,184.60646,0.98315,0.99150,0.00000
PURE_KRR,4,8.09405,7.44831,0.83362,0.23350,2.64253,0.46622,0.16518,193.17921,0.98876,0.99435,0.00000
PURE_SVR,1,8.26166,7.49716,2.57249,0.83207,2.63326,0.57162,0.57575,231.10262,0.96368,0.98143,0.00000
PURE_SVR,2,7.85449,7.21416,1.41029,0.49161,2.83223,0.69214,0.19334,259.36747,0.97613,0.98788,0.00000
PURE_SVR,3,7.97997,7.34145,0.78683,0.26319,2.41278,0.54432,0.25774,178.52142,0.98519,0.99254,0.00000
PURE_SVR,4,8.09169,7.44566,0.83728,0.23262,2.52243,0.48915,0.10750,184.83677,0.98841,0.99417,0.00000
RATIO_CTRL,1,3.59702,3.29490,4.61380,1.68494,3.88212,3.08457,0.21996,637.55955,0.94236,0.97024,0.00000
RATIO_CTRL,2,2.88976,2.55366,4.81191,1.71340,4.78301,2.99706,0.32592,702.91223,0.93877,0.96818,0.00000
RATIO_CTRL,3,4.45401,3.67830,7.30673,3.01097,7.61116,5.98754,0.09611,1339.33501,0.89169,0.94274,0.00000
RATIO_CTRL,4,1.61479,1.46898,2.63736,0.89240,1.74379,1.34628,0.04946,409.69026,0.96635,0.98270,0.00000
