sample_index,distance_mm
0,3.157127
1,3.013445
2,2.993080
3,2.881934
4,2.835033
5,2.851509
6,2.875543
7,2.885720
8,2.774699
9,2.879026
10,2.836011
11,2.832024
12,2.854395
13,2.862734
14,2.973684
15,2.872492
16,2.872485
17,2.851297
18,2.806361
19,2.844463
20,2.848975
21,2.765609
22,2.809216
23,2.807156
24,2.745699
25,2.687223
26,2.703149
27,2.696141
28,2.596518
29,2.481283
30,2.413697
31,2.354504
32,2.384884
33,2.307029
34,2.315298
35,2.218645
36,2.206246
37,2.120468
38,2.082968
39,2.057043
40,1.931584
41,1.882532
42,1.913678
43,1.929046
44,1.827528
45,1.838860
46,1.767083
47,1.742197
48,1.697338
49,1.682512
50,1.677988
51,1.660823
52,1.616661
53,1.673139
54,1.611539
55,1.614181
56,1.589332
57,1.620165
58,1.553657
59,1.523330
60,1.440148
61,1.486477
62,1.526216
63,1.517875
64,1.476577
65,1.403982
66,1.338523
67,1.318469
68,1.368652
69,1.453776
70,1.458224
71,1.422376
72,1.316993
73,1.284174
74,1.308620
75,1.400378
76,1.364983
77,1.271078
78,1.283754
79,1.378573
80,1.280538
81,1.287650
82,1.330173
83,1.233995
84,1.281132
85,1.322745
86,1.202038
87,1.138044
88,1.232417
89,1.295537
90,1.322651
91,1.322369
92,1.344546
93,1.345352
94,1.322161
95,1.364654
96,1.371395
97,1.275378
98,1.310667
99,1.260784
100,1.327270
101,1.409167
102,1.399297
103,1.408422
104,1.400414
105,1.332361
106,1.341957
107,1.416181
108,1.394108
109,1.410959
110,1.481177
111,1.450871
112,1.474626
113,1.541116
114,1.503083
115,1.531424
116,1.489487
117,1.523603
118,1.583771
119,1.534440
120,1.536516
121,1.496611
122,1.552783
123,1.495297
124,1.544323
125,1.612451
126,1.597429
127,1.575298
128,1.634009
129,1.692347
130,1.589201
131,1.535182
132,1.509259
133,1.498150
134,1.560743
135,1.610704
136,1.547670
137,1.584211
138,1.513204
139,1.550813
140,1.604154
141,1.554160
142,1.568807
143,1.599348
144,1.512926
145,1.451608
146,1.494473
147,1.465741
148,1.455649
149,1.506483
150,1.435761
151,1.466179
152,1.390725
153,1.424374
154,1.372057
155,1.379971
156,1.323347
157,1.334807
158,1.237885
159,1.155199
160,1.185370
161,1.106096
162,1.074704
163,1.055016
164,1.101957
165,1.147481
166,1.067069
167,1.097313
168,1.013988
169,1.046997
170,0.910740
171,0.855463
172,0.853935
173,0.805529
174,0.742575
175,0.756072
176,0.685693
177,0.589758
178,0.605255
179,0.765133
180,0.699675
181,0.596857
182,0.564733
183,0.555163
184,0.450031
185,0.499018
186,0.448071
187,0.303924
188,0.345912
189,0.388941
190,0.291631
191,0.335810
192,0.239393
193,0.144332
194,0.117257
195,0.102642
196,0.148966
197,0.080122
198,0.102717
199,0.138422
200,0.047099
201,0.083476
202,0.014710
203,0.033174
