sample_index,distance_mm
0,21.580673
1,21.153116
2,20.769868
3,20.405259
4,20.019452
5,19.637996
6,19.284725
7,18.965510
8,18.678395
9,18.396613
10,18.108794
11,17.813150
12,17.511339
13,17.208581
14,16.925965
15,16.664361
16,16.388947
17,16.098591
18,15.825804
19,15.569580
20,15.328973
21,15.076492
22,14.796242
23,14.523603
24,14.263696
25,14.016027
26,13.753117
27,13.487491
28,13.232898
29,12.989171
30,12.705296
31,12.420587
32,12.146004
33,11.881702
34,11.616615
35,11.358625
36,11.082899
37,10.794819
38,10.517390
39,10.251229
40,9.997041
41,9.755606
42,9.469590
43,9.193263
44,8.929209
45,8.678026
46,8.392750
47,8.103568
48,7.826458
49,7.562274
50,7.311969
51,7.076589
52,6.857270
53,6.599933
54,6.321871
55,6.058429
56,5.811237
57,5.582121
58,5.343920
59,5.063067
60,4.793374
61,4.543157
62,4.315543
63,4.055171
64,3.795245
65,3.532456
66,3.297305
67,3.095923
68,2.852722
69,2.583835
70,2.321684
71,2.090629
72,1.812100
73,1.561861
74,1.384607
75,1.119370
76,0.862653
77,0.630041
78,0.537755
79,0.217782
80,0.025905
81,0.066840
82,0.167369
83,0.286303
84,0.450892
85,0.741199
86,0.977685
87,1.098575
88,1.241940
89,1.376125
90,1.605524
91,1.894455
92,2.110686
93,2.295170
94,2.468007
95,2.675301
96,2.820497
97,2.998664
98,3.144118
99,3.297987
100,3.492138
101,3.720185
102,3.948478
103,4.016029
104,4.099350
105,4.219099
106,4.325274
107,4.445494
108,4.597034
109,4.776774
110,4.958465
111,5.027821
112,5.126361
113,5.252288
114,5.372488
115,5.463399
116,5.526545
117,5.606010
118,5.710374
119,5.838140
120,5.929518
121,5.974963
122,6.043911
123,6.085734
124,6.143073
125,6.205915
126,6.261069
127,6.314252
128,6.367268
129,6.441921
130,6.513096
131,6.557816
132,6.623619
133,6.597667
134,6.591823
135,6.607430
136,6.627824
137,6.633491
138,6.660427
139,6.706694
140,6.671836
141,6.658115
142,6.665644
143,6.679355
144,6.685777
145,6.668993
146,6.666042
147,6.617775
148,6.588633
149,6.580954
150,6.539606
151,6.514199
152,6.510517
153,6.495262
154,6.452830
155,6.400393
156,6.369857
157,6.333002
158,6.284548
159,6.258414
160,6.241060
161,6.214539
162,6.210670
163,6.187840
164,6.137951
165,6.096081
166,6.018948
167,5.964457
168,5.933160
169,5.925354
170,5.868939
171,5.804190
172,5.763014
173,5.678009
174,5.608182
175,5.562609
176,5.527457
177,5.481526
178,5.460719
179,5.428189
180,5.356388
181,5.309839
