sample_index,distance_mm
0,5.501945
1,5.211855
2,4.997206
3,4.824860
4,4.700516
5,4.553332
6,4.399305
7,4.233476
8,4.081236
9,4.013586
10,3.828167
11,3.751731
12,3.624130
13,3.540428
14,3.442209
15,3.330343
16,3.206182
17,3.135473
18,3.015381
19,2.942118
20,2.789117
21,2.744904
22,2.656720
23,2.593433
24,2.529886
25,2.391671
26,2.309302
27,2.144595
28,2.040706
29,1.861325
30,1.729556
31,1.604321
32,1.534358
33,1.393578
34,1.347280
35,1.260423
36,1.160822
37,1.011983
38,0.885864
39,0.734112
40,0.795929
41,0.650114
42,0.555383
43,0.480364
44,0.303458
45,0.251399
46,0.197153
47,0.142026
48,0.091356
49,0.069128
50,0.055134
51,0.048144
52,0.037961
53,0.079226
54,0.057570
55,0.025468
56,0.071017
57,0.061393
58,0.264743
59,0.250871
60,0.323401
61,0.347142
62,0.407813
63,0.346798
64,0.381288
65,0.507115
66,0.584404
67,0.642855
68,0.720659
69,0.738465
70,0.860157
71,0.893396
72,0.963781
73,1.032046
74,1.009680
75,1.037892
76,1.087745
77,1.104044
78,1.143472
79,1.182249
80,1.272637
81,1.344825
82,1.350435
83,1.340641
84,1.424895
85,1.512699
86,1.519538
87,1.508784
88,1.484972
89,1.547864
90,1.601091
91,1.663077
92,1.574174
93,1.549316
94,1.608458
95,1.716968
96,1.664972
97,1.683795
98,1.660639
99,1.716724
100,1.712896
101,1.700207
102,1.765103
103,1.744465
104,1.666263
105,1.651795
106,1.717540
107,1.855147
108,1.784686
109,1.734065
110,1.760618
111,1.800424
112,1.778302
113,1.756879
114,1.790704
115,1.717160
116,1.650663
117,1.665303
118,1.715960
119,1.789783
120,1.805384
121,1.739206
122,1.704199
123,1.748519
124,1.689321
125,1.628146
126,1.629256
127,1.644498
128,1.581452
129,1.568742
130,1.603098
131,1.542096
132,1.485041
133,1.441411
134,1.491673
135,1.445931
136,1.397328
137,1.434127
138,1.424994
139,1.461471
140,1.570910
141,1.529694
142,1.472186
143,1.438654
144,1.359660
145,1.327099
146,1.396467
147,1.337113
148,1.276556
149,1.249678
150,1.307984
151,1.258021
152,1.213511
153,1.280084
154,1.247265
155,1.312776
156,1.260801
157,1.214587
158,1.264927
159,1.236691
160,1.184595
161,1.138012
162,1.199763
163,1.157022
164,1.105970
165,1.070427
166,0.993971
167,1.052266
168,1.102809
169,1.107887
170,1.048676
171,1.014937
172,1.079370
173,1.023804
174,0.976520
175,0.910181
176,0.962476
177,0.936806
178,0.877496
179,0.908430
180,0.906382
181,0.847810
182,0.855235
183,0.875325
184,0.817104
185,0.803155
186,0.844421
187,0.783131
188,0.725912
189,0.790535
190,0.752771
191,0.747775
192,0.776997
193,0.713344
194,0.691563
195,0.737424
196,0.678456
197,0.615230
198,0.675991
199,0.648338
200,0.577140
201,0.607853
202,0.598090
203,0.565995
204,0.618376
205,0.556815
206,0.492441
207,0.549661
208,0.526982
209,0.455974
210,0.414763
211,0.382946
212,0.425591
213,0.344932
214,0.309971
215,0.361493
216,0.415475
217,0.376697
218,0.306640
219,0.316313
220,0.240049
221,0.262511
222,0.193158
223,0.159995
224,0.208662
225,0.174988
226,0.194061
227,0.298064
228,0.238795
229,0.204409
230,0.253487
231,0.218855
232,0.267976
233,0.198751
234,0.141967
235,0.211753
236,0.156346
237,0.079686
238,0.170617
239,0.092387
240,0.184821
241,0.105436
242,0.082094
243,0.027181
244,0.085231
245,0.132253
246,0.090531
247,0.013172
248,0.087745
249,0.022290
250,0.074570
251,0.034979
252,0.061880
253,0.048484
254,0.050037
255,0.062239
256,0.039770
257,0.076064
258,0.032531
259,0.079164
260,0.030447
261,0.071714
262,0.034345
263,0.066408
