size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40
240, 58.654486, 241.071723, 53.846155, 241.245444, 44.471178, 239.475150, 30.699180, 228.911065, 25.317869, 214.558014, 23.554456, 199.543102, 22.436463, 185.222742, 20.221785, 170.839673, 17.207248, 156.365661, 13.761664, 142.283601, 10.103504, 127.820243, 6.030008, 112.995126, 2.841190, 99.082460, 0.000000, 85.165917, 0.389622, 69.240530, 4.117486, 54.997537, 8.739146, 40.787207, 14.443400, 26.654607, 22.300756, 12.884827, 35.519612, 2.937218, 49.702148, 0.000000, 64.251272, 3.831741, 75.425986, 16.164245, 80.110790, 31.074528, 83.000357, 45.264783, 85.540625, 60.475263, 84.626506, 75.481020, 83.132739, 88.897074, 82.317473, 103.227559, 82.187588, 118.269726, 82.697288, 133.348818, 83.837557, 148.129518, 84.941690, 163.271150, 85.331913, 177.596812, 84.247959, 191.616652, 81.899179, 206.878196, 81.705083, 221.754006, 73.288335, 235.888309, 63.619012, 240.971637, 58.742823, 240.572909
245, 59.805524, 245.690118, 55.018124, 245.962565, 43.313036, 243.550835, 33.884934, 230.247386, 27.973401, 215.629220, 23.849002, 201.430305, 20.731997, 186.374356, 17.856920, 170.756530, 14.806173, 156.869197, 11.370524, 141.472183, 8.111032, 126.595500, 4.747479, 111.720100, 1.647962, 97.226385, 0.000000, 82.123974, 1.262794, 67.396558, 4.522586, 52.928533, 9.243619, 37.670063, 15.570567, 23.545469, 24.836698, 9.790623, 38.730028, 1.091987, 53.129568, 0.000000, 69.080771, 4.925297, 77.343707, 19.566135, 80.900153, 33.528121, 84.985820, 48.277006, 86.273716, 63.082937, 86.520804, 77.934735, 84.876821, 93.023248, 83.496782, 107.686449, 82.601651, 122.402085, 83.487058, 136.707574, 86.061205, 151.796082, 86.555323, 167.099337, 85.535582, 181.885256, 85.716202, 196.958770, 85.125729, 212.098284, 83.540420, 227.375820, 75.879046, 242.513323, 64.370902, 245.261564, 60.194650, 245.574236
255, 61.526347, 256.126978, 55.899625, 256.281201, 45.856568, 253.936998, 32.758377, 242.233165, 26.912592, 227.215025, 25.407932, 211.112646, 23.581744, 196.569370, 21.211628, 180.609782, 18.416153, 166.093641, 15.342303, 150.885991, 11.507840, 134.488362, 6.989796, 119.452243, 2.724247, 103.279271, 0.000000, 88.522750, 0.039119, 72.139235, 2.750608, 57.321741, 7.533943, 41.973281, 13.754408, 27.872257, 21.298892, 13.234705, 34.882195, 2.011363, 51.226005, 0.000000, 66.292239, 5.796432, 77.382550, 19.403880, 82.133897, 34.602738, 85.913485, 50.502063, 87.413184, 65.667795, 86.416361, 81.388944, 83.816942, 96.994164, 81.745723, 111.894238, 80.375988, 127.542638, 80.725516, 143.590223, 82.537502, 159.124702, 84.337535, 174.283140, 85.363254, 190.386390, 85.790019, 205.862663, 87.398995, 221.448898, 86.503941, 236.783316, 77.108795, 251.495422, 66.525806, 255.327827, 61.559995, 256.255885
265, 64.591795, 266.581721, 59.349529, 266.396941, 48.946526, 265.500998, 34.761466, 254.018707, 28.368788, 237.988539, 24.852921, 222.488531, 23.189938, 206.331200, 20.538254, 190.713897, 16.796409, 174.197079, 12.466173, 157.378756, 8.667512, 142.427046, 4.702351, 125.508492, 1.648554, 109.308236, 0.000000, 93.114684, 0.261350, 76.208533, 2.761805, 60.750535, 7.283883, 45.375169, 13.797135, 30.910909, 22.906531, 16.119564, 35.724288, 3.869203, 52.491642, 0.000000, 68.822234, 5.727896, 79.979213, 20.216335, 85.586461, 35.396748, 89.032926, 51.441500, 91.520714, 67.670050, 91.945690, 83.573926, 88.585961, 99.739949, 85.858691, 115.465139, 85.602769, 132.299303, 86.710820, 148.436757, 88.482432, 165.219978, 89.774652, 181.065034, 90.583981, 197.468851, 91.500837, 213.510073, 91.913866, 229.586659, 89.784984, 246.092843, 81.395676, 261.246188, 70.329577, 266.280958, 64.504302, 266.168268
270, 64.571618, 271.417819, 69.856933, 271.204892, 81.281442, 265.936015, 89.818556, 250.047256, 91.247639, 233.150765, 90.395288, 217.360836, 89.033430, 200.519450, 88.649840, 184.911514, 87.879724, 168.886552, 87.142618, 152.451331, 85.766084, 135.291044, 85.346775, 120.427880, 85.933807, 103.741228, 88.858933, 88.190858, 91.515015, 71.936506, 90.392224, 56.162614, 85.706729, 38.760441, 80.444048, 23.074575, 70.751744, 7.192273, 54.703239, 0.000000, 38.528887, 2.679793, 23.228262, 13.699347, 14.863234, 29.393620, 8.466780, 45.186787, 3.151570, 61.342872, 0.520735, 76.065694, 0.000000, 92.378218, 2.161455, 108.790864, 5.499399, 124.292908, 10.340157, 141.114212, 15.190743, 157.424765, 19.368193, 173.534696, 23.126068, 189.855438, 26.020306, 206.004224, 28.519756, 223.023325, 30.913813, 238.861774, 36.146436, 255.513071, 47.886007, 269.779617, 60.618722, 271.802981, 64.158813, 271.345370
275, 62.531114, 276.228707, 67.532878, 276.347834, 80.072509, 272.344115, 89.072658, 255.559711, 92.334213, 240.499188, 92.580607, 222.846401, 92.205836, 205.970187, 92.422170, 189.477064, 92.398729, 172.766099, 90.823762, 155.704652, 88.434503, 140.114180, 87.921489, 123.299467, 90.201496, 106.595199, 92.236786, 89.721162, 92.904713, 73.800104, 90.487019, 56.291314, 87.351450, 39.398823, 82.539927, 23.447231, 72.818359, 7.510026, 55.861734, 0.000000, 39.296396, 2.282650, 24.118974, 13.110512, 15.479536, 29.298400, 9.184050, 44.947612, 3.558506, 61.195674, 0.000000, 77.521001, 0.117210, 94.538856, 2.620795, 110.575721, 6.172167, 127.558081, 9.754006, 143.559712, 13.874517, 160.461435, 17.448349, 176.609900, 21.009139, 192.635612, 23.781890, 209.697087, 25.720015, 226.073296, 28.315111, 243.189372, 33.353602, 259.213904, 45.835581, 273.857402, 57.888156, 276.348420, 62.427850, 276.180555
