sample_index,distance_mm
0,1.430936
1,1.516111
2,1.561957
3,1.616861
4,1.702964
5,1.797389
6,1.779167
7,1.783401
8,1.868232
9,1.912835
10,1.923022
11,1.890633
12,1.934848
13,1.968800
14,2.015718
15,2.053262
16,2.069891
17,2.141907
18,2.250752
19,2.266576
20,2.278125
21,2.295492
22,2.377128
23,2.411348
24,2.414844
25,2.483386
26,2.609152
27,2.573960
28,2.595475
29,2.646748
30,2.693665
31,2.728455
32,2.783334
33,2.852001
34,2.871529
35,2.887890
36,2.895188
37,2.910809
38,2.961400
39,3.008449
40,3.053536
41,3.058715
42,3.114247
43,3.152789
44,3.140595
45,3.177977
46,3.192743
47,3.163793
48,3.184505
49,3.242300
50,3.294009
51,3.291099
52,3.280331
53,3.317877
54,3.336721
55,3.358265
56,3.298519
57,3.279676
58,3.282854
59,3.280114
60,3.275173
61,3.267110
62,3.308261
63,3.311522
64,3.304861
65,3.246128
66,3.205291
67,3.214788
68,3.274143
69,3.269079
70,3.291353
71,3.295637
72,3.296973
73,3.244243
74,3.207930
75,3.196962
76,3.191699
77,3.236217
78,3.258655
79,3.206993
80,3.204369
81,3.208754
82,3.161121
83,3.083977
84,3.057096
85,3.081771
86,3.081286
87,3.059130
88,3.080050
89,3.039134
90,3.022586
91,3.011274
92,2.993129
93,2.973259
94,2.908637
95,2.899175
96,2.927573
97,2.912751
98,2.889784
99,2.795116
100,2.715608
101,2.689919
102,2.726040
103,2.757330
104,2.716983
105,2.674432
106,2.594435
107,2.543323
108,2.558812
109,2.546046
110,2.574316
111,2.652068
112,2.651592
113,2.532437
114,2.436437
115,2.409803
116,2.408241
117,2.397392
118,2.454225
119,2.492871
120,2.428013
121,2.400867
122,2.446271
123,2.428843
124,2.307389
125,2.258195
126,2.285790
127,2.386073
128,2.328495
129,2.340124
130,2.298976
131,2.332843
132,2.295380
133,2.320580
134,2.291742
135,2.308047
136,2.374001
137,2.356731
138,2.361161
139,2.421699
140,2.376274
141,2.314266
142,2.325436
143,2.387287
