sample_index,distance_mm
0,2.737146
1,2.470278
2,2.328512
3,2.126834
4,1.779077
5,1.664457
6,1.565413
7,1.469817
8,1.292235
9,1.122963
10,1.072576
11,0.941406
12,0.864799
13,0.865683
14,0.780133
15,0.644559
16,0.691735
17,0.571704
18,0.595337
19,0.445564
20,0.438704
21,0.335285
22,0.246603
23,0.263699
24,0.297561
25,0.114996
26,0.029332
27,0.085664
28,0.028632
29,0.071068
30,0.041736
31,0.058700
32,0.089633
33,0.056191
34,0.028132
35,0.109080
36,0.083501
37,0.205055
38,0.201318
39,0.279238
40,0.340159
41,0.395814
42,0.404813
43,0.432178
44,0.490449
45,0.519226
46,0.538018
47,0.625208
48,0.473550
49,0.545603
50,0.638063
51,0.609770
52,0.660777
53,0.638126
54,0.679133
55,0.708187
56,0.702915
57,0.778280
58,0.708782
59,0.608662
60,0.622692
61,0.723527
62,0.729829
63,0.633988
64,0.632066
65,0.781976
66,0.785668
67,0.743801
68,0.708343
69,0.749295
70,0.756667
71,0.678840
72,0.689657
73,0.722888
74,0.698069
75,0.678834
76,0.693511
77,0.750988
78,0.760538
79,0.720881
80,0.771864
81,0.791479
82,0.852085
83,0.807569
84,0.817950
85,0.871179
86,0.925115
87,0.882946
88,0.855676
89,0.844249
90,0.845665
91,0.737084
92,0.772025
93,0.827872
94,0.818770
95,0.788788
96,0.898554
97,0.812175
98,0.861409
99,0.933086
100,0.945682
101,0.860316
102,0.888403
103,0.829559
104,0.794883
105,0.916651
106,1.025675
107,0.948856
108,0.901776
109,0.940433
110,0.899299
111,0.945178
112,0.880632
113,0.859941
114,0.984394
115,0.974132
116,0.917120
117,0.891966
118,0.938812
119,0.880689
120,0.885109
121,0.913772
122,0.858922
123,0.893570
124,0.897974
125,0.847903
126,0.795990
127,0.751350
128,0.829220
129,0.798653
130,0.762825
131,0.847331
132,0.813420
133,0.900641
134,0.853267
135,0.811470
136,0.764571
137,0.724034
138,0.738161
139,0.782204
140,0.792189
141,0.841281
142,0.795736
143,0.836634
144,0.855616
145,0.816184
146,0.770517
147,0.813550
148,0.829909
149,0.790259
150,0.861615
151,0.848007
152,0.800984
153,0.760199
154,0.726690
155,0.815467
156,0.780440
157,0.753081
158,0.820842
159,0.778412
160,0.782212
161,0.829052
162,0.779142
163,0.735845
164,0.683733
165,0.727340
166,0.731795
167,0.685546
168,0.761760
169,0.730972
170,0.678517
171,0.630445
172,0.599045
173,0.562168
