,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.3545,6.1972,4.5658,3.3251,4.4992,4.1453,3.9605
Type01,4.3545,0.0000,6.8090,3.0460,3.8565,5.5174,3.2158,7.7086
Type02,6.1972,6.8090,0.0000,4.1831,4.4429,4.7725,4.3973,8.1165
Type03,4.5658,3.0460,4.1831,0.0000,3.1680,3.7708,1.4479,7.6701
Type04,3.3251,3.8565,4.4429,3.1680,0.0000,4.3180,3.1354,6.1325
Type05,4.4992,5.5174,4.7725,3.7708,4.3180,0.0000,4.2526,5.7530
Type06,4.1453,3.2158,4.3973,1.4479,3.1354,4.2526,0.0000,7.4791
Type07,3.9605,7.7086,8.1165,7.6701,6.1325,5.7530,7.4791,0.0000
