size,A_to_B_mean,A_to_B_median,A_to_B_p90,A_to_B_p95,A_to_B_max,B_to_A_mean,B_to_A_median,B_to_A_p90,B_to_A_p95,B_to_A_max,Chamfer_mean,Hausdorff_max
230,0.5517198473520672,0.40443266432001945,1.2814046954346665,1.8249591297749805,2.0129102096167037,0.5427586911195892,0.3760376039672715,1.320078978005393,1.8354203978639323,2.0129102096167037,0.5472392692358282,2.0129102096167037
235,0.7633948152108414,0.6391561982111891,1.447677232937882,2.0411388928922483,2.4681443008857227,0.7743909312042734,0.6543528445091615,1.4567880182634443,2.0937429771080773,2.4681537496450283,0.7688928732075574,2.4681537496450283
245,1.0419509288909206,0.9076898847375333,1.961687617075279,2.1386080395205305,2.7790456988811676,1.053732950300898,0.9302317484326259,1.9750334778492167,2.140271915409142,2.7790456988811676,1.0478419395959093,2.7790456988811676
250,1.1086590399441425,0.8657162507528031,2.5722784279572415,2.846751266777023,2.9962575980814243,1.1273657804460433,0.8749149033407805,2.6025810910986333,2.858761554353901,2.9962575980814243,1.1180124101950928,2.9962575980814243
255,0.9744051823554223,0.7263000360396412,2.274169881666683,2.524972277574619,3.0962789112426443,0.9858653824056751,0.7369387733905417,2.2864306860121038,2.529997484294813,3.0962789112426443,0.9801352823805487,3.0962789112426443
260,1.272975954777951,1.1137429995315813,2.4679313507679077,2.6402154423955495,2.958434500137722,1.305766142463627,1.155952445862471,2.4996227426212423,2.6499665357417572,2.960373917333398,1.289371048620789,2.960373917333398
265,1.7809801857411875,1.5159926642904868,3.6080501430100913,4.3178973072080575,4.665384071454094,1.7644607302107918,1.5044510429601552,3.5757109727436345,4.303992305118382,4.665384071454094,1.7727204579759896,4.665384071454094
270,1.51192869514634,1.49728189897963,3.111555907811155,3.681951348991477,3.9938781706245643,1.547904947959017,1.565440368079099,3.160092322498647,3.700445125775045,3.9938781706245643,1.5299168215526784,3.9938781706245643
275,1.281852829672595,0.8651390643918941,2.8118705304573233,4.34187787452681,5.544948397889548,1.295944669213828,0.8859483312648662,2.808243268702357,4.307673370118746,5.544948397889548,1.2888987494432116,5.544948397889548
280,1.2802827626471043,1.0306387870057203,2.516359828880924,3.1429858183537185,4.0252993864744555,1.295627307416104,1.0371312583257302,2.54264034045886,3.1785263674175477,4.0252993864744555,1.287955035031604,4.0252993864744555
