Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
PCA_GPR,11.63516,10.98708,14.30675,3.69037,43.99381,3.99831,1611.08193,0.87365,0.93163,10.83095
PCA_KRR,8.19697,7.63997,4.52369,1.43948,9.25793,1.48246,445.14418,0.94390,0.97096,7.39210
PCA_LINEAR,8.04904,7.55109,4.39842,1.35160,9.20388,1.41361,426.65745,0.94610,0.97210,7.31912
PCA_SVR,8.20050,7.64751,4.78026,1.49050,9.42800,1.58025,440.02968,0.94222,0.97010,7.34522
PURE_GPR,8.26500,7.76941,5.71999,1.78642,13.20707,1.43672,505.75823,0.92778,0.96233,7.52548
PURE_KRR,8.29638,7.70690,5.14221,1.66156,10.34572,1.45703,484.67284,0.93410,0.96567,7.47179
PURE_SVR,8.44281,7.82978,5.30872,1.69354,11.19747,1.56798,524.78579,0.93297,0.96503,7.59598
RATIO_CTRL,2.29257,2.11452,3.06588,1.19129,2.93255,2.04762,430.88458,0.95618,0.97738,1.68842
