type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50
Type02, R, 230, 26.368045, 230.773561, 22.425684, 230.913148, 15.198029, 229.605086, 4.379981, 223.359042, 0.000000, 211.810352, 0.127091, 200.429291, 1.862071, 189.039995, 4.558367, 178.013616, 7.959942, 167.160955, 11.368358, 156.202969, 14.169149, 145.296573, 16.022418, 134.553311, 16.493255, 122.520168, 14.867297, 111.809506, 11.779738, 100.185570, 6.126370, 90.081021, 0.084744, 79.713690, 0.154714, 67.911782, 1.328642, 56.281235, 4.419846, 45.158858, 8.094028, 34.926660, 10.734148, 23.846320, 15.955009, 13.168629, 24.730390, 4.250940, 35.783671, 0.000000, 47.235322, 1.115968, 57.702905, 5.804768, 67.261364, 13.663483, 74.302723, 23.445256, 79.049586, 34.238171, 82.603564, 45.021664, 85.335275, 56.098365, 86.528437, 67.459424, 86.645560, 78.494887, 84.815025, 89.541637, 81.906479, 100.508512, 78.473883, 111.452763, 74.837454, 121.839654, 70.841466, 132.481386, 67.229132, 143.080961, 63.828248, 154.074812, 61.089854, 165.087678, 58.743876, 176.068214, 56.552077, 187.207694, 54.081749, 198.144295, 51.170904, 208.700290, 46.596511, 220.128248, 37.603690, 228.289578, 29.888172, 230.188342, 26.564983, 230.831609
Type02, R, 240, 29.687090, 240.661771, 25.962629, 240.671093, 17.777161, 240.121397, 7.402420, 232.463941, 1.431285, 221.489248, 0.067386, 209.433086, 1.150770, 198.499723, 4.149540, 186.587104, 6.954081, 174.982175, 9.835566, 163.852358, 12.863159, 152.064604, 15.084507, 141.136723, 16.531535, 129.211839, 14.177012, 117.526631, 9.381428, 106.393757, 4.061869, 95.376042, 3.370602, 83.848033, 1.256272, 71.713753, 0.000000, 60.026699, 3.224193, 47.968922, 5.209355, 36.893813, 8.815872, 25.106077, 13.272430, 13.853994, 22.385635, 4.759612, 33.587078, 0.000000, 44.972464, 1.160808, 55.874288, 5.939207, 65.673332, 14.232975, 73.211182, 24.059579, 78.549768, 35.012179, 82.866294, 46.295311, 85.683084, 57.691422, 87.343710, 69.743008, 87.295214, 81.040241, 85.723164, 93.205600, 83.039564, 104.315046, 79.893724, 115.997339, 76.836835, 126.595016, 73.314712, 138.397032, 70.139919, 149.516417, 67.184142, 160.575636, 64.648503, 172.112325, 62.177372, 183.635680, 60.113805, 194.895144, 57.386431, 206.944266, 55.183256, 217.489670, 50.991113, 229.131659, 41.502979, 237.672221, 33.740537, 240.376714, 29.929606, 240.084824
Type02, R, 250, 30.132547, 250.866571, 25.866000, 251.063105, 18.139749, 249.526340, 6.631668, 242.416512, 1.128683, 230.675730, 0.044708, 218.313782, 1.107901, 205.858442, 3.252690, 193.908888, 6.544107, 182.510655, 9.654473, 170.727530, 12.875728, 159.389700, 15.097880, 146.920924, 15.879386, 134.979429, 14.264985, 122.772722, 9.365414, 111.155950, 4.564265, 99.565620, 1.082873, 87.695319, 0.000000, 75.185642, 0.992996, 63.291575, 2.775586, 51.329467, 5.786350, 39.125586, 9.209772, 27.882076, 14.830959, 16.870400, 22.321911, 5.790991, 34.060853, 0.000000, 45.891222, 1.340966, 57.354986, 6.772438, 67.335290, 15.461193, 74.542291, 25.790151, 80.019433, 37.209459, 84.053392, 48.886680, 86.510769, 60.189529, 88.101960, 73.332270, 87.944138, 84.806891, 86.164138, 97.331077, 83.376825, 108.747408, 79.726096, 120.258174, 76.091058, 131.888861, 72.638951, 143.001913, 69.129052, 154.876500, 66.153186, 166.384347, 63.760294, 177.927201, 61.881920, 190.277232, 59.789032, 201.851174, 57.662063, 213.921458, 54.677645, 225.386930, 51.084328, 237.163627, 42.714431, 247.533020, 34.307829, 250.307158, 30.125613, 250.435839
Type02, R, 260, 30.754695, 260.612131, 26.293473, 260.519232, 18.499256, 259.456455, 6.730022, 251.332561, 1.120407, 239.227968, 0.000000, 226.046159, 2.616718, 213.601532, 6.211726, 201.426976, 9.521098, 189.310040, 12.453311, 176.512515, 15.089918, 164.965680, 17.569064, 152.552662, 17.944767, 139.916525, 16.149789, 126.926546, 11.649532, 114.542446, 5.945635, 102.599798, 2.058443, 90.236876, 0.352936, 76.807541, 0.611678, 64.140838, 2.981073, 51.922354, 6.403991, 39.325888, 9.997850, 27.509529, 14.334100, 15.591831, 23.641637, 5.020120, 36.071714, 0.000000, 48.594095, 1.020495, 60.039535, 7.047504, 70.465690, 15.677810, 78.512060, 26.710135, 83.763709, 38.695598, 87.363357, 50.741625, 90.229113, 63.491226, 92.270568, 76.360383, 92.623071, 88.779876, 91.648233, 101.753731, 88.638330, 113.754087, 85.134433, 126.074359, 81.644867, 137.869947, 77.886886, 150.019959, 74.593479, 161.798201, 71.076463, 173.873564, 67.862872, 186.019836, 64.885862, 198.888861, 62.704404, 211.260036, 61.074221, 223.953040, 58.299775, 236.329820, 54.152703, 248.433837, 43.888470, 258.965991, 34.998509, 260.191957, 30.788114, 260.546530
Type02, R, 270, 34.421257, 270.543401, 29.949212, 270.402768, 21.595507, 269.984134, 8.788399, 263.075304, 2.004527, 250.456714, 0.000000, 236.804572, 1.323622, 224.155886, 4.619574, 211.236750, 8.065944, 198.898140, 10.930089, 186.036000, 14.020757, 173.382597, 16.396181, 160.446510, 17.640404, 147.576732, 15.959360, 134.502812, 11.328558, 121.709447, 6.464914, 109.263306, 2.362647, 96.684274, 0.262798, 83.174889, 0.727015, 69.795345, 3.589255, 57.282132, 6.121233, 43.929143, 9.785847, 31.526947, 15.011234, 19.449693, 23.621122, 8.103319, 35.295493, 0.000000, 49.287005, 0.453178, 61.258227, 5.620735, 72.639110, 14.720736, 80.356763, 26.404326, 86.431460, 38.850660, 91.017691, 51.509227, 94.031951, 64.517045, 96.020491, 77.928314, 95.988277, 91.045185, 93.985125, 104.392543, 90.900725, 116.701121, 87.056904, 129.597911, 83.325071, 141.403794, 79.384830, 153.937921, 76.045606, 166.141923, 72.623933, 179.332124, 70.212524, 191.625036, 68.036796, 205.103257, 66.218305, 217.912493, 63.841557, 231.321347, 61.345757, 243.921945, 57.515325, 256.877609, 47.582912, 267.511916, 38.586864, 270.053962, 34.131167, 270.023441
Type03, R, 230, 32.556202, 230.384767, 28.733249, 230.391441, 22.097340, 229.486814, 11.177871, 224.778617, 3.193046, 215.625136, 0.436825, 203.931617, 0.025872, 193.087740, 0.534548, 181.627137, 1.581356, 171.303173, 2.945064, 159.643421, 4.487536, 148.924112, 5.637880, 137.418054, 5.843278, 126.533800, 5.074324, 115.324539, 3.906258, 103.861815, 2.119960, 93.036030, 1.177704, 81.913520, 0.000000, 70.601642, 0.219285, 59.528938, 1.185899, 48.333892, 3.517227, 37.261221, 6.807567, 26.557858, 11.864414, 16.172451, 18.049709, 5.826106, 28.878171, 0.000000, 39.873607, 0.221859, 50.493201, 3.843260, 59.704511, 11.910112, 65.757341, 21.706002, 70.528708, 32.703836, 73.710763, 43.058202, 76.025211, 54.463328, 77.325980, 65.598199, 77.748138, 76.531758, 77.595220, 87.600458, 76.551190, 99.366511, 75.156191, 110.540139, 73.224568, 121.513490, 71.171403, 132.626639, 68.956897, 143.614727, 67.056168, 154.263812, 65.097336, 165.386065, 63.514233, 176.407138, 61.622630, 186.883750, 59.644088, 198.347834, 56.817478, 209.122587, 52.504143, 219.802652, 43.843028, 228.871945, 35.866943, 230.163752, 33.007316, 230.064319
Type03, R, 235, 31.776401, 235.631161, 28.000981, 235.502270, 20.596209, 235.065506, 9.451261, 229.295565, 3.135247, 218.898068, 0.448733, 207.057769, 0.104129, 196.127187, 0.495306, 183.956975, 2.089565, 171.836176, 3.443207, 161.173959, 4.625415, 149.294710, 5.133094, 137.753320, 4.816128, 126.478416, 3.831428, 115.351516, 2.587268, 104.052052, 1.138530, 92.358682, 0.261893, 81.234588, 0.000000, 70.100120, 1.016474, 58.742170, 2.809444, 47.407719, 4.969904, 36.005110, 7.601387, 25.196717, 12.917720, 14.546765, 20.919172, 5.021617, 32.246919, 0.000000, 43.855401, 1.100049, 54.217802, 6.339762, 63.016846, 15.322112, 68.914651, 25.500084, 73.602325, 36.811851, 76.549485, 46.940928, 78.910554, 58.671419, 79.934479, 69.639769, 80.447575, 80.845632, 80.004284, 92.660363, 78.847919, 103.448435, 77.273610, 114.846037, 74.999028, 125.951195, 72.974811, 136.997597, 70.344690, 148.526029, 68.384498, 159.105268, 66.475604, 170.403942, 64.933669, 181.578374, 62.915631, 192.807817, 60.725479, 203.948214, 57.667929, 215.011112, 52.845762, 225.880907, 43.345746, 234.325002, 35.408481, 235.152094, 31.751226, 235.418793
Type03, R, 245, 33.618355, 245.332197, 29.483983, 245.475418, 21.948484, 244.811126, 10.621435, 238.439224, 3.001595, 227.954777, 0.225560, 216.156521, 0.000000, 204.776755, 1.154060, 193.195038, 2.247494, 181.630166, 2.865880, 169.879124, 3.560130, 157.982809, 3.791934, 146.172945, 4.039973, 133.986490, 3.643110, 122.202399, 2.918008, 110.712466, 1.526876, 98.571493, 0.697595, 86.791431, 0.065549, 75.481730, 0.450786, 63.685246, 1.894938, 52.164185, 4.408614, 40.303229, 8.268987, 29.228303, 13.132074, 18.701389, 19.647901, 7.815244, 29.641945, 0.000000, 41.973539, 0.340771, 53.384203, 4.265412, 62.848924, 12.941797, 69.057101, 23.588338, 73.564328, 34.922977, 76.957948, 46.492909, 79.614096, 58.923034, 80.943997, 70.273441, 81.448678, 81.601795, 80.828168, 93.544772, 79.160167, 105.432971, 77.149478, 117.469345, 75.247310, 128.782373, 73.277560, 140.707373, 71.120043, 152.420242, 69.115225, 164.405057, 67.078843, 175.527895, 65.030119, 187.062326, 62.922536, 199.425958, 60.756167, 210.635419, 59.080887, 222.039489, 54.584628, 233.318284, 45.362807, 242.277980, 37.614725, 244.994981, 33.947574, 244.882464
Type03, R, 250, 29.703668, 251.211630, 25.362312, 251.149556, 17.462364, 249.777760, 6.565384, 241.903954, 1.278494, 230.185659, 0.000000, 218.634759, 0.378794, 205.999993, 1.347153, 194.067839, 2.297782, 182.012283, 3.407843, 169.722548, 4.055877, 157.771175, 4.274670, 145.996956, 3.701104, 133.811029, 3.140541, 121.699929, 2.208608, 110.148574, 1.292107, 97.903116, 0.609801, 85.510363, 0.069986, 73.591561, 0.413394, 61.436848, 1.361407, 50.051950, 3.608245, 38.353308, 7.398845, 26.923664, 12.713176, 15.626641, 20.751654, 4.764715, 32.847701, 0.000000, 45.094352, 2.415479, 56.354420, 7.850256, 65.531814, 18.009572, 71.719155, 28.524353, 75.919963, 40.121180, 79.430141, 51.888217, 81.161519, 63.973445, 82.259315, 76.038500, 82.185757, 87.982543, 81.417099, 99.491661, 80.008961, 111.643450, 78.185424, 123.766712, 75.985915, 135.465614, 73.863302, 147.419743, 71.318233, 159.280856, 69.252243, 171.081406, 66.984335, 182.562356, 65.000064, 194.775593, 63.183533, 206.667662, 61.234396, 217.873905, 57.895790, 228.875742, 52.015278, 240.385789, 41.999753, 249.162905, 33.674641, 250.990434, 29.698175, 251.042042
Type03, R, 255, 35.277917, 255.480781, 31.102273, 255.466778, 23.282740, 254.908669, 11.423530, 249.882982, 3.058297, 239.663767, 0.674557, 226.675670, 0.000000, 214.610616, 0.710744, 201.944665, 2.015235, 189.429887, 2.822224, 177.152623, 3.620423, 165.426885, 3.742737, 152.293655, 3.829755, 139.991125, 3.164786, 127.082212, 2.469070, 116.318214, 1.373651, 103.055200, 0.497599, 91.582926, 0.078532, 79.199713, 0.373239, 67.118752, 1.493434, 54.518794, 3.900661, 42.536065, 7.462900, 30.737812, 12.985738, 19.100430, 20.025663, 8.272605, 30.811887, 0.498290, 43.709475, 0.000000, 55.528765, 4.639526, 65.588793, 13.410766, 72.045131, 24.564986, 76.610347, 36.184998, 79.941627, 48.358572, 82.738564, 61.177992, 83.948869, 73.137407, 84.366108, 85.274678, 83.716249, 97.784862, 82.074361, 109.743905, 79.816015, 121.941305, 77.575657, 134.214244, 75.696898, 146.031726, 73.558181, 158.054438, 71.825204, 170.297572, 70.053026, 182.609873, 68.467076, 194.922795, 66.583426, 206.758554, 64.223709, 219.595066, 60.846604, 231.475933, 57.081880, 243.214574, 48.244054, 253.772191, 39.081218, 254.629560, 35.267446, 255.554518
