type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35
Type01, L, 280, 58.725320, 282.134715, 52.529698, 282.194769, 37.780577, 279.306902, 25.762532, 260.335185, 22.703459, 241.097084, 19.429967, 220.692574, 16.772164, 201.627227, 13.388206, 181.764762, 9.587205, 162.077397, 5.835942, 142.913230, 1.958655, 123.506122, 0.000000, 103.626167, 0.324372, 83.922547, 3.590324, 65.010210, 9.073343, 46.601523, 17.086986, 27.957073, 29.480871, 10.125635, 48.882998, 0.000000, 69.673154, 4.412398, 83.153787, 22.438473, 86.898709, 41.376326, 90.206647, 61.017155, 90.707166, 80.068733, 88.482090, 100.237503, 86.947897, 119.114785, 86.573097, 139.621985, 87.466425, 158.927869, 90.501715, 178.736923, 90.320207, 197.322119, 88.991926, 217.630655, 89.319712, 238.090121, 88.172605, 256.307897, 79.737531, 276.129019, 65.021256, 282.132914, 59.390505, 281.351333
Type01, L, 290, 59.836930, 292.153703, 53.367708, 292.395889, 38.777484, 288.895983, 25.873272, 269.156189, 24.088140, 249.549695, 19.985981, 228.884435, 17.315318, 209.274485, 14.812951, 188.629558, 11.755954, 168.908749, 7.177877, 148.853686, 2.878812, 127.811975, 0.084866, 107.928429, 0.000000, 86.826220, 3.083466, 66.733668, 9.200183, 46.677002, 18.062377, 27.610258, 31.001333, 9.762634, 50.886189, 0.000000, 71.779084, 4.631420, 85.590185, 23.257962, 89.184334, 43.455320, 93.820900, 62.964986, 94.048434, 84.174039, 91.712331, 104.571321, 91.300041, 123.246276, 91.610314, 145.152838, 92.572581, 165.451447, 93.429765, 185.065857, 93.980175, 205.854715, 93.792716, 225.989949, 92.244281, 245.351636, 89.876748, 266.117985, 81.951826, 285.958077, 65.968865, 292.287765, 60.598854, 291.501400
Type02, L, 230, 62.793789, 230.442067, 57.900229, 230.226425, 45.524334, 227.597984, 35.012285, 212.561929, 31.037315, 196.583829, 27.466217, 180.097148, 24.096980, 164.188608, 19.987752, 147.819906, 15.168402, 131.824642, 9.172458, 116.142242, 3.608829, 100.417695, 0.261531, 83.581657, 0.000000, 67.248969, 2.225686, 51.051408, 7.081259, 35.075756, 14.512241, 19.107749, 27.332902, 6.066348, 43.098783, 0.000000, 60.697251, 0.263268, 73.696263, 13.983119, 80.160713, 29.659465, 83.219365, 45.502871, 86.653425, 62.408228, 86.323022, 78.230330, 80.387486, 94.807790, 74.021055, 110.621275, 70.833900, 127.867615, 73.581195, 144.383281, 78.206646, 160.657991, 83.042588, 176.424523, 86.301215, 191.816078, 87.260932, 208.709640, 80.053140, 225.742533, 67.797978, 230.617022, 63.172863, 230.219321
Type02, L, 250, 65.623138, 251.347730, 71.211623, 251.658491, 84.578283, 245.492139, 89.432902, 227.466731, 87.785443, 209.785548, 83.189676, 193.138769, 76.871572, 175.693590, 73.337653, 158.744089, 70.327450, 140.909142, 73.208391, 123.061203, 80.799745, 106.061639, 88.368594, 88.349387, 88.830088, 71.145047, 86.025981, 53.154579, 82.497270, 36.081400, 78.415479, 18.265372, 65.002545, 2.644170, 45.751801, 0.000000, 28.716960, 8.528845, 15.622333, 23.531451, 8.062722, 40.789357, 2.234000, 57.802223, 0.000000, 75.551343, 2.231954, 92.483923, 6.329083, 109.195079, 11.328863, 126.247317, 16.576250, 143.960000, 22.028405, 161.827996, 26.480656, 178.503960, 30.050941, 196.897136, 33.034680, 214.645224, 36.636790, 231.078254, 46.332556, 248.964948, 60.208129, 251.989176, 65.117821, 251.192024
Type02, L, 260, 65.994491, 261.750509, 60.591326, 262.162658, 47.568238, 257.092813, 36.490524, 239.760233, 32.042659, 221.954444, 29.452465, 202.887190, 26.085998, 185.454523, 21.601313, 167.846421, 15.831096, 149.074718, 9.455173, 131.307233, 3.862149, 112.730324, 0.087993, 94.925608, 0.000000, 75.913219, 2.315318, 58.569956, 7.723371, 40.339170, 16.125851, 23.017124, 30.115758, 8.217112, 48.057614, 0.000000, 67.030480, 3.890085, 80.889947, 19.260644, 85.289656, 37.662245, 89.199346, 55.457717, 92.719925, 73.870213, 91.852233, 92.078809, 83.982713, 109.513390, 77.211628, 126.985990, 75.405077, 145.750955, 77.057289, 164.430504, 80.962620, 182.072996, 85.855045, 200.328315, 91.424633, 218.521202, 93.324935, 237.232375, 85.074533, 255.820630, 71.995600, 261.758811, 66.005919, 261.393996
Type02, L, 270, 68.820304, 271.747154, 62.494920, 271.939601, 48.515292, 267.629072, 37.083319, 249.525623, 33.576457, 230.857667, 29.957243, 211.295433, 25.131134, 192.748160, 20.251487, 173.666915, 15.727292, 155.478028, 10.116633, 136.749503, 4.654058, 118.926637, 0.859186, 99.880717, 0.000000, 80.574396, 2.975639, 61.531988, 9.165434, 42.807304, 18.729289, 25.013289, 32.693330, 8.594892, 51.092446, 0.000000, 71.838008, 3.687603, 84.761950, 20.994443, 89.799814, 39.817044, 92.706481, 58.272104, 96.457701, 77.560699, 95.267402, 97.373604, 85.818142, 115.340555, 78.733337, 134.083923, 78.073207, 153.131155, 80.770293, 172.360561, 84.909941, 191.190412, 90.640563, 208.936241, 95.300009, 227.720139, 97.044040, 247.081619, 88.966719, 266.514175, 73.868420, 271.763903, 69.579822, 271.284408
Type03, L, 230, 50.379836, 231.484693, 45.772341, 231.169261, 33.547123, 228.253391, 23.833651, 213.016095, 19.720537, 196.708057, 17.459565, 180.962726, 15.125027, 164.017984, 11.879902, 147.321151, 8.389942, 131.908271, 4.935505, 115.614650, 2.017586, 100.258150, 0.256365, 84.137779, 0.000000, 68.351323, 1.905006, 52.353839, 6.490690, 36.361099, 13.793489, 21.094192, 25.154411, 6.825033, 41.040721, 0.000000, 57.355085, 2.854443, 70.027446, 16.428010, 75.117934, 32.357326, 78.036700, 49.597924, 78.505350, 65.571466, 78.501427, 81.794351, 75.822951, 98.378256, 73.068066, 114.148660, 71.109467, 130.767293, 73.038195, 147.186811, 75.618472, 162.812985, 77.371595, 179.258530, 78.653940, 196.415200, 78.587836, 212.859521, 66.767147, 227.631657, 55.967881, 231.278647, 50.561036, 231.273687
Type03, L, 235, 53.270738, 236.547761, 48.053062, 236.521311, 36.244915, 234.848712, 24.328784, 220.461269, 19.921655, 204.302273, 17.423990, 187.781684, 15.692892, 170.938871, 13.061020, 154.670326, 9.422154, 137.973812, 5.572872, 121.930832, 2.376064, 105.393679, 0.067016, 88.611997, 0.000000, 72.069624, 1.618618, 55.082058, 5.422898, 38.772751, 12.516666, 23.080459, 23.315738, 8.813668, 38.776574, 0.000000, 56.350720, 3.060732, 69.193151, 16.246879, 75.716609, 32.424264, 78.517957, 48.589813, 79.664900, 65.480048, 79.601294, 82.104184, 77.976298, 99.061757, 76.057982, 115.378645, 74.856441, 132.759288, 75.170573, 149.698005, 76.231885, 167.150506, 77.937140, 183.046811, 79.718944, 199.150791, 79.478638, 215.750894, 70.468498, 231.305210, 58.998655, 236.885343, 53.204315, 235.982968
Type03, L, 245, 53.600364, 246.841627, 47.912639, 246.724948, 35.325101, 243.651457, 24.628947, 227.971459, 20.288393, 210.968129, 17.821281, 192.478235, 15.675090, 175.868978, 12.069758, 158.313624, 8.593347, 141.132235, 4.743659, 122.976827, 1.891130, 105.865710, 0.074581, 88.379664, 0.000000, 70.944730, 2.451724, 53.359711, 7.769483, 36.943633, 15.008279, 20.771216, 26.549265, 5.727882, 44.430523, 0.000000, 61.749457, 5.599480, 74.029801, 21.059289, 78.668989, 37.806159, 81.120321, 55.763281, 82.799480, 71.986232, 82.982309, 89.895660, 80.142315, 106.698285, 76.895917, 123.400729, 76.154411, 140.982983, 77.487772, 158.443376, 79.782646, 175.024517, 81.945201, 191.883799, 83.206556, 209.704134, 82.032718, 226.374589, 72.053445, 243.579534, 59.189422, 246.660850, 53.908239, 246.593921
Type03, L, 250, 52.521032, 251.842621, 47.131709, 251.589639, 33.967720, 248.490721, 23.017654, 231.853154, 20.058317, 214.988364, 17.143797, 196.991636, 14.687175, 179.190726, 11.731902, 161.022744, 8.552068, 143.150992, 5.537008, 125.619662, 2.978378, 108.362868, 0.579286, 89.632187, 0.000000, 72.888965, 1.586129, 55.213675, 6.839384, 37.360549, 14.689692, 20.958038, 28.261100, 5.411797, 45.139057, 0.000000, 63.160581, 6.249439, 75.262837, 22.569235, 79.404834, 39.641588, 83.137024, 57.711276, 83.718638, 75.333477, 83.156957, 91.817652, 80.992172, 109.682584, 79.035819, 127.316787, 79.403693, 144.122244, 79.859443, 161.482822, 80.234569, 178.603286, 80.944906, 196.554993, 82.280061, 214.144445, 81.477594, 230.805951, 71.558300, 248.557365, 57.852413, 251.485734, 53.615435, 251.827218
