Type,Cluster_ID,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,2,240,PCA_KRR,8.55401,7.93541,1.63342,0.45526,1.13733,0.56330,0.84425,20.70628,0.98062,0.99021,0.00000
Type00,2,240,PCA_LINEAR,6.90799,6.10420,10.21736,2.45182,35.53637,3.02036,10.10682,1184.67375,0.90749,0.95150,0.00000
Type00,2,240,PCA_SVR,8.65702,8.11923,1.39359,0.42820,0.96106,0.33987,1.39359,0.83589,0.97767,0.98871,0.00000
Type00,2,240,PURE_GPR,8.37592,7.75440,1.73249,0.39121,2.32975,0.76621,0.57665,102.18995,0.97820,0.98898,0.00000
Type00,2,240,PURE_KRR,8.49281,7.87312,1.56624,0.43879,1.40538,0.55213,0.73533,25.94826,0.98096,0.99039,0.00000
Type00,2,240,PURE_SVR,7.99574,7.37726,0.97452,0.24999,0.95957,0.64588,0.52935,120.81851,0.98472,0.99230,0.00000
Type00,2,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,2,245,PCA_KRR,7.83327,7.16120,1.69852,0.73657,5.13242,0.90582,0.53118,447.58875,0.97006,0.98480,0.00000
Type00,2,245,PCA_LINEAR,7.23730,6.34323,10.50733,2.69965,36.13667,2.80306,10.50733,1395.61110,0.89754,0.94600,0.00000
Type00,2,245,PCA_SVR,7.60021,6.93765,1.46764,0.54071,7.86850,1.00427,1.35234,382.23415,0.97553,0.98762,0.00000
Type00,2,245,PURE_GPR,7.82391,7.17664,1.66567,0.72112,3.76735,0.75194,0.42383,422.36536,0.96974,0.98464,0.00000
Type00,2,245,PURE_KRR,7.84552,7.18551,1.70211,0.70692,4.97310,0.91444,0.45486,437.39072,0.97024,0.98489,0.00000
Type00,2,245,PURE_SVR,7.91517,7.26212,2.39714,0.96086,3.20382,0.87069,0.11610,531.09570,0.96184,0.98055,0.00000
Type00,2,245,RATIO_CTRL,2.29298,2.15050,3.14634,0.84083,0.07831,0.82972,0.36586,59.33787,0.97148,0.98554,0.00000
Type00,2,255,PCA_KRR,8.62154,7.79389,1.64618,0.67664,4.71918,0.29031,0.56297,28.65421,0.96412,0.98173,0.00000
Type00,2,255,PCA_LINEAR,7.35835,6.58081,10.90380,2.92258,36.98333,1.99198,10.90380,800.43760,0.89153,0.94266,0.00000
Type00,2,255,PCA_SVR,8.36976,7.58878,1.14404,0.41231,5.95905,0.80084,0.83885,246.86718,0.97797,0.98886,0.00000
Type00,2,255,PURE_GPR,8.65104,7.88562,2.03871,0.77137,3.66381,0.04346,0.22450,132.37128,0.96134,0.98029,0.00000
Type00,2,255,PURE_KRR,8.62433,7.81633,1.57517,0.64882,4.42276,0.29696,0.45564,30.31188,0.96535,0.98237,0.00000
Type00,2,255,PURE_SVR,8.76492,8.03119,1.14311,0.32461,2.77733,0.31247,0.05669,69.53888,0.98072,0.99027,0.00000
Type00,2,255,RATIO_CTRL,3.08701,2.50276,6.46037,1.95912,0.45928,2.78841,0.68650,852.39034,0.93396,0.96585,0.00000
Type00,2,265,PCA_KRR,9.54480,8.72915,2.16775,1.05986,4.56600,1.80077,0.70526,674.39503,0.95219,0.97551,0.00000
Type00,2,265,PCA_LINEAR,8.53619,7.31717,10.50623,2.87128,39.04572,3.89512,10.50623,1690.14349,0.89614,0.94522,0.00000
Type00,2,265,PCA_SVR,8.71703,7.91041,1.85809,0.42338,6.05699,0.84961,0.62376,334.13654,0.98055,0.99018,0.00000
Type00,2,265,PURE_GPR,9.88689,9.14028,2.62228,1.00753,5.34979,1.80500,0.98937,646.03822,0.95527,0.97712,0.00000
Type00,2,265,PURE_KRR,9.43967,8.64462,2.16347,1.07120,4.79276,1.79564,0.57303,687.25585,0.95082,0.97479,0.00000
Type00,2,265,PURE_SVR,9.60235,8.67213,2.39643,1.07497,4.24463,1.68243,0.59186,654.07728,0.95514,0.97706,0.00000
Type00,2,265,RATIO_CTRL,3.59691,3.48167,4.74589,1.82358,0.53255,1.98623,0.22117,297.04615,0.93431,0.96604,0.00000
Type00,2,270,PCA_KRR,8.95091,8.24329,2.58103,0.95735,0.65091,0.24707,0.30133,307.72157,0.95661,0.97783,0.00000
Type00,2,270,PCA_LINEAR,7.02889,6.11044,10.68020,2.75346,33.34308,1.88594,10.68020,810.80190,0.89967,0.94719,0.00000
Type00,2,270,PCA_SVR,8.51818,7.76144,1.37160,0.44579,3.40650,0.35138,1.37160,199.81665,0.97534,0.98752,0.00000
Type00,2,270,PURE_GPR,8.90376,8.16725,2.59839,0.93976,1.24824,0.11864,0.16363,291.22266,0.95752,0.97830,0.00000
Type00,2,270,PURE_KRR,8.94386,8.21342,2.53066,0.94882,0.82821,0.25014,0.22800,302.45231,0.95679,0.97792,0.00000
Type00,2,270,PURE_SVR,8.84567,8.18058,3.53451,1.16712,0.11986,0.56848,0.10057,455.43980,0.95499,0.97698,0.00000
Type00,2,270,RATIO_CTRL,4.33906,3.81814,7.32204,2.82918,5.66154,4.52328,0.33274,1350.24626,0.90473,0.94998,0.00000
Type00,2,275,PCA_KRR,9.35141,8.59424,1.39277,0.71971,6.59359,1.15766,0.82776,522.96726,0.96444,0.98190,0.00000
Type00,2,275,PCA_LINEAR,7.70119,6.88053,10.63761,2.89522,35.02476,3.10815,10.63761,1696.15584,0.90136,0.94812,0.00000
Type00,2,275,PCA_SVR,7.90958,7.03182,5.95708,1.24930,16.64742,1.09834,1.33973,782.89046,0.95626,0.97764,0.00000
Type00,2,275,PURE_GPR,9.07714,8.31373,1.87929,0.88988,6.74242,1.21534,1.20362,600.54678,0.96826,0.98387,0.00000
Type00,2,275,PURE_KRR,9.40988,8.65520,1.28011,0.66069,6.09363,1.13550,0.67190,495.53390,0.96987,0.98471,0.00000
Type00,2,275,PURE_SVR,9.56454,8.75742,1.07686,0.35207,4.43185,0.66446,0.67768,256.36302,0.98431,0.99209,0.00000
Type00,2,275,RATIO_CTRL,4.11124,3.84227,4.54280,1.90602,4.41872,3.85625,0.31546,643.20265,0.93136,0.96446,0.00000
Type01,1,230,PCA_KRR,8.14139,7.57276,0.94656,0.29720,0.38495,0.18781,0.65235,113.06731,0.98294,0.99140,0.00000
Type01,1,230,PCA_LINEAR,7.72734,7.13507,1.51932,0.42050,2.47373,0.01866,0.06214,122.62321,0.98084,0.99033,0.00000
Type01,1,230,PCA_SVR,8.78149,8.38073,2.37454,0.61644,4.77313,0.34654,2.37454,69.14057,0.97025,0.98490,0.00000
Type01,1,230,PURE_GPR,8.06702,7.49005,0.93841,0.40483,0.80160,0.52523,0.26219,114.19750,0.97800,0.98888,0.00000
Type01,1,230,PURE_KRR,8.10509,7.53084,0.97723,0.29077,0.64686,0.12195,0.56898,113.85878,0.98310,0.99148,0.00000
Type01,1,230,PURE_SVR,7.86934,7.27645,0.73825,0.22175,2.12054,0.26296,0.11590,153.32489,0.98716,0.99354,0.00000
Type01,1,240,PCA_KRR,8.05054,7.22895,1.39256,0.58316,4.73570,0.78134,0.44986,199.52905,0.97135,0.98547,0.00000
Type01,1,240,PCA_LINEAR,8.40684,7.42779,2.55548,1.32613,5.27383,0.18059,0.12729,169.66553,0.94435,0.97138,0.00000
Type01,1,240,PCA_SVR,7.65435,6.87391,1.91077,0.59822,8.40452,0.90891,1.76920,351.08402,0.97345,0.98655,0.00000
Type01,1,240,PURE_GPR,8.19991,7.39135,1.52863,0.57410,4.48905,0.15797,0.26974,170.87265,0.97200,0.98580,0.00000
Type01,1,240,PURE_KRR,8.03303,7.22342,1.40661,0.58541,4.72687,0.86253,0.44370,212.51531,0.97134,0.98546,0.00000
Type01,1,240,PURE_SVR,9.13332,8.30945,1.88768,0.30484,5.85561,0.58952,0.15053,344.42293,0.97817,0.98897,0.00000
Type01,1,240,RATIO_CTRL,4.23523,4.13912,3.08267,1.30127,1.27228,1.16611,0.07785,243.78603,0.95172,0.97526,0.00000
Type01,1,250,PCA_KRR,8.44458,7.69388,1.96532,0.66853,2.87549,0.33897,0.22722,208.36631,0.96268,0.98099,0.00000
Type01,1,250,PCA_LINEAR,7.95364,7.28676,3.02347,1.16008,5.98323,0.41580,0.04606,346.46367,0.95560,0.97730,0.00000
Type01,1,250,PCA_SVR,7.83390,7.15886,1.07837,0.35559,4.85322,0.46351,0.78284,272.74795,0.98295,0.99140,0.00000
Type01,1,250,PURE_GPR,8.29860,7.54471,2.01240,0.66908,4.43081,0.35409,0.40861,302.73667,0.96398,0.98166,0.00000
Type01,1,250,PURE_KRR,8.46465,7.74289,1.81248,0.62746,2.24448,0.30718,0.03170,184.94460,0.96399,0.98166,0.00000
Type01,1,250,PURE_SVR,10.17104,9.27361,3.69323,1.19975,2.19026,1.02901,0.79081,256.98269,0.94253,0.97041,0.00000
Type01,1,250,RATIO_CTRL,2.16812,1.86984,3.11800,1.18835,0.53188,2.34383,0.07737,378.84590,0.95410,0.97651,0.00000
Type01,1,260,PCA_KRR,8.29264,7.54197,1.39906,0.59701,3.38122,1.17120,0.05985,244.03408,0.96614,0.98278,0.00000
Type01,1,260,PCA_LINEAR,8.51858,7.68501,5.33644,2.15424,4.87085,1.96504,0.54294,332.86700,0.91990,0.95828,0.00000
Type01,1,260,PCA_SVR,8.46119,7.79446,1.00197,0.23304,2.05803,0.43036,0.32345,169.68202,0.98737,0.99364,0.00000
Type01,1,260,PURE_GPR,8.40376,7.71317,2.17819,0.99088,2.12563,1.73463,0.59766,226.59144,0.95437,0.97665,0.00000
Type01,1,260,PURE_KRR,8.27409,7.52156,1.30045,0.51272,3.61090,1.02500,0.02886,240.13499,0.96927,0.98440,0.00000
Type01,1,260,PURE_SVR,8.42732,7.72754,1.22294,0.26640,3.40953,0.54686,0.07900,224.97404,0.98601,0.99296,0.00000
Type01,1,260,RATIO_CTRL,5.14033,4.91292,6.02781,2.05063,1.96060,0.93859,0.51950,725.32975,0.92885,0.96311,0.00000
Type01,1,280,PCA_KRR,9.51814,8.81217,1.28950,0.45050,2.38515,0.02557,0.36890,152.58002,0.97018,0.98486,0.00000
Type01,1,280,PCA_LINEAR,9.15678,8.57590,3.93506,1.56819,3.45164,0.05372,0.21708,128.91243,0.94754,0.97306,0.00000
Type01,1,280,PCA_SVR,10.09535,9.53811,1.98726,0.55641,2.39864,0.14082,1.98726,17.18877,0.96663,0.98303,0.00000
Type01,1,280,PURE_GPR,9.51605,8.82232,1.68066,0.67615,1.90507,0.25214,0.12693,18.11523,0.96223,0.98075,0.00000
Type01,1,280,PURE_KRR,9.45471,8.73365,1.19593,0.38119,2.89484,0.14116,0.23077,189.78453,0.97499,0.98734,0.00000
Type01,1,280,PURE_SVR,9.33979,8.62992,1.19854,0.29194,3.53828,0.44066,0.11648,247.33610,0.98461,0.99225,0.00000
