Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,8.93138,8.15576,2.66454,0.85862,2.94812,0.62667,0.43788,255.36933,0.95889,0.97897,0.00000
PCA_KRR,2,8.73225,8.03527,1.49583,0.58180,3.29036,0.76484,0.44632,243.12059,0.96974,0.98461,0.00000
PCA_KRR,3,8.69674,7.98617,1.07722,0.37864,3.71246,0.61256,0.64342,209.16343,0.98017,0.98998,0.00000
PCA_KRR,4,8.95142,8.24384,1.19750,0.29130,3.32707,0.59275,0.20576,219.34496,0.98712,0.99352,0.00000
PCA_LINEAR,1,9.32440,8.50538,5.12847,1.80046,1.87277,0.74971,0.21938,459.81778,0.92659,0.96176,0.00000
PCA_LINEAR,2,9.38206,8.58054,7.21373,2.04898,17.57008,1.71897,5.29128,721.77621,0.91611,0.95613,0.00000
PCA_LINEAR,3,9.44594,8.68406,4.34801,1.61483,5.48314,1.39478,0.71735,289.85381,0.92873,0.96297,0.00000
PCA_LINEAR,4,19.30547,19.06726,20.29606,5.00980,55.64395,4.51387,20.14029,1902.83286,0.83735,0.91144,0.00000
PCA_SVR,1,9.03077,8.27435,2.93813,0.87666,4.29615,0.61519,1.19855,228.89059,0.95913,0.97908,0.00000
PCA_SVR,2,8.63159,7.95003,1.71546,0.53482,4.80858,0.63152,1.04124,247.65116,0.97422,0.98692,0.00000
PCA_SVR,3,8.47223,7.77573,3.25574,0.73449,7.12119,0.59404,1.30121,321.13647,0.96726,0.98324,0.00000
PCA_SVR,4,9.17789,8.55014,1.54672,0.45605,3.78094,0.49240,1.53522,162.55192,0.97743,0.98858,0.00000
PURE_GPR,1,8.84151,8.06437,2.67002,0.89802,3.10774,0.61915,0.43629,237.55241,0.95765,0.97832,0.00000
PURE_GPR,2,8.72951,8.03438,1.67923,0.63951,3.38247,0.81460,0.36774,253.32350,0.96847,0.98395,0.00000
PURE_GPR,3,8.67695,7.95510,1.22730,0.42036,3.79300,0.72173,0.33657,211.44772,0.97874,0.98925,0.00000
PURE_GPR,4,8.94671,8.23464,1.18064,0.25630,3.31899,0.59352,0.00001,219.81840,0.98872,0.99433,0.00000
PURE_KRR,1,8.82281,8.04239,2.58368,0.85732,2.99961,0.58636,0.45289,235.78670,0.96006,0.97958,0.00000
PURE_KRR,2,8.72069,8.02418,1.45424,0.55699,3.28473,0.73859,0.33417,242.19989,0.97053,0.98502,0.00000
PURE_KRR,3,8.69669,7.98154,1.04255,0.35181,3.69645,0.60266,0.54151,207.40429,0.98087,0.99034,0.00000
PURE_KRR,4,8.94928,8.24049,1.18928,0.27624,3.30532,0.59342,0.16894,219.66180,0.98769,0.99381,0.00000
PURE_SVR,1,9.06640,8.25176,2.62491,0.84408,3.16256,0.59871,0.52440,247.39715,0.96165,0.98038,0.00000
PURE_SVR,2,8.63007,7.92325,1.54941,0.53581,3.30064,0.76121,0.21647,277.96845,0.97424,0.98691,0.00000
PURE_SVR,3,8.72418,8.02592,0.95856,0.31093,3.04978,0.63705,0.31358,203.03857,0.98314,0.99150,0.00000
PURE_SVR,4,8.94377,8.23390,1.18002,0.27195,3.18571,0.59252,0.10629,213.46980,0.98803,0.99398,0.00000
RATIO_CTRL,1,3.61317,3.31281,4.60629,1.69971,3.80095,3.08079,0.26283,626.54611,0.93986,0.96891,0.00000
RATIO_CTRL,2,2.83338,2.51261,4.74434,1.68467,4.69705,3.01639,0.27025,687.93081,0.93870,0.96814,0.00000
RATIO_CTRL,3,4.61065,3.80930,7.53250,3.11267,7.22497,5.92524,0.66626,1340.99401,0.88710,0.94016,0.00000
RATIO_CTRL,4,1.58180,1.44596,2.53248,0.87129,1.73462,1.29817,0.09617,414.27688,0.96444,0.98170,0.00000
