,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2340,5.8025,4.3487,3.3016,4.4639,4.0876,3.7547
Type01,4.2340,0.0000,6.7601,2.8930,3.7583,5.4819,3.0528,7.4466
Type02,5.8025,6.7601,0.0000,4.5045,4.1608,4.7778,4.3108,7.8394
Type03,4.3487,2.8930,4.5045,0.0000,3.1586,3.7436,1.1839,7.4385
Type04,3.3016,3.7583,4.1608,3.1586,0.0000,4.0561,3.2415,6.0145
Type05,4.4639,5.4819,4.7778,3.7436,4.0561,0.0000,4.2092,5.6168
Type06,4.0876,3.0528,4.3108,1.1839,3.2415,4.2092,0.0000,7.3295
Type07,3.7547,7.4466,7.8394,7.4385,6.0145,5.6168,7.3295,0.0000
