,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2996,5.9203,4.4733,3.3298,4.4527,4.1223,3.8660
Type01,4.2996,0.0000,6.7902,2.9390,3.8227,5.5086,3.0937,7.5983
Type02,5.9203,6.7902,0.0000,4.3149,4.2240,4.7823,4.3842,7.9047
Type03,4.4733,2.9390,4.3149,0.0000,3.0646,3.7814,1.2988,7.6086
Type04,3.3298,3.8227,4.2240,3.0646,0.0000,4.1880,3.2351,6.0664
Type05,4.4527,5.5086,4.7823,3.7814,4.1880,0.0000,4.2504,5.6346
Type06,4.1223,3.0937,4.3842,1.2988,3.2351,4.2504,0.0000,7.4396
Type07,3.8660,7.5983,7.9047,7.6086,6.0664,5.6346,7.4396,0.0000
