,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2388,5.8267,4.3674,3.3285,4.4318,4.0932,3.7978
Type01,4.2388,0.0000,6.7981,2.9087,3.7949,5.4802,3.0622,7.4900
Type02,5.8267,6.7981,0.0000,4.4516,4.1631,4.7755,4.3462,7.8439
Type03,4.3674,2.9087,4.4516,0.0000,3.1164,3.7446,1.1977,7.4958
Type04,3.3285,3.7949,4.1631,3.1164,0.0000,4.0764,3.2705,6.0241
Type05,4.4318,5.4802,4.7755,3.7446,4.0764,0.0000,4.2041,5.6167
Type06,4.0932,3.0622,4.3462,1.1977,3.2705,4.2041,0.0000,7.3676
Type07,3.7978,7.4900,7.8439,7.4958,6.0241,5.6167,7.3676,0.0000
