Type,Base_Size,Points_Count,Time_sec,Inferred_Base_Type,Output_File
Type00,240,20,0.0076921998988837,Type05,Fin_Excel_Data_CTRL20\pred_Data_230_280_RATIO_Type00.csv
Type01,230,20,0.006841600057668984,Type06,Fin_Excel_Data_CTRL20\pred_Data_230_280_RATIO_Type01.csv
Type02,230,20,0.0080422000028193,Type04,Fin_Excel_Data_CTRL20\pred_Data_230_280_RATIO_Type02.csv
Type03,230,20,0.006468400009907782,Type06,Fin_Excel_Data_CTRL20\pred_Data_230_280_RATIO_Type03.csv
Type04,230,20,0.008272300008684397,Type03,Fin_Excel_Data_CTRL20\pred_Data_230_280_RATIO_Type04.csv
Type05,240,20,0.006091599934734404,Type02,Fin_Excel_Data_CTRL20\pred_Data_230_280_RATIO_Type05.csv
Type06,230,20,0.008092900039628148,Type03,Fin_Excel_Data_CTRL20\pred_Data_230_280_RATIO_Type06.csv
Type07,250,20,0.00683620001655072,Type00,Fin_Excel_Data_CTRL20\pred_Data_230_280_RATIO_Type07.csv
