type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28
Type01, L, 280, 59.169861, 282.869668, 51.379728, 283.994304, 31.857691, 276.192173, 24.006536, 250.307741, 20.601895, 225.011899, 16.870714, 200.107555, 12.440148, 174.734376, 7.541621, 149.908701, 2.492518, 125.312364, 0.000000, 99.694819, 1.895979, 74.820857, 8.147147, 51.226915, 17.802609, 27.330058, 35.437954, 4.918026, 63.746531, 0.000000, 84.045557, 21.365826, 87.957507, 46.459769, 92.015523, 70.902463, 89.420017, 96.290590, 87.419748, 121.024463, 86.722853, 146.663595, 89.996772, 171.946553, 91.373860, 195.818023, 89.106113, 222.038883, 90.175228, 247.149241, 85.170349, 271.512296, 67.904592, 284.146939, 59.462929, 281.681904
Type01, L, 290, 60.209549, 292.901391, 52.530506, 294.180942, 32.124864, 285.490833, 24.889296, 258.818670, 21.588174, 233.347137, 17.114381, 207.579202, 14.593220, 181.545164, 9.226235, 156.416977, 3.349908, 129.605037, 0.000000, 103.833649, 1.312682, 77.085672, 8.064198, 51.626723, 18.859702, 26.752610, 37.180272, 4.791476, 65.878893, 0.000000, 86.350994, 22.235847, 90.481548, 48.406709, 95.856690, 73.613822, 92.398684, 101.220444, 91.702002, 124.671837, 92.332509, 153.153512, 93.676820, 177.840097, 94.481096, 204.328324, 94.324502, 230.071822, 91.832044, 254.977805, 87.463176, 282.421643, 69.131022, 293.552819, 60.487467, 292.304465
Type02, L, 230, 63.173128, 232.856136, 56.793361, 233.283537, 40.750077, 227.085154, 32.644618, 206.028889, 28.531038, 185.359707, 23.994838, 164.730040, 18.713716, 143.852270, 11.603682, 123.692134, 3.875928, 103.629751, 0.000000, 82.176816, 0.985916, 61.202365, 5.956210, 41.064583, 15.313413, 19.727034, 32.677971, 5.384084, 55.009094, 0.000000, 74.311512, 14.501314, 81.297150, 35.525007, 85.348939, 56.001013, 88.126351, 77.189788, 80.622239, 97.763579, 72.170936, 118.565527, 71.859870, 140.547163, 78.171971, 161.212060, 84.057396, 181.530340, 88.060934, 201.176106, 85.032175, 224.455792, 69.892633, 233.563362, 63.341978, 232.566203
Type02, L, 250, 65.434133, 252.933116, 73.473301, 253.600068, 88.493938, 242.756526, 89.200640, 218.778609, 84.195817, 197.523786, 76.169350, 175.318873, 71.640301, 153.463374, 70.519708, 130.252571, 80.712739, 108.306207, 89.762004, 86.016565, 87.646975, 63.305054, 83.027849, 41.287045, 78.789197, 18.094292, 58.494187, 0.000000, 33.805663, 5.367862, 15.989737, 23.603811, 6.502356, 45.851287, 0.000000, 67.900963, 1.047348, 90.275400, 6.493126, 111.455217, 12.829210, 133.328728, 19.926037, 156.673913, 26.088259, 177.899013, 30.567059, 201.742322, 34.156250, 223.268463, 41.191580, 246.180931, 58.194264, 255.012028, 65.363273, 252.126214
Type02, L, 260, 66.604908, 262.366076, 59.422147, 263.402911, 43.008730, 253.566297, 33.725256, 230.698821, 30.543729, 206.531642, 26.330747, 184.143992, 20.127843, 161.126643, 12.060250, 137.517521, 4.346107, 114.493472, 0.000000, 90.876871, 1.213528, 67.517905, 6.600942, 44.818998, 17.110022, 22.072049, 36.363639, 4.054105, 61.280334, 0.000000, 81.770628, 18.210563, 86.479985, 42.107528, 91.828509, 64.768269, 94.263229, 88.703483, 84.090303, 110.835237, 76.059342, 133.447486, 76.447597, 157.959369, 80.827867, 180.643327, 87.261185, 203.956985, 94.371633, 227.208969, 90.719138, 252.063017, 74.443114, 262.935727, 66.500833, 261.859077
Type02, L, 270, 68.868045, 272.755899, 60.732029, 273.653011, 42.819463, 264.695099, 34.492863, 240.115516, 31.059444, 215.695473, 24.405770, 191.393763, 18.637523, 167.547426, 12.134616, 143.829455, 4.721551, 120.746513, 0.000000, 96.483829, 0.790646, 71.633845, 7.357579, 47.693163, 19.375578, 24.394006, 38.137826, 4.555277, 65.212222, 0.000000, 85.417309, 20.105965, 90.258881, 44.939664, 94.668080, 68.160968, 97.660915, 94.129386, 85.168486, 117.171973, 77.195109, 141.232026, 79.464669, 165.829342, 84.190841, 190.172938, 91.642385, 213.005212, 97.204415, 237.023354, 94.591981, 263.094748, 75.933293, 273.586499, 69.231340, 272.055237
Type03, L, 230, 50.535406, 232.077588, 44.254741, 232.181751, 28.999722, 226.067437, 20.988841, 204.099740, 17.873624, 184.491592, 15.003864, 162.445548, 10.579986, 141.832930, 6.111296, 121.557235, 2.079190, 101.429691, 0.000000, 81.078639, 0.465648, 60.721595, 5.248978, 40.229309, 14.112644, 20.284180, 30.196123, 3.085770, 52.114272, 0.000000, 70.042735, 15.216368, 76.316724, 36.653923, 78.636200, 58.114132, 78.872080, 78.405931, 76.105624, 99.789640, 71.931485, 119.891314, 71.615093, 141.611333, 75.891654, 161.481411, 77.272723, 182.646633, 80.218887, 204.493103, 72.948769, 225.109059, 56.660314, 232.438223, 51.266689, 231.648860
Type03, L, 235, 53.632726, 237.423337, 47.122821, 238.074209, 31.333859, 233.275839, 21.287852, 212.291691, 18.213752, 191.540222, 15.874464, 169.938159, 12.245630, 148.986351, 7.088378, 127.995412, 2.787585, 107.116878, 0.000000, 85.644554, 0.913354, 64.247883, 4.450738, 42.808511, 13.292699, 22.857216, 28.109159, 4.699682, 50.939309, 0.000000, 69.640600, 15.744722, 77.175347, 36.636662, 79.732530, 57.562333, 80.328611, 79.221132, 78.377026, 100.557759, 75.793249, 121.915014, 75.139958, 143.876593, 76.520815, 166.140593, 78.453865, 186.629092, 81.195616, 207.292260, 75.739037, 228.721388, 60.888074, 238.014290, 53.716579, 237.019121
Type03, L, 245, 53.826901, 245.618131, 46.457488, 246.231218, 30.551604, 239.201129, 21.666714, 217.556715, 18.428487, 194.379110, 15.592795, 172.522523, 10.929177, 150.545006, 6.180679, 127.691130, 2.000770, 105.301260, 0.000000, 83.307393, 0.694489, 60.453065, 6.710789, 39.132114, 15.300678, 18.136430, 32.189305, 0.039116, 56.741915, 0.000000, 74.272038, 18.084515, 79.710713, 40.647512, 82.224567, 62.392154, 83.838918, 84.372821, 80.249939, 106.487676, 76.243839, 127.591591, 76.870769, 150.765395, 79.761281, 171.756308, 82.467720, 193.817209, 83.999204, 215.811429, 77.661754, 238.440540, 60.976185, 246.653326, 54.149509, 244.873603
Type03, L, 250, 52.383444, 250.915453, 45.567625, 251.424917, 28.141994, 244.115677, 20.706552, 221.461717, 17.658717, 199.356792, 14.203424, 176.118073, 10.429365, 153.059647, 6.295430, 130.365595, 2.921100, 108.283416, 0.000000, 84.610622, 0.020700, 63.224586, 5.044409, 39.987454, 15.080101, 18.530074, 33.436463, 0.000000, 57.272494, 0.588092, 75.382366, 20.071597, 80.192686, 42.399898, 83.979654, 65.744855, 83.374486, 86.916353, 80.792447, 109.641487, 78.592259, 131.953133, 79.772177, 153.733778, 79.989232, 175.631645, 80.951759, 198.876241, 82.891893, 220.389999, 77.060694, 243.564858, 59.338153, 251.873596, 53.352856, 250.279281
