type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28
Type04, L, 250, 61.868907, 251.576496, 54.857495, 252.307872, 37.899483, 245.317700, 26.397225, 223.100937, 24.621134, 199.253810, 20.732412, 175.796099, 15.297644, 153.882482, 9.366307, 131.788674, 3.945276, 109.712157, 0.000000, 86.634167, 0.919739, 63.134068, 8.223337, 41.618515, 16.542840, 18.425064, 35.779323, 1.900796, 59.464188, 0.000000, 79.416077, 16.301577, 87.974273, 39.166480, 90.888400, 61.386791, 89.090371, 84.327742, 85.711315, 106.237182, 83.181777, 129.603741, 83.963559, 152.187337, 87.549374, 176.206500, 88.679166, 196.585775, 91.263863, 220.297758, 85.964526, 242.872331, 68.782398, 252.445076, 62.039828, 250.758064
Type04, L, 260, 59.210512, 261.927354, 51.757436, 262.148410, 34.154620, 254.174818, 26.993121, 229.772273, 23.635301, 207.160839, 20.026125, 183.196704, 15.094645, 160.148649, 9.591034, 137.109945, 4.306129, 113.575574, 0.000000, 90.650791, 1.238730, 66.882449, 8.417583, 44.428508, 16.463325, 20.529141, 35.271674, 2.368090, 60.538020, 0.000000, 79.953775, 18.321457, 87.344374, 41.921599, 91.123125, 64.540042, 88.190007, 88.425273, 84.310436, 111.163120, 82.235065, 134.614806, 83.525347, 158.762751, 86.167705, 182.739256, 88.980864, 206.027403, 91.194879, 230.683131, 84.222153, 254.256896, 66.122726, 263.396437, 59.798115, 261.041681
Type04, L, 265, 59.695922, 266.880134, 52.651843, 267.694401, 34.213411, 261.179192, 25.821577, 236.260279, 22.462322, 212.565616, 19.555120, 187.944552, 14.706045, 164.220274, 9.457915, 140.591153, 4.362932, 117.040335, 0.000000, 93.523303, 0.280820, 69.208796, 7.343249, 46.275387, 14.841576, 22.270120, 32.843856, 2.291465, 59.172764, 0.000000, 80.036557, 17.982142, 86.203564, 42.974452, 91.331039, 65.303451, 88.991095, 89.735520, 85.961321, 112.588540, 84.007854, 137.215208, 84.407249, 160.658383, 87.053194, 184.407439, 89.941380, 208.636088, 90.660764, 232.736285, 85.410413, 258.490049, 67.843034, 267.869931, 60.021376, 266.157015
Type04, L, 270, 63.633932, 272.637768, 55.935110, 273.777099, 36.898965, 266.539096, 28.175807, 242.321612, 24.907369, 218.153233, 20.641125, 193.711708, 16.163705, 169.515185, 10.752868, 145.470934, 5.664584, 120.784954, 0.000000, 96.241545, 3.387046, 72.504736, 7.487405, 47.996406, 16.852828, 23.979149, 35.868965, 3.990336, 62.560969, 0.000000, 82.981923, 18.546131, 90.115629, 42.949405, 93.989791, 67.048081, 90.169401, 91.664711, 86.977543, 116.016039, 85.267166, 139.094940, 85.843159, 164.339994, 88.989121, 187.888340, 92.337350, 212.612474, 93.074167, 236.684915, 88.511535, 261.070017, 72.210445, 273.734594, 63.573233, 271.660474
Type04, L, 280, 64.130046, 282.926215, 55.860375, 283.821889, 36.629588, 277.092109, 27.073862, 251.256283, 23.001443, 226.011237, 19.741895, 200.641885, 14.451381, 175.511016, 9.203293, 151.049272, 4.266754, 126.918863, 0.154801, 101.341807, 0.000000, 75.126791, 7.467011, 50.980818, 15.540508, 25.652692, 34.051506, 4.551516, 61.988596, 0.000000, 83.484511, 19.275315, 91.907363, 44.761084, 94.823090, 68.708569, 92.829471, 94.804755, 89.918246, 118.977802, 87.198657, 144.786956, 87.315631, 169.261829, 90.001870, 195.609630, 93.183069, 219.654921, 94.640187, 246.068029, 90.646285, 271.861485, 73.179776, 283.211459, 64.263544, 282.376425
Type05, L, 240, 55.686002, 242.457131, 48.818488, 243.051235, 32.437366, 236.142576, 25.126737, 214.002323, 21.383976, 192.748838, 19.687530, 169.550159, 16.887473, 147.649844, 9.506576, 126.985528, 1.757700, 106.646404, 0.000000, 83.932799, 3.664839, 62.309118, 10.381197, 41.209851, 20.676667, 19.892192, 36.735875, 3.570085, 62.974497, 0.000000, 75.633264, 20.777164, 81.439969, 41.798173, 85.571405, 62.232614, 80.931061, 84.306546, 74.257613, 105.415180, 70.070400, 127.190089, 72.832780, 148.577429, 77.030541, 169.544200, 82.934744, 191.103125, 85.132884, 211.999680, 78.389673, 235.044101, 62.501594, 242.670260, 55.994092, 242.188108
Type05, L, 260, 58.865543, 261.434874, 51.511825, 262.452582, 35.542068, 251.639794, 29.303448, 228.980902, 24.858580, 205.179603, 23.306741, 181.630503, 19.514267, 158.522446, 11.967288, 134.883869, 4.190536, 113.374050, 0.000000, 88.739811, 2.219586, 66.397919, 9.360417, 43.751929, 18.236986, 20.355956, 35.133329, 1.247513, 61.472697, 0.000000, 77.945781, 20.629048, 83.227901, 44.097173, 89.135488, 67.449628, 86.643527, 91.773953, 81.127290, 114.372256, 75.514726, 136.668775, 76.064101, 160.406854, 80.821811, 183.991969, 86.082720, 206.521239, 89.246207, 228.989809, 83.683514, 253.062842, 66.939234, 262.611890, 58.780610, 260.885587
Type05, L, 280, 64.656128, 283.408760, 72.717350, 283.789762, 90.926102, 271.936427, 94.428803, 246.082199, 90.122216, 221.516350, 85.305091, 196.566139, 79.896240, 172.355919, 79.448520, 146.550360, 85.104276, 121.610604, 92.596857, 97.690108, 94.228136, 71.535830, 86.769597, 46.881634, 83.247179, 22.129830, 63.894742, 0.000000, 34.726237, 5.167560, 17.823259, 27.320136, 8.407533, 52.175668, 1.633457, 76.590405, 0.000000, 102.515462, 4.540167, 127.433112, 12.937618, 150.941423, 20.126644, 176.016460, 24.382716, 201.632501, 26.771774, 226.032490, 29.844758, 249.171061, 38.343560, 275.282394, 56.741608, 284.646992, 64.535907, 283.005393
Type05, L, 290, 68.453965, 292.697048, 60.733433, 294.216215, 41.331597, 285.075780, 32.198837, 258.573900, 27.215743, 233.491563, 24.345971, 206.975141, 21.008478, 180.820939, 13.487612, 155.716383, 4.409053, 129.213702, 0.000000, 104.598636, 1.752404, 77.226202, 9.024736, 52.499824, 17.870308, 26.790422, 36.597733, 4.301651, 64.970425, 0.000000, 86.489521, 21.642757, 91.535298, 47.362567, 98.229458, 73.187279, 98.017319, 98.977137, 89.935164, 124.699434, 83.273099, 149.142785, 83.322507, 178.267812, 88.891875, 203.455398, 95.041450, 228.912358, 99.048662, 255.232079, 95.932941, 281.810759, 76.767852, 293.301218, 68.368771, 292.094568
Type06, L, 230, 52.349478, 230.634010, 45.726686, 230.735192, 30.815905, 222.674758, 22.830593, 202.562559, 20.430424, 181.553383, 17.812535, 161.297971, 12.792571, 140.565879, 7.644701, 120.176310, 2.874618, 99.804981, 0.000000, 78.843873, 1.445899, 57.710169, 6.911216, 37.251391, 15.119054, 16.570473, 31.942172, 0.000000, 55.303827, 0.125033, 71.029395, 17.736061, 76.617959, 37.833020, 80.966922, 57.940923, 80.427299, 79.281760, 78.315350, 99.143709, 75.631766, 120.327942, 74.732313, 141.002102, 77.250823, 162.345525, 79.875238, 182.656057, 81.493930, 202.996445, 75.507567, 225.173459, 58.426155, 231.039661, 52.795582, 230.356742
Type06, L, 240, 54.530537, 242.926636, 47.268185, 242.910189, 31.772516, 235.635017, 24.423121, 213.462996, 20.292842, 192.843133, 17.137572, 171.389348, 12.877948, 149.512215, 8.122976, 130.135582, 2.160092, 108.146666, 0.000000, 86.622291, 1.252556, 66.400790, 6.357928, 45.436749, 13.843656, 24.196277, 28.579107, 5.292920, 52.428918, 0.000000, 71.177769, 16.631344, 78.427824, 38.010049, 82.148349, 58.958357, 81.950868, 81.094722, 79.752853, 102.708233, 76.572139, 125.027589, 76.150588, 146.984212, 78.233008, 168.695983, 81.131498, 191.066353, 83.038226, 212.569514, 76.470784, 234.823858, 61.197629, 243.608474, 54.764838, 242.279909
Type06, L, 250, 55.530522, 251.761817, 48.068611, 252.421877, 32.968352, 243.707418, 22.831337, 221.915451, 19.705612, 199.603995, 17.056369, 177.099190, 12.145052, 153.749547, 7.231750, 133.058794, 2.273616, 110.141375, 0.000000, 88.142474, 0.909166, 65.752260, 6.334730, 43.320871, 15.606886, 21.976741, 31.897143, 2.167739, 57.402008, 0.000000, 74.118017, 19.567347, 80.880389, 41.249694, 84.558593, 64.660596, 85.709699, 86.190417, 82.036207, 109.311377, 79.699073, 130.827766, 80.077701, 154.352850, 81.571642, 176.295645, 83.965117, 199.400000, 86.157462, 221.878732, 79.788986, 244.322251, 62.425399, 252.653435, 55.739403, 251.140514
Type06, L, 270, 61.615447, 272.852503, 54.433400, 274.020664, 35.383529, 266.387296, 26.856281, 242.560380, 23.171838, 219.162068, 19.830295, 194.606587, 16.236777, 170.880908, 9.887290, 146.355350, 3.389465, 123.216782, 0.000000, 98.040019, 1.687235, 73.638139, 7.622239, 50.105567, 15.479787, 26.258292, 32.539772, 4.712029, 59.804202, 0.000000, 78.947069, 20.601550, 86.760383, 44.000511, 90.541248, 69.077346, 89.843402, 94.457399, 86.960532, 118.004856, 83.786641, 141.781609, 82.977435, 165.690436, 85.663335, 190.487820, 88.721166, 214.283274, 91.112108, 237.259515, 86.341574, 262.344121, 69.419929, 273.324867, 61.834938, 272.239664
Type06, L, 280, 64.917940, 283.487351, 57.817120, 284.237295, 37.841607, 277.746126, 27.294445, 252.446807, 24.355041, 228.051778, 21.370003, 202.497796, 17.423247, 177.632517, 11.481464, 153.497627, 4.589379, 127.691771, 0.000000, 103.371003, 2.735924, 77.594301, 7.723214, 53.195324, 15.178681, 29.411202, 32.358720, 6.687540, 59.958272, 0.000000, 81.575638, 21.299307, 89.570415, 45.449632, 93.300185, 69.663070, 94.131000, 95.160801, 91.435672, 119.629985, 87.487435, 145.756833, 86.956276, 169.952988, 89.155182, 195.117305, 91.906122, 220.615169, 94.691784, 245.679062, 90.715164, 271.642679, 74.001488, 284.010838, 65.062728, 282.947509
Type07, L, 250, 59.692473, 253.122100, 53.008425, 253.477540, 34.894315, 247.989141, 26.069690, 225.085760, 21.990559, 203.254283, 18.772799, 180.415887, 15.320486, 157.693322, 9.236141, 136.377407, 3.664683, 114.883233, 0.000000, 92.379386, 1.210046, 69.483691, 7.794074, 47.748246, 17.332468, 25.928846, 33.119341, 6.066074, 57.013737, 0.000000, 77.703794, 15.416658, 84.356586, 39.331596, 85.612925, 59.643745, 87.328820, 84.166500, 83.415296, 105.515398, 82.876454, 127.931556, 83.601034, 153.676131, 83.455600, 173.930505, 85.052139, 196.701723, 87.525307, 219.831829, 83.217818, 242.916458, 67.451636, 253.933644, 60.266026, 252.357444
Type07, L, 270, 62.600582, 273.276190, 55.224104, 274.415087, 37.491323, 266.677075, 27.002213, 241.876469, 25.011991, 217.731253, 21.593355, 194.396775, 16.702247, 169.610719, 11.198460, 146.005044, 5.399367, 122.648784, 0.000000, 97.566307, 2.377745, 73.226358, 10.344395, 50.187115, 19.878640, 26.412207, 37.077937, 5.699212, 64.242971, 0.000000, 84.834236, 17.832886, 88.675209, 43.394782, 93.154285, 67.427776, 90.861895, 91.176258, 89.955697, 115.600856, 89.255659, 139.831746, 89.764746, 164.763667, 90.936456, 189.598162, 91.783504, 212.961310, 92.554751, 238.409434, 88.442083, 262.847616, 70.167988, 274.087563, 63.419104, 272.399338
Type07, L, 280, 63.532763, 283.299400, 56.329222, 283.965827, 36.652582, 276.368673, 27.610829, 251.359395, 25.327156, 226.022326, 21.815752, 200.678961, 16.948075, 175.883182, 11.456326, 150.764621, 5.545755, 126.273355, 0.000000, 101.524162, 2.553420, 75.688493, 10.728177, 51.934970, 19.120511, 26.271290, 37.816191, 5.585997, 65.030250, 0.000000, 85.801869, 19.793037, 91.825959, 45.763620, 94.994762, 70.456710, 93.312802, 95.568603, 90.597933, 120.296248, 89.113420, 145.508034, 88.051762, 170.859379, 89.628705, 197.137722, 93.308774, 222.526312, 94.983758, 247.398056, 90.547191, 273.673374, 72.300035, 284.787510, 63.686895, 282.408201
