type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41
Type01, L, 280, 58.793980, 281.238777, 53.166552, 281.162647, 41.772349, 279.498584, 28.328007, 265.858670, 24.276741, 249.098374, 21.229245, 232.887715, 19.037267, 215.573243, 16.443450, 199.704478, 13.801103, 183.041610, 10.520642, 166.100967, 7.471541, 150.352616, 4.070487, 133.542648, 1.350653, 117.651615, 0.000000, 100.443713, 0.335244, 84.145584, 2.861587, 68.042144, 6.781293, 52.448631, 12.747621, 36.869333, 20.499118, 21.278934, 32.484354, 7.192137, 49.005229, 0.000000, 66.192797, 2.216635, 79.751545, 15.669296, 85.291731, 31.312013, 88.212705, 47.842481, 90.372562, 64.028159, 90.556887, 80.230256, 88.636040, 97.297499, 87.402000, 113.061123, 86.489394, 130.167036, 86.927329, 146.849093, 88.121964, 163.186147, 90.554798, 179.857155, 90.317640, 195.360697, 89.119164, 212.520884, 89.286910, 229.575527, 88.853713, 246.066519, 86.403392, 261.384755, 76.168642, 277.646404, 64.152581, 280.548114, 59.285267, 280.962644
Type01, L, 290, 59.852287, 291.197165, 54.181133, 291.298239, 42.548634, 289.194822, 28.841678, 274.836692, 24.797371, 257.656325, 22.660802, 241.184248, 19.287885, 223.607151, 17.226985, 207.279027, 14.967772, 189.852018, 12.681118, 173.020676, 9.053231, 156.509308, 5.349657, 138.938005, 1.934209, 121.612766, 0.105603, 104.751621, 0.000000, 86.960186, 2.357338, 69.996669, 6.647150, 53.086178, 13.244638, 36.532772, 21.691377, 20.936995, 34.023557, 6.758016, 51.054639, 0.000000, 68.171344, 2.289720, 82.203425, 16.249169, 87.520471, 32.716524, 90.952806, 49.899648, 94.038783, 66.246338, 93.795840, 84.260011, 91.956638, 101.702920, 91.315270, 116.902164, 91.416271, 135.274802, 91.931100, 152.544940, 92.836760, 169.847313, 93.407799, 186.190158, 93.965494, 203.701852, 93.762107, 221.049703, 92.978526, 236.891190, 91.047608, 254.484544, 88.232491, 271.290140, 78.197177, 287.399796, 64.988956, 290.711460, 60.601860, 291.007866
Type02, L, 230, 62.712227, 230.461053, 58.462259, 230.108803, 48.557625, 228.622813, 37.465243, 217.563651, 32.752555, 204.143785, 29.528421, 190.518377, 26.711521, 176.731532, 23.703406, 163.263193, 20.369876, 149.657825, 16.288680, 135.820501, 11.750779, 122.946190, 6.494020, 109.333117, 2.569294, 96.207206, 0.063868, 81.711530, 0.000000, 68.164367, 1.537233, 54.444161, 5.020796, 40.921898, 10.219704, 27.504301, 18.105093, 14.591720, 29.697318, 4.994842, 43.189951, 0.317574, 57.514540, 0.000000, 70.281896, 9.061563, 76.937979, 22.418849, 81.682677, 35.278080, 83.516695, 49.151868, 86.617576, 63.170385, 86.290488, 76.564910, 81.812373, 90.433518, 76.762813, 104.019191, 71.895324, 117.641074, 71.442402, 132.462739, 73.877385, 145.934450, 77.885924, 159.828676, 81.943827, 173.158007, 85.078431, 186.039646, 86.977145, 199.730799, 85.594753, 214.208118, 77.076174, 227.424342, 66.872379, 230.337786, 63.110767, 230.417150
Type02, L, 250, 65.400553, 250.762104, 70.006174, 250.615529, 81.363573, 247.098615, 88.425745, 232.295782, 88.546638, 217.699950, 86.088028, 202.688836, 81.563326, 189.054891, 76.560687, 173.986462, 73.391339, 159.921139, 70.924013, 144.958663, 71.047747, 129.847648, 76.214078, 115.211803, 82.588345, 100.801419, 88.271682, 85.801692, 88.562842, 71.445532, 86.273811, 56.171041, 83.832720, 41.791965, 80.304213, 26.929272, 74.959326, 12.319621, 61.397209, 1.133411, 45.746585, 0.000000, 31.182568, 6.236959, 19.076890, 17.918229, 11.258412, 31.862129, 5.492163, 46.450449, 1.390856, 60.784191, 0.000000, 75.825038, 1.736938, 89.996055, 4.977263, 104.149730, 8.935587, 118.349209, 13.315333, 132.989589, 17.769107, 148.028720, 22.316408, 162.908733, 25.927219, 176.994273, 29.205177, 192.310020, 31.587560, 207.573580, 34.506362, 221.714761, 38.658920, 236.129372, 49.513930, 249.774947, 60.717451, 250.794877, 64.962545, 250.887107
Type02, L, 260, 65.933202, 261.137205, 61.374142, 261.310440, 50.635840, 258.177847, 39.299689, 244.695471, 33.840092, 229.825195, 30.970747, 214.284658, 28.754783, 198.511170, 25.734466, 183.854181, 22.012902, 169.144599, 17.335666, 153.241288, 12.072552, 138.225846, 6.926237, 122.806233, 2.677221, 107.385139, 0.000047, 92.329605, 0.000000, 76.194009, 1.668399, 61.701582, 5.461575, 46.301397, 11.326475, 31.469313, 20.144645, 17.379699, 32.799178, 6.069587, 48.217403, 0.000000, 63.632722, 2.244906, 77.368268, 13.458912, 83.238859, 28.116241, 86.773182, 43.777868, 89.851180, 58.498257, 92.588037, 74.295656, 91.832737, 89.448253, 86.228159, 104.344997, 79.623610, 118.892069, 76.088579, 134.194260, 75.620358, 150.029363, 77.439002, 165.691481, 80.681756, 180.421663, 84.753921, 195.960425, 89.293407, 210.989381, 92.836067, 226.878063, 91.385037, 242.398061, 81.986993, 257.335155, 70.932763, 260.676388, 65.956769, 261.118336
Type02, L, 270, 68.734326, 270.939297, 63.407108, 270.851379, 51.749307, 268.403409, 39.912796, 254.515474, 34.872029, 238.949363, 32.334625, 222.755341, 28.805520, 206.541231, 24.808989, 190.842054, 20.689312, 174.916981, 16.787466, 159.254388, 12.548479, 143.982967, 7.558088, 128.140391, 3.509500, 113.352697, 0.661904, 96.795715, 0.000000, 80.906739, 2.240419, 64.523559, 6.432822, 48.973704, 13.491742, 33.299824, 22.608148, 18.927033, 35.527489, 5.930549, 51.186780, 0.000000, 68.229637, 1.667229, 81.532494, 14.495244, 87.322946, 29.870518, 91.099147, 45.971230, 93.183758, 61.265605, 96.386798, 77.878058, 95.232906, 94.379240, 88.454934, 109.822349, 81.142340, 125.222798, 77.990771, 141.315839, 78.605329, 157.265786, 81.126946, 173.543236, 84.632334, 189.322585, 89.311589, 204.317781, 93.649379, 219.923591, 96.360899, 235.950587, 95.395372, 252.543733, 85.227017, 267.509054, 73.033624, 270.600118, 69.491551, 270.657195
Type03, L, 230, 50.373655, 230.979233, 46.346102, 230.535913, 36.614416, 228.816802, 26.116732, 217.557084, 21.589596, 203.868594, 18.631137, 190.344995, 17.075439, 176.959735, 14.804937, 162.534230, 12.243617, 148.609626, 9.224150, 135.336323, 6.364176, 122.093801, 3.579915, 108.382400, 1.448775, 95.721410, 0.190531, 81.775152, 0.000000, 68.736083, 1.419051, 55.145927, 4.520647, 41.733307, 9.726102, 28.484594, 17.015114, 15.953193, 27.541452, 4.881469, 41.193091, 0.000000, 54.411947, 1.676075, 66.774084, 11.087342, 72.700864, 24.359987, 76.523832, 38.009541, 77.984027, 52.575576, 78.536826, 65.853257, 78.406759, 79.499540, 76.593764, 93.594955, 74.123342, 106.897362, 72.071509, 120.590722, 71.352291, 134.588425, 73.364673, 148.302838, 75.371730, 161.425396, 77.017673, 175.324452, 78.107371, 189.410149, 79.006562, 203.916153, 75.691287, 217.041063, 63.730390, 228.549035, 55.433313, 230.418605, 50.184818, 231.034485
Type03, L, 235, 53.287140, 235.926555, 48.729080, 235.783375, 39.264831, 234.958798, 27.388472, 224.723629, 21.770407, 211.346221, 18.863399, 197.569355, 17.064780, 183.638489, 15.544994, 169.456859, 13.257167, 155.674189, 10.502586, 141.869211, 7.030697, 127.833483, 4.271261, 114.584980, 1.592077, 100.178885, 0.092645, 86.303474, 0.000000, 72.332493, 1.210869, 57.906631, 3.836313, 44.239356, 8.447705, 30.517114, 15.726683, 17.881611, 25.607533, 6.491092, 38.907465, 0.000000, 53.522744, 1.665177, 65.516557, 11.044587, 73.008781, 24.088091, 76.903931, 37.745547, 78.759943, 51.462659, 79.638521, 65.751995, 79.571016, 79.679253, 78.462837, 94.022578, 76.808909, 107.817459, 75.462291, 122.051137, 74.837284, 136.573015, 75.301595, 150.910287, 76.133235, 165.576631, 77.602086, 179.070079, 78.985300, 192.552548, 80.050998, 206.380365, 77.211558, 220.162746, 67.784039, 232.407088, 58.045408, 236.043013, 53.203729, 235.424951
Type03, L, 245, 53.652110, 246.178196, 48.490194, 245.666842, 38.700557, 244.380678, 27.027719, 232.122779, 22.434143, 218.707742, 18.975162, 203.119081, 17.590307, 188.397844, 15.317266, 174.120467, 12.448468, 159.397439, 9.534481, 145.041788, 6.253790, 129.776294, 3.501328, 115.061578, 1.262971, 100.526061, 0.082453, 85.788497, 0.000000, 71.185188, 1.852920, 56.218775, 5.568759, 42.280481, 11.061447, 28.494740, 18.186514, 15.081103, 29.315322, 3.708916, 44.453130, 0.000000, 58.856224, 3.506743, 70.761776, 15.363537, 76.670297, 28.880898, 79.734860, 43.854559, 81.370426, 58.384497, 82.821771, 72.237195, 82.906510, 87.295135, 80.969891, 101.520805, 78.165419, 115.665660, 76.302043, 129.940932, 76.472890, 144.955646, 77.652413, 159.376952, 79.705464, 173.503216, 81.373719, 187.470399, 82.928282, 202.522461, 82.836191, 216.785178, 79.742954, 231.289421, 68.739937, 244.115229, 58.497933, 245.663197, 53.704489, 246.073498
Type03, L, 250, 52.591474, 251.274119, 47.764626, 250.944289, 37.471244, 248.999825, 25.506314, 236.877174, 21.470068, 222.224815, 18.880603, 208.021711, 16.691992, 192.455661, 14.513602, 177.804822, 12.033668, 162.202737, 9.457808, 147.427218, 6.693936, 132.155535, 4.554835, 118.056686, 2.221110, 102.673488, 0.599983, 87.391422, 0.000000, 73.098579, 1.286759, 58.419834, 4.521266, 43.267957, 10.502870, 28.950408, 18.424005, 15.237984, 31.046973, 3.631179, 45.281236, 0.000000, 60.006297, 4.508508, 72.426123, 16.310233, 77.312254, 31.287384, 81.152270, 45.326675, 83.184330, 61.172794, 83.775266, 75.346022, 83.140157, 89.721680, 81.707361, 104.137387, 79.664696, 119.568902, 79.131572, 133.681570, 79.545302, 148.144447, 79.883928, 162.680631, 80.282123, 177.144688, 80.692851, 192.145736, 81.917168, 207.189917, 82.132758, 221.379023, 79.309633, 235.963704, 68.038353, 249.329675, 57.322603, 250.562895, 53.453300, 251.577681
