Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,11.91060,10.96975,3.23296,1.02018,5.54323,0.79483,0.46538,353.21562,0.95204,0.97539,0.00000
PCA_KRR,2,11.63380,10.75413,2.48974,0.72610,6.05488,1.19701,0.48703,334.37079,0.96585,0.98260,0.00000
PCA_KRR,3,11.44552,10.53687,2.34729,0.62075,7.23458,1.19369,0.73354,323.26450,0.96959,0.98456,0.00000
PCA_KRR,4,12.02906,11.14269,2.71497,0.50219,6.32762,1.09723,0.19852,339.04788,0.97870,0.98924,0.00000
PCA_LINEAR,1,12.28710,11.34136,5.62756,1.89093,4.05390,0.76790,0.35447,568.95384,0.92046,0.95843,0.00000
PCA_LINEAR,2,11.99432,11.10675,7.55507,2.21563,18.41767,1.93811,5.42515,791.92855,0.91191,0.95379,0.00000
PCA_LINEAR,3,9.34676,8.37371,11.18486,2.80639,38.06729,2.47117,11.18486,1037.14247,0.89507,0.94461,0.00000
PCA_LINEAR,4,22.31008,22.08608,20.61172,4.88600,54.11192,3.89947,20.55152,1843.88855,0.84438,0.91557,0.00000
PCA_SVR,1,11.92945,10.99800,3.27796,1.01380,5.79425,0.75716,1.07776,339.69767,0.95367,0.97623,0.00000
PCA_SVR,2,11.66190,10.80384,2.58995,0.67054,5.94640,1.11452,1.05366,318.01002,0.97030,0.98491,0.00000
PCA_SVR,3,11.09812,10.20783,3.96643,0.97427,9.86161,1.12470,1.49457,429.00595,0.95891,0.97892,0.00000
PCA_SVR,4,12.25838,11.43882,2.67347,0.61447,4.69172,0.97476,1.53252,283.04590,0.97432,0.98699,0.00000
PURE_GPR,1,11.84239,10.89183,3.16616,1.04989,5.66515,0.76657,0.34638,340.80662,0.95063,0.97465,0.00000
PURE_GPR,2,11.65050,10.77309,2.56393,0.78220,6.11101,1.18825,0.45988,343.56534,0.96482,0.98207,0.00000
PURE_GPR,3,11.36668,10.44978,2.30644,0.65182,7.26160,1.20853,0.45783,325.44735,0.96895,0.98422,0.00000
PURE_GPR,4,12.02360,11.13444,2.71294,0.47588,6.32822,1.09818,0.04513,339.50424,0.97974,0.98976,0.00000
PURE_KRR,1,11.80190,10.85501,3.14127,1.01431,5.59661,0.75724,0.43909,340.47270,0.95192,0.97533,0.00000
PURE_KRR,2,11.62485,10.74577,2.47858,0.70259,6.04974,1.19432,0.38095,333.58101,0.96657,0.98298,0.00000
PURE_KRR,3,11.46128,10.54890,2.35928,0.60328,7.22859,1.18409,0.62606,321.39500,0.97072,0.98514,0.00000
PURE_KRR,4,12.02628,11.13920,2.71588,0.48901,6.31219,1.09736,0.17132,339.37254,0.97939,0.98959,0.00000
PURE_SVR,1,11.98016,10.99384,3.17123,1.01378,5.77261,0.79198,0.49856,358.15089,0.95324,0.97599,0.00000
PURE_SVR,2,11.58518,10.70498,2.61509,0.70721,6.22144,1.24842,0.34607,386.89439,0.96855,0.98399,0.00000
PURE_SVR,3,11.45569,10.57485,2.26222,0.56289,6.49677,1.21563,0.39566,320.16741,0.97176,0.98568,0.00000
PURE_SVR,4,12.02331,11.13610,2.71279,0.49453,6.22685,1.15922,0.09267,337.53679,0.97882,0.98929,0.00000
RATIO_CTRL,1,3.65446,3.34375,4.69192,1.74351,3.27694,3.08843,0.39788,563.98328,0.93489,0.96625,0.00000
RATIO_CTRL,2,2.91601,2.59033,4.86788,1.78787,4.20516,3.06112,0.41887,665.02330,0.93661,0.96703,0.00000
RATIO_CTRL,3,4.61096,3.81437,7.51029,3.11437,6.92651,5.86691,1.05438,1324.06867,0.89191,0.94286,0.00000
RATIO_CTRL,4,1.50177,1.39975,2.19273,0.82761,1.60890,1.41900,0.13081,415.85040,0.96479,0.98190,0.00000
