type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27
Type04, L, 270, 63.548478, 273.808001, 55.490437, 275.117132, 35.715305, 266.924164, 27.851768, 241.503068, 24.247007, 216.274656, 19.968411, 190.900109, 14.842257, 165.644615, 9.630581, 140.668394, 3.454251, 114.620778, 0.000000, 89.612740, 5.114984, 64.511774, 9.832614, 39.114669, 24.379135, 14.804545, 48.329117, 0.000000, 76.073602, 8.912917, 87.539509, 34.295429, 93.445101, 59.013344, 91.786073, 84.665330, 87.484397, 110.300552, 85.511817, 134.374769, 85.294242, 160.261134, 88.297729, 185.271476, 91.953962, 210.569306, 93.115348, 236.031755, 89.112562, 261.122956, 72.662224, 275.074623, 63.373051, 272.801812
Type04, L, 280, 64.999346, 283.615066, 56.244981, 284.685348, 36.506244, 277.016496, 27.431464, 249.781622, 23.479217, 223.609346, 19.852397, 197.096163, 14.159851, 171.112940, 8.751189, 145.696129, 3.826482, 120.480125, 0.000000, 93.157790, 3.063022, 66.588050, 11.448734, 41.481524, 22.731618, 15.119730, 48.545839, 0.000000, 76.535490, 8.279058, 90.300667, 35.745419, 95.283330, 59.744133, 94.667909, 87.286662, 91.606706, 112.339438, 88.567792, 139.269781, 87.768101, 164.682320, 90.335129, 192.066183, 93.675932, 217.352751, 95.539050, 244.449180, 92.217278, 271.760205, 74.597352, 283.875967, 64.983907, 283.145889
Type05, L, 240, 55.270680, 243.791466, 47.980133, 244.508234, 31.197377, 236.746018, 24.318223, 213.548549, 20.579173, 191.335574, 19.034782, 167.072819, 15.375012, 144.587371, 6.795690, 123.389521, 0.000000, 101.559058, 0.261390, 77.834452, 5.378982, 55.840375, 13.723044, 33.471822, 26.225862, 12.824812, 49.000598, 0.000000, 72.468150, 10.403253, 77.666008, 35.531943, 85.171874, 55.204671, 82.375145, 78.598501, 75.944870, 100.498132, 69.773636, 123.111065, 71.575656, 145.549657, 75.739513, 167.354699, 81.829183, 189.805499, 84.922037, 211.526247, 78.731002, 235.551671, 62.483805, 244.173593, 55.462874, 243.454302
Type05, L, 260, 58.894499, 264.012749, 51.033785, 265.156480, 34.859047, 253.255163, 28.895418, 229.787217, 24.445350, 204.614351, 23.076683, 180.600943, 18.134182, 155.929037, 9.957867, 132.234427, 2.244283, 108.927783, 0.000000, 83.644507, 4.375495, 60.561046, 12.849886, 36.823878, 24.115258, 12.596324, 47.985607, 0.000000, 73.112439, 11.687565, 80.822714, 37.668128, 87.707931, 60.655065, 88.260078, 86.728204, 82.858123, 110.269660, 76.507800, 133.821691, 75.266235, 157.746828, 79.965425, 182.964598, 85.441201, 206.201955, 89.294578, 229.739209, 84.500318, 254.658412, 67.387403, 265.405416, 58.699538, 263.395187
Type05, L, 280, 64.851967, 284.533192, 73.336334, 285.000212, 92.090229, 272.013096, 94.394347, 245.189003, 89.803764, 219.475206, 84.556862, 193.743991, 79.329587, 168.175822, 80.564282, 141.371500, 87.496263, 115.626575, 94.761185, 90.699597, 91.933800, 62.515355, 85.357986, 38.825614, 78.064912, 10.465657, 48.571117, 0.000000, 23.967159, 17.200791, 12.248131, 43.172658, 3.823320, 68.392901, 0.000000, 94.923799, 2.754872, 121.652397, 10.965255, 146.042253, 19.162810, 171.873210, 24.069009, 198.487568, 26.710694, 224.349313, 29.649309, 248.184951, 37.654663, 275.502467, 56.463412, 285.907042, 64.840570, 284.111688
Type05, L, 290, 68.711263, 294.264863, 60.508693, 295.938267, 40.590057, 285.721185, 31.964083, 258.000289, 26.903226, 231.905410, 24.224427, 204.047690, 20.114037, 177.245308, 11.328435, 150.672354, 2.627866, 123.547783, 0.000000, 97.360072, 4.272412, 69.027944, 12.534085, 43.817482, 24.749709, 16.701676, 50.422532, 0.000000, 79.548801, 10.880933, 90.381452, 38.813387, 95.779505, 64.749190, 99.917398, 92.094642, 92.641487, 118.958531, 84.657069, 144.258164, 82.752833, 173.787136, 88.092275, 201.155662, 94.561054, 227.119273, 99.174668, 254.658667, 96.972658, 282.367022, 77.586644, 294.978314, 68.450596, 293.647595
Type06, L, 230, 52.549708, 233.469288, 45.561986, 233.637098, 30.212955, 224.791744, 22.644389, 203.719655, 20.410590, 181.759172, 17.325882, 160.818586, 11.855590, 139.055625, 6.578410, 117.992505, 1.884920, 96.631406, 0.000000, 74.589252, 3.388536, 52.819085, 9.832022, 31.573636, 21.590131, 10.396661, 43.642471, 0.000000, 66.101053, 10.996567, 74.749325, 32.831091, 80.040904, 52.671277, 81.201718, 75.460801, 79.212130, 95.907877, 76.419366, 118.037662, 74.771574, 139.406726, 76.855273, 161.722797, 79.843827, 183.028285, 81.671474, 204.007625, 76.667273, 227.318638, 58.919742, 234.033714, 52.950704, 233.132494
Type06, L, 240, 54.498108, 243.176614, 46.790724, 243.221446, 30.993166, 235.187138, 23.932020, 211.858398, 19.843506, 190.596919, 16.426902, 167.868937, 11.959098, 145.621510, 6.539033, 125.265278, 0.890478, 101.833987, 0.000000, 80.158785, 2.598528, 58.870592, 9.097715, 36.915056, 18.968910, 14.900898, 39.835179, 0.000000, 64.445943, 6.878297, 76.136425, 30.038579, 81.163107, 50.784339, 82.318340, 74.327240, 80.541239, 96.369682, 77.166986, 119.905335, 75.828511, 142.558300, 77.754188, 165.427257, 80.674974, 188.451698, 83.112698, 211.124196, 77.237827, 234.149082, 61.496293, 244.052019, 54.653449, 242.448765
Type06, L, 250, 55.658930, 254.344798, 47.803821, 255.063961, 32.273415, 245.528508, 22.379820, 222.653155, 19.637335, 199.415491, 16.448718, 175.816709, 11.246412, 151.752360, 6.020831, 130.370295, 1.320433, 105.885432, 0.000000, 83.682562, 2.381436, 59.539932, 9.902765, 37.228927, 21.569097, 14.477210, 44.464911, 0.000000, 68.755103, 11.652925, 78.648770, 34.980554, 83.664322, 58.332364, 85.914215, 81.762418, 83.563883, 105.036511, 79.887727, 128.139911, 80.049212, 151.883636, 81.325871, 175.407396, 83.731794, 198.930922, 86.314267, 222.743186, 80.844036, 245.977466, 62.916902, 255.456984, 55.797341, 253.622293
Type06, L, 270, 61.652603, 274.193845, 54.061185, 275.572593, 34.381643, 266.868959, 26.560235, 242.057592, 22.687027, 217.421901, 19.408093, 192.086981, 15.152277, 167.087774, 8.191445, 141.930578, 1.846302, 117.471968, 0.000000, 91.075872, 3.463596, 66.114883, 10.638949, 41.703332, 21.213534, 16.770713, 45.966485, 0.000000, 72.287803, 10.319726, 84.282855, 36.246863, 89.693284, 60.301061, 90.561385, 87.953652, 87.899188, 112.360986, 84.522741, 137.322011, 82.736985, 161.928146, 85.144276, 187.790615, 88.372478, 212.785678, 91.110609, 236.629021, 87.204262, 262.736816, 69.881694, 274.779717, 61.782182, 273.587518
Type06, L, 280, 64.912665, 284.191347, 57.468426, 285.145913, 36.654056, 277.663024, 26.923286, 251.104406, 23.977332, 225.695856, 20.848551, 198.915253, 16.359165, 173.503989, 9.790122, 147.732123, 2.664108, 121.344235, 0.000000, 95.615225, 4.705602, 68.910539, 9.968295, 44.101489, 21.352122, 19.169126, 45.375475, 0.000000, 73.914812, 9.889972, 87.271871, 36.866374, 92.214555, 60.749502, 94.270458, 87.678388, 92.595579, 113.065416, 88.231864, 139.982850, 86.676368, 165.819139, 88.714550, 191.445856, 91.522707, 218.303969, 94.592403, 244.232469, 91.528794, 271.414871, 74.456973, 284.745098, 65.005933, 283.714321
Type07, L, 250, 60.026797, 252.856126, 52.999057, 253.327020, 34.203536, 247.099709, 26.061616, 222.864401, 21.766841, 200.349018, 18.723514, 176.188429, 14.538771, 153.019150, 8.040838, 130.715510, 2.581177, 108.335032, 0.000000, 84.332379, 3.401842, 61.008397, 11.781856, 38.519452, 23.529404, 15.674277, 44.777455, 0.000000, 70.165124, 5.372388, 83.617895, 29.669627, 85.205303, 51.541260, 87.663907, 75.541914, 85.093759, 99.598066, 82.717070, 121.298031, 84.079842, 148.549019, 83.627607, 170.390255, 85.092004, 193.368167, 87.771147, 217.775384, 84.370977, 241.682159, 68.162109, 253.786159, 60.550632, 252.079439
Type07, L, 270, 63.074311, 273.287426, 55.338591, 274.485084, 36.919925, 265.989052, 27.065807, 239.666673, 25.254539, 214.974003, 21.309348, 190.244505, 16.052592, 164.647621, 10.305725, 140.186169, 3.965989, 115.608408, 0.000000, 89.158283, 5.659899, 64.564553, 14.226098, 40.504568, 26.895288, 15.685553, 49.945225, 0.000000, 79.070603, 6.694728, 87.797136, 33.346244, 92.584421, 58.240456, 92.396563, 83.398930, 90.466547, 108.379235, 89.870913, 133.809426, 89.996893, 159.501741, 91.210844, 185.619213, 92.184993, 210.000004, 92.969645, 236.223378, 89.792732, 262.051785, 71.080840, 274.069286, 63.795932, 272.472427
Type07, L, 280, 64.098356, 283.491633, 56.467829, 284.338944, 36.130031, 275.733291, 27.849453, 249.521300, 25.562584, 222.983566, 21.645166, 196.840530, 16.363174, 170.820531, 10.630601, 144.822163, 4.168541, 119.425977, 0.000000, 93.087170, 6.220023, 66.834724, 14.108320, 41.770985, 26.603039, 15.533367, 51.279404, 0.000000, 79.427976, 7.980485, 90.558580, 35.891858, 94.957708, 61.084845, 94.754136, 87.650960, 91.881300, 113.143507, 89.868744, 139.539225, 88.782605, 165.605802, 89.515650, 193.098341, 93.551275, 219.583035, 95.495578, 245.552420, 91.969257, 272.813516, 73.333150, 285.193100, 64.160122, 282.565652
