type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26
Type01, L, 280, 58.876190, 283.142740, 50.101943, 284.635725, 29.493978, 274.669766, 23.106756, 246.138095, 19.288918, 218.804097, 15.130876, 191.738744, 10.012567, 164.062754, 4.463918, 137.569487, 0.000000, 110.107790, 0.362215, 82.507600, 6.020093, 56.611213, 15.812236, 30.956671, 33.491796, 5.419273, 65.163828, 0.000000, 85.086299, 25.149725, 88.531418, 51.997877, 91.787547, 78.974975, 87.778517, 106.308257, 86.563233, 133.488329, 87.565834, 161.541101, 91.682758, 187.788008, 88.890601, 215.253593, 89.736360, 243.513069, 86.557094, 269.524150, 68.563867, 284.719090, 58.964154, 281.957611
Type01, L, 290, 60.052881, 293.318559, 51.530310, 294.927397, 29.650318, 284.009689, 24.551869, 254.667712, 19.935639, 227.262458, 16.144606, 198.810406, 12.539364, 171.251264, 5.768327, 142.908178, 0.560643, 114.385816, 0.000000, 85.712588, 5.856512, 57.430432, 16.950409, 30.487661, 35.338255, 5.470218, 67.583840, 0.000000, 87.391163, 26.554334, 91.675116, 53.808341, 95.591894, 83.009298, 91.086530, 110.623026, 91.928499, 138.520526, 92.811361, 168.122592, 94.149260, 195.019643, 94.501374, 224.407194, 92.098983, 250.627739, 88.654432, 280.886482, 70.293133, 294.075188, 59.962921, 292.798133
Type02, L, 230, 63.116893, 233.182711, 55.950984, 233.854954, 38.925204, 226.010237, 31.806601, 202.691145, 27.299749, 180.386275, 22.226503, 157.857311, 15.880111, 135.279020, 7.196581, 113.782330, 0.640213, 91.072885, 0.000000, 67.707825, 4.378591, 46.013791, 13.374227, 22.562129, 31.435980, 5.846857, 56.071265, 0.000000, 76.254467, 17.515170, 81.782170, 40.306956, 87.048055, 62.806831, 86.406774, 85.751910, 75.692378, 107.812783, 70.378322, 131.482471, 75.638061, 154.453759, 82.678968, 176.807099, 87.577462, 197.802686, 86.455234, 222.898870, 70.621855, 234.167004, 63.107536, 232.839858
Type02, L, 250, 66.150695, 253.274581, 75.440750, 254.110164, 90.305401, 241.024634, 89.773112, 215.311435, 82.756848, 192.178492, 75.161304, 168.157644, 70.697263, 143.794673, 75.249863, 118.990532, 88.730491, 95.271354, 90.175683, 70.526374, 84.371497, 46.443413, 81.267795, 21.549324, 60.842044, 0.000000, 33.197808, 5.878080, 15.147186, 26.820337, 5.463943, 50.958440, 0.000000, 75.155586, 3.788074, 99.093275, 10.206543, 121.901321, 17.645040, 147.103307, 25.056381, 170.838092, 30.365804, 195.737727, 34.370553, 220.183058, 40.370005, 244.354943, 58.056754, 255.937614, 66.386457, 252.268258
Type02, L, 260, 66.423085, 262.707889, 58.460806, 263.824215, 40.920263, 252.181306, 32.749051, 226.901998, 29.475819, 200.722238, 24.289890, 176.841835, 16.571772, 151.048800, 7.582760, 125.877774, 0.667444, 100.584745, 0.000000, 74.771090, 4.739719, 50.192447, 14.883015, 25.181732, 34.802485, 4.540021, 62.516550, 0.000000, 83.349873, 21.688261, 86.774129, 47.371067, 93.786320, 72.332775, 91.488341, 98.075196, 78.471418, 121.520930, 75.217879, 147.773249, 78.750381, 173.232789, 85.099100, 198.119905, 93.434284, 223.450519, 92.380038, 250.303316, 75.010063, 263.464627, 66.258599, 262.133127
Type02, L, 270, 69.191153, 273.141990, 60.230523, 274.242574, 41.071522, 263.295473, 34.354170, 236.222292, 29.891636, 209.747440, 22.473242, 183.465097, 16.476292, 157.615633, 8.414459, 132.154615, 1.494321, 106.700131, 0.000000, 79.477394, 5.631826, 53.239010, 17.617792, 27.765478, 37.102178, 5.165064, 66.943254, 0.000000, 87.626809, 23.999454, 90.774505, 50.203259, 97.364686, 76.438015, 94.828714, 103.938953, 79.322666, 128.756145, 78.226793, 155.584354, 82.409610, 182.303483, 89.975942, 207.526768, 97.014450, 232.928181, 96.591280, 261.507895, 77.323423, 274.167806, 69.252077, 272.435287
Type03, L, 230, 50.759443, 232.255122, 43.658388, 232.688490, 27.588265, 224.686727, 20.356690, 200.755390, 17.458020, 179.329249, 13.776371, 155.091349, 8.786734, 133.440432, 3.989285, 111.162578, 0.655846, 89.400666, 0.000000, 67.131788, 3.882368, 44.901943, 12.667522, 23.079263, 29.176464, 3.435663, 53.516245, 0.000000, 71.923519, 17.976903, 77.210360, 41.787614, 79.215686, 64.411412, 78.417273, 87.136571, 74.222881, 109.550561, 70.796849, 132.413482, 74.779217, 154.992196, 77.140621, 177.043061, 80.051772, 201.062954, 75.459183, 223.848244, 57.187691, 232.853246, 51.557685, 231.812475
Type03, L, 235, 53.388463, 237.719328, 46.230957, 238.733933, 29.157974, 232.236982, 20.167904, 209.011305, 17.341022, 186.294724, 14.714562, 162.983756, 9.739737, 140.131577, 4.475559, 117.623758, 0.343106, 94.334507, 0.000000, 71.234754, 2.958196, 47.630311, 11.371430, 25.813530, 26.777382, 5.279193, 51.824213, 0.000000, 71.343870, 18.790374, 77.740830, 41.471453, 79.974963, 64.467228, 79.652751, 88.019580, 76.754380, 111.042871, 74.751523, 134.590242, 75.686609, 158.879407, 77.529487, 181.856262, 80.772952, 203.821636, 77.252515, 227.504545, 61.297558, 238.368728, 53.461027, 237.430288
Type03, L, 245, 54.061562, 245.681801, 45.821000, 246.415020, 29.081361, 237.914513, 20.931093, 213.556753, 18.101563, 188.620547, 14.290390, 165.074079, 9.073499, 140.791883, 3.914906, 115.896878, 0.695625, 92.130496, 0.000000, 67.461842, 5.197501, 43.607186, 13.946263, 21.092833, 31.026637, 0.000000, 58.279511, 0.047118, 76.100965, 20.966660, 80.402477, 45.687831, 83.320318, 68.875679, 83.419032, 93.465635, 77.917118, 116.364111, 76.180444, 140.829199, 78.887644, 164.748071, 82.040435, 187.897429, 84.289941, 212.165857, 79.696653, 236.632572, 61.961698, 247.111369, 54.246130, 244.793073
Type03, L, 250, 53.023859, 250.884453, 45.381466, 251.723950, 26.864630, 242.404798, 20.823209, 217.695499, 17.320507, 193.342002, 13.656626, 168.223430, 9.121492, 142.891572, 5.113507, 119.273020, 1.517796, 93.589571, 0.000000, 69.893135, 3.962735, 45.016169, 13.842337, 21.281166, 32.658208, 0.000000, 59.386745, 0.556397, 77.312761, 23.045943, 81.797381, 47.436003, 84.920217, 72.528027, 83.247718, 95.414033, 79.778646, 120.706230, 79.736537, 144.194427, 80.669985, 167.965462, 81.004355, 192.838087, 83.458375, 216.779101, 79.571123, 241.553023, 60.771095, 252.363172, 53.793682, 250.083086
