Type,Cluster_ID,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,2,240,PCA_KRR,11.75079,10.90508,2.36631,0.61601,3.79723,1.13174,0.54680,97.53091,0.97716,0.98845,0.00000
Type00,2,240,PCA_LINEAR,9.16065,8.30217,10.00645,2.59585,36.77387,3.59986,10.00645,1258.54540,0.90249,0.94875,0.00000
Type00,2,240,PCA_SVR,11.94576,11.20748,2.27149,0.56520,0.87349,0.89270,1.40752,65.33898,0.97452,0.98710,0.00000
Type00,2,240,PURE_GPR,11.49338,10.66952,2.66146,0.69150,4.77453,1.26547,0.39287,131.04929,0.97059,0.98508,0.00000
Type00,2,240,PURE_KRR,11.68001,10.83951,2.32505,0.59809,3.89838,1.12498,0.52361,100.43268,0.97767,0.98871,0.00000
Type00,2,240,PURE_SVR,11.01866,10.23453,2.24019,0.45313,4.68239,1.28489,0.31571,223.15302,0.98039,0.99010,0.00000
Type00,2,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,2,245,PCA_KRR,11.11331,10.23718,2.94468,0.83628,7.90403,1.56770,0.48901,609.02888,0.96293,0.98112,0.00000
Type00,2,245,PCA_LINEAR,9.25555,8.34754,9.80207,2.70888,36.77529,3.50415,9.57776,1530.08101,0.90174,0.94833,0.00000
Type00,2,245,PCA_SVR,11.13145,10.27356,2.84787,0.59075,7.66226,1.34513,0.34063,407.61748,0.97577,0.98774,0.00000
Type00,2,245,PURE_GPR,11.18937,10.33438,2.42800,0.84635,6.60945,1.48215,0.44579,597.41794,0.96415,0.98175,0.00000
Type00,2,245,PURE_KRR,11.14312,10.27492,2.99455,0.81389,7.92390,1.57042,0.50341,599.57194,0.96380,0.98156,0.00000
Type00,2,245,PURE_SVR,11.18865,10.36759,3.34068,1.01113,7.99518,1.71642,0.19233,717.78715,0.95635,0.97769,0.00000
Type00,2,245,RATIO_CTRL,2.64612,2.49343,3.24614,1.51551,1.04056,0.71398,0.54962,113.26871,0.94466,0.97154,0.00000
Type00,2,255,PCA_KRR,11.91695,10.89863,1.84557,0.85532,5.77987,0.84051,0.14691,22.09859,0.95554,0.97726,0.00000
Type00,2,255,PCA_LINEAR,9.74025,8.82318,10.31121,2.99032,36.51825,2.61847,9.34841,815.35602,0.88827,0.94083,0.00000
Type00,2,255,PCA_SVR,12.59113,11.75505,1.89255,0.51295,1.53086,0.86776,1.33104,119.52544,0.96845,0.98397,0.00000
Type00,2,255,PURE_GPR,12.22099,11.26859,2.17168,0.94780,5.33643,0.68060,0.31512,31.81924,0.95054,0.97464,0.00000
Type00,2,255,PURE_KRR,11.94995,10.94958,1.85900,0.82273,5.66881,0.84589,0.16164,25.72453,0.95571,0.97735,0.00000
Type00,2,255,PURE_SVR,12.32614,11.37777,2.14060,0.61930,5.60088,0.92978,0.30781,138.55455,0.96539,0.98239,0.00000
