Type,Base_Size,Matched_Type,Time_sec,Points
Type00,240,Type05,0.1464,100
Type01,230,Type03,0.1861,100
Type02,230,Type04,0.1782,100
Type03,230,Type06,0.1682,100
Type04,230,Type06,0.1647,100
Type05,240,Type00,0.1406,100
Type06,230,Type03,0.1878,100
Type07,250,Type00,0.1447,100
