Type,Base_Size,Matched_Type,Time_sec,Points
Type00,240,Self (Ratio),0.000231,100
Type01,230,Self (Ratio),0.000185,100
Type02,230,Self (Ratio),0.000175,100
Type03,230,Self (Ratio),0.000178,100
Type04,230,Self (Ratio),0.000179,100
Type05,240,Self (Ratio),0.000168,100
Type06,230,Self (Ratio),0.000177,100
Type07,250,Self (Ratio),0.000165,100
