type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20
Type02, L, 230, 63.834265, 233.934942, 52.111889, 235.509925, 33.988433, 219.145063, 29.441325, 187.653141, 22.305604, 157.395626, 13.136576, 127.306417, 1.058823, 97.571968, 0.000000, 66.055896, 7.519053, 35.913772, 25.797425, 6.795756, 62.955477, 0.000000, 81.377935, 30.823707, 86.888444, 60.948797, 86.562627, 91.930570, 68.972044, 122.184736, 75.615553, 154.658321, 84.715860, 183.465829, 90.767409, 214.195153, 75.524275, 235.611977, 62.512526, 233.642465
Type02, L, 250, 66.922120, 254.430271, 80.787173, 255.074539, 95.211245, 232.462832, 85.578054, 199.822748, 76.205461, 168.271860, 69.185270, 134.235420, 88.836862, 102.266355, 90.792833, 68.279608, 85.284144, 37.085027, 69.626254, 0.000000, 27.403950, 7.676304, 10.421295, 41.050346, 0.000000, 73.398115, 5.881952, 105.439470, 15.570419, 137.550568, 25.722661, 170.798293, 33.322873, 203.968332, 36.573312, 237.096894, 54.110138, 257.140837, 68.408379, 253.836479
Type02, L, 260, 67.316034, 263.622228, 55.099309, 264.325486, 35.220371, 244.793524, 31.566549, 208.783623, 24.833831, 176.153689, 13.626423, 141.299268, 1.677837, 107.535883, 0.000000, 72.332619, 8.804284, 39.673569, 28.466006, 5.566072, 71.099290, 0.000000, 86.827314, 36.957868, 94.151932, 69.966647, 90.783951, 104.549829, 73.176762, 137.061912, 79.557992, 173.101991, 87.376270, 205.788546, 99.005308, 241.660757, 79.753491, 263.945064, 66.460816, 263.225421
Type02, L, 270, 70.624630, 273.880859, 56.406904, 275.301387, 36.406060, 255.007862, 33.428381, 217.946025, 22.977761, 182.852534, 14.743410, 147.514313, 3.170855, 114.058372, 0.000000, 76.542572, 11.404577, 42.677883, 31.202807, 6.420744, 76.148429, 0.000000, 91.208273, 40.042507, 98.588460, 73.386909, 93.632788, 111.154663, 74.903985, 144.425959, 84.398766, 182.223328, 92.117618, 215.021994, 103.245389, 251.970302, 83.288253, 275.260679, 69.338671, 273.250238
Type03, L, 230, 51.504744, 233.213593, 40.386027, 234.806315, 22.447197, 217.432299, 19.098534, 186.725693, 14.043471, 155.282082, 7.095925, 125.227936, 1.370911, 95.931826, 0.000000, 65.375176, 7.142944, 36.328036, 24.265668, 5.306160, 59.714219, 0.000000, 77.661148, 32.309155, 79.185824, 62.878619, 79.258924, 93.632103, 70.671288, 124.095367, 74.836809, 154.956930, 78.379844, 184.777304, 81.998489, 218.167168, 61.795274, 233.985665, 51.044768, 233.167890
Type03, L, 235, 54.236599, 238.726734, 43.238472, 240.945316, 23.151451, 226.111737, 18.738141, 193.880784, 15.294585, 163.006224, 8.126045, 131.870555, 1.338977, 101.501218, 0.000000, 69.004730, 6.278913, 39.085416, 22.120260, 7.451655, 58.145067, 0.000000, 78.010391, 32.870823, 80.263844, 62.358345, 80.362779, 95.056860, 75.205593, 125.541498, 76.095141, 159.047687, 78.776918, 189.371071, 83.138441, 220.165363, 65.888905, 239.667246, 53.529796, 238.694363
Type03, L, 245, 54.648326, 246.126813, 42.294641, 247.142963, 23.317420, 231.081680, 19.505912, 195.730769, 14.571824, 164.538264, 7.053740, 130.603879, 1.207762, 98.532948, 0.000000, 64.416418, 8.726279, 34.313896, 25.253412, 0.687891, 65.184480, 0.000000, 80.505985, 35.533599, 83.359666, 66.362801, 83.625230, 99.490216, 75.150960, 130.828814, 79.347645, 164.167310, 83.008281, 195.004261, 85.750035, 229.004442, 66.752408, 247.765497, 53.813492, 245.489566
Type03, L, 250, 54.133675, 251.019272, 41.392150, 252.541822, 22.193471, 234.279043, 19.713549, 200.832276, 13.770600, 166.855611, 8.159153, 133.306343, 2.722442, 100.380767, 0.000000, 66.395567, 7.664847, 35.033704, 27.285364, 0.000000, 66.570418, 0.852830, 81.999152, 37.236754, 85.495159, 69.227979, 83.357566, 101.851382, 79.243212, 134.992323, 81.772956, 166.627266, 81.440603, 200.290307, 86.292284, 232.901923, 65.919243, 253.147615, 53.515089, 250.351400
Type03, L, 255, 57.865071, 259.610663, 45.983742, 261.789766, 23.065848, 246.844160, 19.854111, 210.255300, 14.220368, 178.000231, 9.652763, 143.674564, 3.633062, 111.152835, 0.000000, 75.736246, 7.960123, 44.101781, 22.546780, 8.583800, 62.969295, 0.000000, 83.037614, 35.020865, 85.739532, 68.958156, 84.856046, 103.701137, 80.293764, 137.924548, 81.504870, 172.320598, 84.298418, 206.057992, 88.000499, 239.468373, 70.445271, 261.294972, 56.452481, 259.020285
Type03, L, 260, 55.076561, 261.218911, 42.781091, 262.392240, 21.021276, 243.512111, 22.137656, 207.925244, 15.709048, 174.384486, 9.782280, 138.327671, 1.834669, 103.230250, 0.000000, 67.413247, 10.172736, 36.315151, 28.310224, 0.618805, 70.163932, 0.000000, 84.995801, 38.241670, 86.672292, 71.023132, 84.602932, 105.289402, 81.641682, 139.336509, 83.049704, 174.144111, 84.674021, 207.178535, 89.358547, 242.860596, 67.647729, 261.969344, 54.499939, 260.950205
