Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,7.14743,6.43795,2.67453,0.82777,2.81094,0.59972,0.90576,277.32083,0.96038,0.97968,0.00000
PCA_KRR,2,6.54508,6.01718,1.27506,0.51168,2.16843,0.59860,0.42884,203.46509,0.97463,0.98712,0.00000
PCA_KRR,3,6.50597,5.97698,0.83694,0.27966,2.44109,0.41372,0.60640,153.42446,0.98450,0.99219,0.00000
PCA_KRR,4,6.68367,6.15001,0.70089,0.20917,2.04760,0.33070,0.24202,164.45625,0.98911,0.99453,0.00000
PCA_LINEAR,1,7.45232,6.71544,5.01379,1.78672,2.55407,0.81174,0.41392,436.83194,0.92992,0.96357,0.00000
PCA_LINEAR,2,7.65333,7.00772,7.23180,2.06103,17.63654,1.63011,5.29722,675.87665,0.91936,0.95790,0.00000
PCA_LINEAR,3,7.34118,6.73006,4.06801,1.54657,3.16339,1.77040,0.10782,295.96433,0.93131,0.96434,0.00000
PCA_LINEAR,4,17.33837,16.99263,20.47865,5.09335,57.94185,4.90639,20.47865,1900.64393,0.83349,0.90915,0.00000
PCA_SVR,1,7.23799,6.59814,2.99880,0.86076,5.26201,0.69400,1.61472,301.27755,0.95905,0.97896,0.00000
PCA_SVR,2,6.56065,6.05644,1.58014,0.44154,3.79989,0.34464,1.00851,200.56254,0.97821,0.98896,0.00000
PCA_SVR,3,6.47970,5.96375,3.13305,0.64518,7.05559,0.37775,1.26906,253.59053,0.97055,0.98496,0.00000
PCA_SVR,4,6.91540,6.46207,1.55596,0.40323,4.19242,0.33085,1.55342,125.81600,0.98014,0.98997,0.00000
PURE_GPR,1,7.02080,6.28393,2.66097,0.87692,2.25832,0.58312,0.59366,296.44666,0.95792,0.97843,0.00000
PURE_GPR,2,6.54703,6.02112,1.48729,0.58827,2.22982,0.68092,0.38392,212.26452,0.97246,0.98601,0.00000
PURE_GPR,3,6.49564,5.95598,0.98937,0.33067,2.27105,0.62591,0.37563,180.12865,0.98232,0.99107,0.00000
PURE_GPR,4,6.68175,6.14189,0.70408,0.17160,2.03351,0.33123,0.02343,164.95519,0.99099,0.99548,0.00000
PURE_KRR,1,7.01807,6.29499,2.58757,0.83503,2.39850,0.54731,0.64841,311.72121,0.95856,0.97873,0.00000
PURE_KRR,2,6.53131,6.00536,1.19697,0.48364,2.11602,0.55550,0.34009,202.55672,0.97582,0.98773,0.00000
PURE_KRR,3,6.50666,5.97141,0.71954,0.24804,2.16321,0.40283,0.48585,151.62011,0.98493,0.99240,0.00000
PURE_KRR,4,6.68187,6.14654,0.70213,0.19244,2.02232,0.33152,0.20171,164.80726,0.99002,0.99499,0.00000
PURE_SVR,1,7.19997,6.48608,2.69616,0.80543,2.78225,0.55608,0.53619,326.27892,0.95945,0.97914,0.00000
PURE_SVR,2,6.59583,6.06681,1.30968,0.45069,2.09242,0.56462,0.22200,223.69988,0.97844,0.98907,0.00000
PURE_SVR,3,6.61106,6.09567,0.70281,0.22241,1.92324,0.41901,0.28683,147.95046,0.98578,0.99284,0.00000
PURE_SVR,4,6.67993,6.14172,0.64622,0.18771,1.89592,0.34301,0.13064,156.73437,0.98950,0.99472,0.00000
RATIO_CTRL,1,3.59355,3.28976,4.62304,1.68871,3.33160,3.09290,0.36904,629.81226,0.94373,0.97097,0.00000
RATIO_CTRL,2,2.85641,2.52646,4.75516,1.69051,4.69078,3.00197,0.16371,721.09684,0.94210,0.96998,0.00000
RATIO_CTRL,3,4.50382,3.72536,7.38224,3.03279,7.80641,6.05104,0.32892,1331.65906,0.89394,0.94399,0.00000
RATIO_CTRL,4,1.59476,1.46151,2.58093,0.88037,1.84805,1.32042,0.13727,398.40237,0.96838,0.98377,0.00000
