type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10
Type04, L, 245, 65.905468, 248.085563, 31.007366, 247.562289, 30.505419, 176.123887, 8.818265, 118.723888, 0.000000, 9.956271, 101.660587, 0.000000, 86.161618, 113.266024, 86.653340, 170.455019, 100.699811, 243.553715, 63.014166, 247.733093
Type04, L, 250, 66.660172, 249.842366, 29.450712, 249.350115, 29.642936, 172.790532, 3.541355, 116.430935, 0.000000, 2.500093, 104.295958, 0.000000, 86.347652, 113.068353, 87.419966, 173.390538, 101.315159, 244.634059, 63.264250, 250.717953
Type04, L, 260, 63.345150, 259.961035, 28.807076, 256.095561, 29.393673, 180.234468, 4.618191, 120.306776, 0.000000, 3.750401, 105.742113, 0.000000, 84.939845, 118.281978, 87.733895, 178.832247, 101.559995, 257.418202, 60.371258, 260.138704
Type04, L, 265, 66.744611, 265.700355, 30.389726, 265.013644, 30.324433, 185.144666, 8.009033, 124.761893, 0.000000, 5.896746, 106.993866, 0.000000, 89.313696, 121.693213, 90.888048, 181.155031, 103.797983, 261.300755, 64.450979, 266.286581
Type04, L, 270, 69.193397, 272.271977, 31.963265, 270.912869, 30.633151, 192.498181, 7.871904, 128.770000, 0.000000, 8.546747, 110.832273, 0.000000, 87.969509, 125.276134, 92.324374, 185.622111, 105.101458, 265.125949, 67.666995, 272.405129
Type04, L, 280, 71.614915, 282.252201, 33.128949, 281.793722, 30.540907, 198.002139, 9.039397, 135.245499, 0.000000, 9.255534, 112.983519, 0.000000, 93.809732, 128.945747, 93.676542, 192.358563, 109.783342, 275.549209, 70.269197, 282.490257
Type05, L, 240, 59.627541, 237.258219, 23.160162, 236.747253, 30.520055, 162.695369, 0.000000, 109.667788, 5.040998, 0.000000, 101.095583, 0.281839, 72.400631, 109.271710, 76.164027, 163.547517, 96.903573, 233.192313, 54.168682, 238.045709
Type05, L, 260, 60.944398, 257.593156, 25.554850, 252.913459, 32.961524, 175.886685, 0.660726, 117.686855, 0.000000, 0.339439, 100.281395, 0.000000, 79.655960, 120.263455, 75.129003, 177.565121, 101.832939, 253.302915, 56.221673, 257.931005
Type05, L, 280, 66.091587, 281.489914, 110.985963, 273.970941, 81.028153, 192.234299, 87.166794, 130.946018, 108.857831, 0.000000, 0.000000, 9.012617, 4.494744, 134.230870, 37.001887, 197.750678, 29.124898, 277.039338, 70.483774, 281.946072
Type05, L, 290, 74.616338, 290.740919, 33.137591, 288.064011, 37.010676, 203.192145, 5.945425, 137.051189, 0.000000, 7.543334, 113.327418, 0.000000, 93.535326, 132.603851, 83.426386, 199.551979, 118.904699, 283.856359, 68.815272, 290.775296
Type06, L, 230, 54.594109, 228.585824, 22.717292, 225.110090, 24.541319, 157.947444, 0.505706, 106.136867, 0.000000, 0.000000, 90.417323, 1.853364, 77.478294, 105.134081, 75.560579, 159.302959, 89.543036, 226.501032, 51.162397, 229.089774
Type06, L, 240, 59.358670, 243.819068, 28.231886, 239.775139, 25.751014, 171.474034, 5.548721, 116.267100, 0.000000, 12.874035, 93.467653, 0.000000, 83.262768, 112.688433, 78.826371, 168.246020, 94.690697, 239.970368, 56.475413, 243.776786
Type06, L, 250, 59.361717, 248.856681, 25.375788, 246.142693, 24.158477, 172.629798, 2.530091, 116.200272, 0.000000, 3.749583, 96.142386, 0.000000, 83.438462, 115.589081, 81.574288, 171.816995, 95.617876, 246.871574, 56.201953, 248.774928
Type06, L, 270, 67.381605, 271.848409, 29.339028, 270.374366, 30.356258, 192.816542, 5.781315, 130.186960, 0.000000, 9.679031, 103.961099, 0.000000, 89.897454, 127.909910, 85.594763, 186.612081, 104.223813, 265.556879, 64.354252, 271.768948
Type06, L, 280, 72.473172, 282.688595, 31.334848, 281.980640, 32.726809, 201.089476, 8.654055, 135.892432, 0.000000, 12.953798, 107.059669, 0.000000, 96.290638, 129.945647, 89.240210, 192.399351, 109.693509, 275.141606, 69.710372, 283.090421
Type07, L, 250, 63.578828, 254.823379, 26.617258, 254.570908, 27.145049, 181.127576, 2.740625, 124.006057, 0.000000, 15.128453, 98.272941, 0.000000, 84.495722, 117.172852, 84.418947, 175.396075, 95.125966, 248.157305, 62.254532, 255.805368
Type07, L, 270, 64.398171, 273.969508, 24.991311, 270.908486, 29.020628, 193.422093, 0.296008, 130.397143, 0.000000, 12.006021, 104.173381, 0.000000, 85.867943, 126.086571, 91.513636, 187.368599, 96.726207, 267.709355, 63.177623, 273.639945
Type07, L, 280, 66.094054, 282.037374, 25.896419, 280.704180, 30.134010, 198.157779, 1.792290, 134.158989, 0.000000, 9.970365, 107.544036, 0.000000, 88.833057, 129.786996, 88.374465, 193.491268, 103.763365, 277.594050, 63.774299, 282.548684
