,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.3801,6.9436,4.6932,3.6916,4.6330,4.3205,4.1114
Type01,4.3801,0.0000,6.9342,3.1896,3.8871,5.7193,3.2710,7.7375
Type02,6.9436,6.9342,0.0000,4.2106,4.9142,4.9046,4.5321,8.4710
Type03,4.6932,3.1896,4.2106,0.0000,3.3244,3.9887,1.6360,7.6878
Type04,3.6916,3.8871,4.9142,3.3244,0.0000,4.7074,3.0447,6.2160
Type05,4.6330,5.7193,4.9046,3.9887,4.7074,0.0000,4.4474,5.9990
Type06,4.3205,3.2710,4.5321,1.6360,3.0447,4.4474,0.0000,7.3778
Type07,4.1114,7.7375,8.4710,7.6878,6.2160,5.9990,7.3778,0.0000
